,prophetic,prose,instruction,poetry,list
FUT,4.71,0.82,0.1,0.42,0.0
FUT ~ MOD shall,3.13,0.6,0.44,0.37,0.48
PRES,0.74,0.87,1.01,5.41,0.0
IMPV ~ MOD shall,0.12,0.61,7.74,0.0,0.48
IMPV,0.69,3.68,0.26,0.21,0.19
MOD is to ~ MOD shall,0.02,0.39,15.51,0.0,0.44
PAST,0.36,2.62,0.21,7.31,1.03
MOD shall,0.02,0.34,17.48,0.0,0.0
MOD must ~ MOD shall,0.04,0.17,26.04,0.16,0.0
FUT ~ PRES,1.23,1.07,0.47,3.14,0.0
MOD may,0.23,2.68,1.39,0.0,0.0
PAST ~ PRES,0.21,0.07,0.23,2.12,375.56
MOD shall ~ PRES,0.81,0.8,1.81,0.0,1.27
FUT ~ MOD may,1.71,0.93,0.71,0.0,0.0
PRES PERF,0.78,1.86,0.46,2.33,0.0
MOD shall ~ TO INF,0.28,0.73,3.73,0.0,2.6
PRES ~ PRES PART,0.49,0.93,0.97,1.98,12.69
PRES ~ PRES PERF,0.31,3.02,0.83,0.99,0.0
MOD would,0.15,16.34,0.0,0.0,2.92
TO INF,0.66,2.82,0.53,0.0,0.0
FUT ~ MOD lest,0.45,1.1,0.73,8.43,0.0
MOD would ~ PAST,0.15,15.59,0.0,1.07,0.0
MOD may ~ TO INF,0.0,5.07,0.98,0.0,3.19
MOD may ~ PRES,0.4,0.69,2.53,2.61,0.0
MOD let,0.18,5.54,0.29,2.61,0.0
FUT ~ IMPV,2.93,1.02,0.0,1.37,0.0
PRES ~ TO INF,0.79,1.29,1.28,0.0,0.0
MOD may ~ MOD shall,0.1,1.4,3.48,0.0,0.0
PAST ~ PRES PART,0.0,2.49,0.0,5.35,30.87
FUT ~ TO INF,1.33,1.72,0.18,1.65,0.0
MOD shall ~ PRES PART,0.11,1.72,2.78,0.0,0.0
IMPV ~ PRES,0.43,4.42,0.43,0.0,0.0
IMPV ~ MOD let,0.0,5.53,1.11,0.0,0.0
PRES PART,0.13,3.98,1.11,0.0,0.0
IMPV ~ TO INF,1.07,2.58,0.23,0.0,0.0
PAST ~ PRES PERF,1.99,0.98,0.0,4.52,0.0
FUT ~ MOD let,3.42,1.1,0.0,0.0,0.0
FUT ~ PRES PART,2.39,1.57,0.0,0.0,0.0
MOD can ~ MOD may,0.0,9.96,0.62,0.0,0.0
FUT ~ MOD would,0.38,5.9,0.0,2.47,0.0
