eng_TAMsimp,prophetic,prose,instruction,poetry,list
FUT,1.54,3.56,20.46,51.15,inf
FUT ~ MOD shall,1.69,4.37,6.52,59.0,132.75
PRES,3.24,3.51,3.76,7.13,inf
IMPV ~ MOD shall,13.93,4.49,1.43,inf,139.33
IMPV,3.41,1.65,11.1,114.67,344.0
MOD is to ~ MOD shall,77.0,6.42,1.21,inf,154.0
PAST,5.57,1.87,13.73,5.02,68.67
MOD shall,68.33,7.32,1.18,inf,inf
MOD must ~ MOD shall,38.25,13.91,1.12,153.0,inf
FUT ~ PRES,2.39,3.06,6.88,9.17,inf
MOD may,8.25,1.83,3.0,inf,inf
PAST ~ PRES,9.14,32.0,12.8,12.8,1.42
MOD shall ~ PRES,3.11,3.73,2.55,inf,56.0
FUT ~ MOD may,2.0,3.38,4.91,inf,inf
PRES PERF,3.18,2.19,7.0,11.67,inf
MOD shall ~ TO INF,7.0,4.0,1.75,inf,28.0
PRES ~ PRES PART,4.5,3.38,3.86,13.5,6.75
PRES ~ PRES PERF,6.5,1.73,4.33,26.0,inf
MOD would,12.5,1.14,inf,inf,25.0
TO INF,3.57,1.79,6.25,inf,inf
FUT ~ MOD lest,4.8,3.0,4.8,4.0,inf
MOD would ~ PAST,12.0,1.14,inf,24.0,inf
MOD may ~ TO INF,inf,1.44,3.83,inf,23.0
MOD may ~ PRES,5.25,4.2,2.1,10.5,inf
MOD let,10.5,1.4,10.5,10.5,inf
FUT ~ IMPV,1.58,3.17,inf,19.0,inf
PRES ~ TO INF,3.17,2.71,3.17,inf,inf
MOD may ~ MOD shall,18.0,2.57,1.8,inf,inf
PAST ~ PRES PART,inf,1.89,inf,5.67,3.4
FUT ~ TO INF,2.29,2.29,16.0,16.0,inf
MOD shall ~ PRES PART,16.0,2.29,2.0,inf,inf
IMPV ~ PRES,5.0,1.5,7.5,inf,inf
IMPV ~ MOD let,inf,1.4,3.5,inf,inf
PRES PART,14.0,1.56,3.5,inf,inf
IMPV ~ TO INF,2.6,1.86,13.0,inf,inf
PAST ~ PRES PERF,1.86,3.25,inf,6.5,inf
FUT ~ MOD let,1.5,3.0,inf,inf,inf
