,prose,prophetic,prose,poetry,instruction,prophetic,prophetic,list,poetry,prose,prose,list,instruction,prophetic,instruction,list,instruction,list
,Q,Q,N,Q,Q,N,?,N,?,D,?,?,D,D,?,Q,N,D
PRES ~ PRES PART,1.09,1.48,0.13,1.78,2.46,0.46,0.96,0.38,6.3,1.06,0.0,0.0,1.33,0.0,10.72,0.0,0.0,0.0
PAST ~ PAST PROG,0.23,0.19,12.47,0.0,0.0,4.08,0.0,0.0,0.0,2.05,6.92,0.0,0.0,3.42,0.0,0.0,0.0,0.0
PAST ~ PRES PART,0.12,0.28,5.86,0.21,0.0,6.93,0.94,5.9,0.0,5.74,7.66,2.84,0.0,0.0,0.0,0.0,0.0,inf
PRES ~ PRES PROG,2.72,1.43,0.0,0.48,2.11,0.33,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.24,0.0,0.0
PAST ~ PRES,0.45,0.84,0.33,6.18,0.75,0.0,3.42,2.82,0.0,9.23,0.0,0.0,0.0,6.06,9.09,0.0,0.0,0.0
FUT ~ PRES,1.2,2.38,0.0,0.84,1.35,0.0,2.75,0.0,0.0,0.0,0.0,0.0,14.06,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD shall,4.73,0.77,0.0,0.0,0.0,0.0,7.22,0.0,0.0,0.0,0.0,0.0,0.0,7.33,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,0.98,1.18,0.0,5.46,0.98,0.0,0.92,0.0,1.66,0.0,0.0,0.0,0.0,7.82,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.12,0.15,14.62,0.27,0.0,2.65,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT going-to,2.76,2.08,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,2.29,1.58,0.0,1.58,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,0.19,0.11,13.99,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,11.24,0.0,0.0,0.0,0.0,45.08,0.0
PRES PART ~ PRES PROG,6.42,0.7,0.0,0.43,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PROG,0.7,10.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,0.47,4.58,0.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.65,0.0,0.0,0.0,0.0,0.0
PAST ~ TO INF,0.34,0.19,12.17,0.0,0.0,0.0,0.0,5.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,0.79,4.04,0.0,0.96,0.0,0.0,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,1.71,0.94,0.0,3.59,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ PRES,2.89,1.06,0.0,0.0,5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,0.0,0.0,2.23,0.0,0.0,0.0,0.0,58.81,0.0,0.0,28.48,84.44,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ PRES PROG,0.59,4.32,0.0,0.0,5.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,0.59,0.71,0.43,1.17,0.0,0.0,0.0,0.0,68.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ TO INF,0.26,1.22,0.97,1.17,2.54,7.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,1.43,1.71,0.0,1.51,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES,0.79,0.94,0.0,1.51,7.79,0.0,0.0,0.0,11.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,1.8,0.47,0.0,0.0,9.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0
PRES PART ~ PRES PERF,1.19,2.85,0.0,0.0,0.0,0.0,8.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,0.59,1.9,0.0,2.65,5.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PAST PROG,0.59,0.0,2.59,0.0,0.0,21.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,2.39,0.0,0.0,10.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,0.79,0.0,0.0,0.0,23.47,0.0,0.0,27.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PROG,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD may,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD shall,2.39,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF PROG,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES,0.0,0.94,0.0,3.54,7.65,0.0,0.0,0.0,27.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,0.0,5.7,0.0,0.0,11.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD is to,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF PROG ~ PRES PROG,4.79,0.0,0.0,5.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,1.19,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,0.0,5.7,0.0,0.0,11.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
