genre,prophetic,prose,prose,poetry,instruction,poetry,prophetic,prophetic,prose,list,poetry,instruction,prose,list,instruction,prophetic,instruction,list,poetry,list
domain2,Q,Q,N,Q,Q,?,N,?,?,N,D,D,D,?,N,D,?,Q,N,D
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,
PRES,3.63,5.36,36.02,3.7,13.71,13.13,140.82,41.86,61.96,1549.0,49.97,140.82,516.33,inf,inf,193.62,193.62,387.25,1549.0,inf
PAST,7.54,9.17,2.04,18.62,54.18,298.0,28.38,99.33,25.91,27.09,298.0,596.0,85.14,42.57,59.6,149.0,inf,198.67,596.0,596.0
PRES PART,5.49,3.95,4.26,10.45,11.17,36.0,36.0,162.0,162.0,108.0,324.0,36.0,64.8,324.0,54.0,inf,inf,inf,inf,inf
PRES ~ PRES PART,3.05,3.21,26.14,7.62,12.2,22.88,61.0,45.75,inf,183.0,inf,183.0,183.0,inf,inf,inf,91.5,inf,inf,inf
FUT,1.59,3.47,inf,16.5,132.0,inf,132.0,132.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG,15.62,15.62,1.47,inf,inf,inf,8.93,125.0,20.83,125.0,inf,inf,inf,inf,62.5,inf,inf,inf,inf,inf
PRES PROG,2.38,1.9,inf,112.0,28.0,inf,inf,inf,inf,inf,inf,112.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,14.71,10.3,1.43,inf,inf,inf,10.3,inf,51.5,inf,inf,inf,103.0,inf,inf,103.0,inf,inf,inf,inf
PAST ~ PRES PART,10.44,18.8,1.81,47.0,inf,inf,7.23,47.0,47.0,18.8,inf,inf,47.0,94.0,inf,inf,inf,inf,inf,94.0
PRES ~ PRES PROG,3.03,1.96,inf,22.0,12.57,inf,88.0,88.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,88.0,inf,inf
PAST ~ PRES,4.36,6.1,12.2,3.05,30.5,inf,inf,15.25,inf,30.5,inf,inf,30.5,inf,inf,61.0,61.0,inf,inf,inf
FUT ~ PRES,2.25,3.0,inf,13.5,18.0,inf,inf,18.0,inf,inf,inf,27.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD shall,4.64,1.55,inf,inf,inf,inf,inf,8.5,inf,inf,inf,inf,inf,inf,inf,51.0,inf,inf,inf,inf
PRES ~ PRES PERF,3.43,3.43,inf,3.2,24.0,48.0,inf,48.0,inf,inf,inf,inf,inf,inf,inf,48.0,inf,inf,inf,inf
PRES PERF,2.69,1.87,inf,14.33,inf,43.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
TO INF,1.79,4.78,8.6,21.5,inf,21.5,inf,inf,inf,inf,inf,inf,inf,43.0,inf,inf,inf,inf,inf,inf
PAST PERF,21.5,14.33,1.19,43.0,inf,inf,inf,inf,inf,inf,inf,inf,43.0,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,19.5,19.5,1.3,39.0,inf,inf,13.0,39.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT going-to,2.4,1.89,inf,inf,inf,inf,inf,18.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PERF,2.82,2.07,inf,7.75,31.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF,26.0,13.0,1.3,inf,inf,inf,26.0,inf,inf,inf,inf,inf,inf,26.0,26.0,inf,inf,inf,inf,inf
PRES PART ~ PRES PROG,5.0,1.39,inf,25.0,inf,inf,25.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PROG,1.29,4.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,1.64,6.0,inf,6.0,inf,inf,inf,inf,inf,inf,inf,18.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ TO INF,16.0,8.0,1.33,inf,inf,inf,inf,inf,inf,16.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ TO INF,1.71,4.0,inf,12.0,inf,inf,inf,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,4.0,2.4,inf,4.0,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ PRES,3.67,1.83,inf,inf,5.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST,inf,inf,2.75,inf,inf,inf,inf,inf,11.0,2.75,inf,inf,inf,5.5,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,3.33,10.0,5.0,10.0,10.0,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ PRES PROG,1.67,5.0,inf,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,5.0,5.0,10.0,10.0,inf,2.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,2.67,2.67,inf,8.0,8.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES,4.0,4.0,inf,8.0,4.0,8.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES,7.0,2.33,inf,inf,3.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,7.0,inf,inf
MOD could,inf,2.33,2.33,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,2.0,3.0,inf,inf,inf,inf,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,2.5,5.0,inf,5.0,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should,5.0,1.67,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV,5.0,2.5,5.0,inf,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can,1.25,inf,inf,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PAST PROG,inf,5.0,2.5,inf,inf,inf,2.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD may,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD shall,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would,inf,4.0,inf,4.0,inf,inf,inf,inf,inf,inf,inf,4.0,4.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,inf,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,inf,4.0,inf,inf,2.0,inf,inf,inf,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES,4.0,inf,inf,4.0,4.0,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
