genre,prophetic,prose,prose,poetry,instruction,poetry,prophetic,prophetic,prose,list,poetry,instruction,prose,list,instruction,prophetic,instruction,list,list,poetry
domain2,Q,Q,N,Q,Q,?,N,?,?,N,D,D,D,?,N,D,?,Q,D,N
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,
PRES,2.63,4.36,35.02,2.7,12.71,12.13,139.82,40.86,60.96,1548.0,48.97,139.82,515.33,inf,inf,192.62,192.62,386.25,inf,1548.0
PAST,6.54,8.17,1.04,17.62,53.18,297.0,27.38,98.33,24.91,26.09,297.0,595.0,84.14,41.57,58.6,148.0,inf,197.67,595.0,595.0
PRES PART,4.72,4.02,2.28,7.2,23.6,26.33,26.33,245.0,122.0,81.0,245.0,122.0,48.2,245.0,40.0,inf,inf,inf,inf,inf
PRES PROG,1.91,1.07,185.0,92.0,7.86,inf,inf,185.0,inf,inf,inf,25.57,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,2.09,2.72,19.71,5.04,11.08,19.71,47.33,71.5,inf,144.0,inf,inf,144.0,inf,inf,inf,71.5,inf,inf,inf
FUT,0.59,2.47,inf,15.5,131.0,inf,131.0,131.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,1.98,1.02,inf,30.25,11.5,124.0,124.0,40.67,inf,inf,inf,124.0,inf,inf,inf,inf,inf,124.0,inf,inf
PAST PROG,14.62,14.62,0.47,inf,inf,inf,7.93,124.0,19.83,124.0,inf,inf,inf,inf,61.5,inf,inf,inf,inf,inf
PAST ~ PAST PROG,13.71,9.3,0.43,inf,inf,inf,9.3,inf,50.5,inf,inf,inf,102.0,inf,inf,102.0,inf,inf,inf,inf
PAST ~ PRES PART,9.44,17.8,0.81,46.0,inf,inf,6.23,46.0,46.0,17.8,inf,inf,46.0,93.0,inf,inf,inf,inf,93.0,inf
PAST ~ PRES,3.36,5.1,11.2,2.05,29.5,inf,inf,14.25,inf,29.5,inf,inf,29.5,inf,inf,60.0,60.0,inf,inf,inf
FUT ~ PRES,1.25,2.0,inf,12.5,17.0,inf,inf,17.0,inf,inf,inf,26.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD shall,3.64,0.55,inf,inf,inf,inf,inf,7.5,inf,inf,inf,inf,inf,inf,inf,50.0,inf,inf,inf,inf
PRES ~ PRES PERF,2.43,2.43,inf,2.2,23.0,47.0,inf,47.0,inf,inf,inf,inf,inf,inf,inf,47.0,inf,inf,inf,inf
PAST PERF,20.5,13.33,0.19,42.0,inf,inf,inf,inf,inf,inf,inf,inf,42.0,inf,inf,inf,inf,inf,inf,inf
TO INF,0.79,3.78,7.6,20.5,inf,20.5,inf,inf,inf,inf,inf,inf,inf,42.0,inf,inf,inf,inf,inf,inf
PRES PERF,1.69,0.87,inf,13.33,inf,42.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,18.5,18.5,0.3,38.0,inf,inf,12.0,38.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT going-to,1.4,0.89,inf,inf,inf,inf,inf,17.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PERF,1.82,1.07,inf,6.75,30.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PROG,0.41,3.43,inf,30.0,inf,inf,inf,inf,inf,inf,inf,30.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PROG,6.5,0.43,inf,29.0,14.0,inf,29.0,inf,inf,inf,inf,29.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF,25.0,12.0,0.3,inf,inf,inf,25.0,inf,inf,inf,inf,inf,inf,25.0,25.0,inf,inf,inf,inf,inf
PAST ~ TO INF,15.0,7.0,0.33,inf,inf,inf,inf,inf,inf,15.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ TO INF,0.71,3.0,inf,11.0,inf,inf,inf,11.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,3.0,1.4,inf,3.0,11.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST,inf,inf,1.75,inf,inf,inf,inf,inf,10.0,1.75,inf,inf,inf,4.5,inf,inf,inf,inf,inf,inf
FUT going-to ~ PRES,2.67,0.83,inf,inf,4.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ PRES PROG,0.83,2.67,inf,inf,4.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,4.0,4.0,9.0,9.0,inf,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,0.5,8.0,inf,3.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
