eng_TAMsimp,qal,hif,piel,nif,hit,pual,hof,hsht,nit,htpo
FUT,1.76,3.82,8.75,21.8,190.0,266.0,665.0,1330.0,inf,inf
FUT ~ MOD shall,1.33,13.11,18.96,9.83,177.0,177.0,354.0,1062.0,inf,1062.0
PRES,1.51,10.25,12.0,10.93,25.89,164.0,70.29,164.0,inf,inf
IMPV ~ MOD shall,1.39,6.33,9.5,139.33,104.5,inf,inf,418.0,inf,inf
IMPV,1.27,9.83,14.96,31.27,86.0,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,1.49,4.67,12.83,51.33,308.0,308.0,308.0,154.0,inf,inf
PAST,1.79,5.15,6.87,11.44,206.0,inf,103.0,inf,inf,inf
MOD shall,1.8,4.36,5.39,34.17,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,2.39,5.46,5.28,6.12,76.5,76.5,51.0,inf,inf,inf
FUT ~ PRES,1.49,7.33,13.75,11.0,55.0,110.0,inf,inf,inf,inf
MOD may,1.35,11.0,11.0,22.0,inf,inf,inf,66.0,66.0,inf
PAST ~ PRES,1.14,16.0,64.0,21.33,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,1.3,9.33,18.67,18.67,inf,inf,56.0,inf,inf,inf
FUT ~ MOD may,1.54,13.5,10.8,6.75,inf,27.0,inf,inf,inf,inf
PRES PERF,2.33,4.38,3.89,35.0,35.0,inf,35.0,inf,inf,inf
MOD shall ~ TO INF,2.0,28.0,2.15,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,1.5,27.0,9.0,27.0,6.75,inf,inf,inf,inf,inf
PRES ~ PRES PERF,1.53,13.0,13.0,6.5,inf,inf,26.0,inf,inf,inf
MOD would,1.47,4.17,12.5,inf,inf,inf,inf,inf,inf,inf
TO INF,1.32,25.0,6.25,inf,inf,inf,inf,25.0,inf,inf
FUT ~ MOD lest,1.71,4.8,inf,8.0,12.0,inf,inf,inf,inf,inf
MOD would ~ PAST,1.6,6.0,8.0,24.0,inf,inf,inf,24.0,inf,inf
MOD may ~ TO INF,1.28,inf,11.5,7.67,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,1.11,inf,21.0,inf,inf,inf,21.0,inf,inf,inf
MOD let,2.62,3.5,3.5,21.0,inf,inf,inf,inf,inf,inf
FUT ~ IMPV,2.11,4.75,4.75,9.5,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,1.46,6.33,9.5,inf,inf,inf,inf,19.0,inf,inf
MOD may ~ MOD shall,1.06,inf,inf,18.0,inf,inf,inf,inf,inf,inf
