eng_TAMsimp,qal,hif,piel,nif,hit,pual,hof,hsht,nit,htpo
FUT,754,348,152,61,7,5,2,1,0,0
FUT ~ MOD shall,800,81,56,108,6,6,3,1,0,1
PRES,326,48,41,45,19,3,7,3,0,0
IMPV ~ MOD shall,300,66,44,3,4,0,0,1,0,0
IMPV,271,35,23,11,4,0,0,0,0,0
MOD is to ~ MOD shall,207,66,24,6,1,1,1,2,0,0
PAST,115,40,30,18,1,0,2,0,0,0
MOD shall,114,47,38,6,0,0,0,0,0,0
MOD must ~ MOD shall,64,28,29,25,2,2,3,0,0,0
FUT ~ PRES,74,15,8,10,2,1,0,0,0,0
MOD may,49,6,6,3,0,0,0,1,1,0
PAST ~ PRES,56,4,1,3,0,0,0,0,0,0
MOD shall ~ PRES,43,6,3,3,0,0,1,0,0,0
FUT ~ MOD may,35,4,5,8,0,2,0,0,0,0
PRES PERF,15,8,9,1,1,0,1,0,0,0
MOD shall ~ TO INF,14,1,13,0,0,0,0,0,0,0
PRES ~ PRES PART,18,1,3,1,4,0,0,0,0,0
PRES ~ PRES PERF,17,2,2,4,0,0,1,0,0,0
MOD would,17,6,2,0,0,0,0,0,0,0
TO INF,19,1,4,0,0,0,0,1,0,0
FUT ~ MOD lest,14,5,0,3,2,0,0,0,0,0
MOD would ~ PAST,15,4,3,1,0,0,0,1,0,0
MOD may ~ TO INF,18,0,2,3,0,0,0,0,0,0
MOD may ~ PRES,19,0,1,0,0,0,1,0,0,0
MOD let,8,6,6,1,0,0,0,0,0,0
FUT ~ IMPV,9,4,4,2,0,0,0,0,0,0
PRES ~ TO INF,13,3,2,0,0,0,0,1,0,0
MOD may ~ MOD shall,17,0,0,1,0,0,0,0,0,0
PAST ~ PRES PART,12,1,3,1,0,0,0,0,0,0
FUT ~ TO INF,12,3,1,0,0,0,0,0,0,0
MOD shall ~ PRES PART,13,1,1,0,0,0,0,1,0,0
IMPV ~ PRES,10,2,1,1,1,0,0,0,0,0
IMPV ~ MOD let,9,2,3,0,0,0,0,0,0,0
PRES PART,9,4,1,0,0,0,0,0,0,0
IMPV ~ TO INF,6,5,1,0,0,0,0,1,0,0
PAST ~ PRES PERF,7,1,4,1,0,0,0,0,0,0
FUT ~ MOD let,4,4,2,2,0,0,0,0,0,0
FUT ~ PRES PART,7,3,2,0,0,0,0,0,0,0
MOD can ~ MOD may,8,0,0,1,1,1,0,0,0,0
FUT ~ MOD would,5,5,1,0,0,0,0,0,0,0
MOD can ~ MOD shall,8,2,0,0,0,0,0,0,0,0
MOD shall ~ PAST,7,1,0,1,0,0,0,0,0,0
MOD let ~ MOD shall,7,1,1,0,0,0,0,0,0,0
MOD is to ~ PRES,4,3,0,1,0,0,0,0,0,0
MOD is to ~ MOD let,3,2,3,0,0,0,0,0,0,0
MOD let ~ MOD may,5,0,1,1,1,0,0,0,0,0
FUT ~ PAST,5,2,1,0,0,0,0,0,0,0
MOD is to ~ PAST,5,2,0,0,0,0,0,0,0,0
MOD lest ~ MOD may,6,0,1,0,0,0,0,0,0,0
PAST ~ TO INF,5,0,2,0,0,0,0,0,0,0
MOD lest ~ TO INF,3,3,0,0,0,0,0,1,0,0
PAST ~ PAST PROG,5,1,0,0,0,1,0,0,0,0
MOD shall ~ PRES PERF,4,1,0,1,0,0,0,0,0,0
FUT ~ PRES PERF,5,0,0,1,0,0,0,0,0,0
IMPV ~ MOD lest,2,2,0,1,0,0,0,0,0,0
MOD shall ~ MOD would,4,1,0,0,0,0,0,0,0,0
MOD may ~ MOD must,3,1,0,1,0,0,0,0,0,0
MOD can,1,0,2,2,0,0,0,0,0,0
MOD would ~ PRES,3,2,0,0,0,0,0,0,0,0
IMPV ~ PAST,1,4,0,0,0,0,0,0,0,0
MOD should ~ PRES,3,0,0,1,0,0,0,0,0,0
HAB used to ~ PAST,1,3,0,0,0,0,0,0,0,0
IMPV ~ MOD may,2,0,1,1,0,0,0,0,0,0
IMPV ~ MOD must,2,1,1,0,0,0,0,0,0,0
PAST PERF,1,1,2,0,0,0,0,0,0,0
MOD shall ~ MOD should,4,0,0,0,0,0,0,0,0,0
FUT ~ MOD can,1,2,0,1,0,0,0,0,0,0
MOD let ~ TO INF,3,0,1,0,0,0,0,0,0,0
FUT ~ FUT PERF,0,2,2,0,0,0,0,0,0,0
MOD should,3,0,1,0,0,0,0,0,0,0
MOD could ~ MOD may,3,0,0,0,0,0,0,0,0,0
PAST ~ PAST PERF,0,1,2,0,0,0,0,0,0,0
MOD can ~ PRES,3,0,0,0,0,0,0,0,0,0
MOD should ~ TO INF,2,1,0,0,0,0,0,0,0,0
IMPV ~ MOD would,1,2,0,0,0,0,0,0,0,0
MOD VB ~ PRES,1,0,2,0,0,0,0,0,0,0
MOD is to ~ TO INF,1,0,2,0,0,0,0,0,0,0
HAB used to ~ MOD would,1,1,1,0,0,0,0,0,0,0
HAB used to,3,0,0,0,0,0,0,0,0,0
MOD was to,1,2,0,0,0,0,0,0,0,0
FUT ~ FUT going-to,2,1,0,0,0,0,0,0,0,0
IMPV ~ MOD is to,1,0,0,0,0,0,0,1,0,0
MOD that be ~ TO INF,2,0,0,0,0,0,0,0,0,0
MOD was to ~ PAST,1,1,0,0,0,0,0,0,0,0
PRES ~ PRES PROG,1,1,0,0,0,0,0,0,0,0
FUT ~ MOD must,0,1,0,1,0,0,0,0,0,0
IMPV ~ PRES PART,2,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PART,1,1,0,0,0,0,0,0,0,0
FUT going-to ~ MOD shall,2,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PERF,1,1,0,0,0,0,0,0,0,0
MOD may ~ PRES PART,2,0,0,0,0,0,0,0,0,0
MOD can ~ MOD let,2,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD might,1,1,0,0,0,0,0,0,0,0
MOD may ~ MOD should,2,0,0,0,0,0,0,0,0,0
MOD let ~ PRES,1,0,0,0,1,0,0,0,0,0
MOD must ~ PRES,1,0,0,0,1,0,0,0,0,0
MOD let ~ MOD must,1,0,1,0,0,0,0,0,0,0
MOD lest ~ PRES PART,1,0,0,0,0,0,0,1,0,0
MOD lest ~ MOD must,2,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PART,2,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD may,0,1,0,0,0,0,0,0,0,0
MOD let ~ PRES PART,1,0,0,0,0,0,0,0,0,0
MOD should ~ MOD would,0,0,0,1,0,0,0,0,0,0
MOD let ~ MOD should,1,0,0,0,0,0,0,0,0,0
MOD let ~ MOD would,1,0,0,0,0,0,0,0,0,0
MOD can ~ TO INF,0,0,0,1,0,0,0,0,0,0
MOD would ~ PRES PROG,0,0,1,0,0,0,0,0,0,0
FUT ~ MOD is to,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD VB,1,0,0,0,0,0,0,0,0,0
MOD ~ MOD would,0,1,0,0,0,0,0,0,0,0
MOD would ~ TO INF,1,0,0,0,0,0,0,0,0,0
MOD must,1,0,0,0,0,0,0,0,0,0
FUT ~ FUT PROG,1,0,0,0,0,0,0,0,0,0
MOD might ~ MOD would,0,0,1,0,0,0,0,0,0,0
PAST PROG ~ TO INF,0,0,1,0,0,0,0,0,0,0
FUT PROG,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD should,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD that be,0,0,0,0,0,0,0,0,1,0
PAST PERF ~ PRES PART,0,1,0,0,0,0,0,0,0,0
MOD could,1,0,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,1,0,0,0,0,0,0,0,0,0
MOD let ~ MOD might,1,0,0,0,0,0,0,0,0,0
MOD might,0,1,0,0,0,0,0,0,0,0
MOD quest must ~ MOD shall,1,0,0,0,0,0,0,0,0,0
PRES ~ VB,0,1,0,0,0,0,0,0,0,0
MOD could ~ MOD would,1,0,0,0,0,0,0,0,0,0
MOD lest ~ PRES,1,0,0,0,0,0,0,0,0,0
HAB used to ~ PAST PROG,0,0,1,0,0,0,0,0,0,0
HAB used to ~ PRES PART,1,0,0,0,0,0,0,0,0,0
MOD could ~ TO INF,1,0,0,0,0,0,0,0,0,0
IMPV ~ MOD VB,0,1,0,0,0,0,0,0,0,0
MOD is to ~ MOD lest,1,0,0,0,0,0,0,0,0,0
