eng_TAMsimp,qal,hif,piel,nif,hit,pual,hof,hsht,nit,htpo
FUT,0.76,2.82,7.75,20.8,189.0,265.0,664.0,1329.0,inf,inf
FUT ~ MOD shall,0.33,12.11,17.96,8.83,176.0,176.0,353.0,1061.0,inf,1061.0
PRES,0.51,9.25,11.0,9.93,24.89,163.0,69.29,163.0,inf,inf
IMPV ~ MOD shall,0.39,5.33,8.5,138.33,103.5,inf,inf,417.0,inf,inf
IMPV,0.27,8.83,13.96,30.27,85.0,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,0.49,3.67,11.83,50.33,307.0,307.0,307.0,153.0,inf,inf
PAST,0.79,4.15,5.87,10.44,205.0,inf,102.0,inf,inf,inf
MOD shall,0.8,3.36,4.39,33.17,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,1.39,4.46,4.28,5.12,75.5,75.5,50.0,inf,inf,inf
FUT ~ PRES,0.49,6.33,12.75,10.0,54.0,109.0,inf,inf,inf,inf
MOD may,0.35,10.0,10.0,21.0,inf,inf,inf,65.0,65.0,inf
PAST ~ PRES,0.14,15.0,63.0,20.33,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,0.3,8.33,17.67,17.67,inf,inf,55.0,inf,inf,inf
FUT ~ MOD may,0.54,12.5,9.8,5.75,inf,26.0,inf,inf,inf,inf
PRES PERF,1.33,3.38,2.89,34.0,34.0,inf,34.0,inf,inf,inf
MOD shall ~ TO INF,1.0,27.0,1.15,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,0.5,26.0,8.0,26.0,5.75,inf,inf,inf,inf,inf
PRES ~ PRES PERF,0.53,12.0,12.0,5.5,inf,inf,25.0,inf,inf,inf
MOD would,0.47,3.17,11.5,inf,inf,inf,inf,inf,inf,inf
TO INF,0.32,24.0,5.25,inf,inf,inf,inf,24.0,inf,inf
FUT ~ MOD lest,0.71,3.8,inf,7.0,11.0,inf,inf,inf,inf,inf
MOD would ~ PAST,0.6,5.0,7.0,23.0,inf,inf,inf,23.0,inf,inf
MOD may ~ TO INF,0.28,inf,10.5,6.67,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,0.11,inf,20.0,inf,inf,inf,20.0,inf,inf,inf
MOD let,1.62,2.5,2.5,20.0,inf,inf,inf,inf,inf,inf
FUT ~ IMPV,1.11,3.75,3.75,8.5,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,0.46,5.33,8.5,inf,inf,inf,inf,18.0,inf,inf
MOD may ~ MOD shall,0.06,inf,inf,17.0,inf,inf,inf,inf,inf,inf
PAST ~ PRES PART,0.42,16.0,4.67,16.0,inf,inf,inf,inf,inf,inf
FUT ~ TO INF,0.33,4.33,15.0,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES PART,0.23,15.0,15.0,inf,inf,inf,inf,15.0,inf,inf
IMPV ~ PRES,0.5,6.5,14.0,14.0,14.0,inf,inf,inf,inf,inf
IMPV ~ MOD let,0.56,6.0,3.67,inf,inf,inf,inf,inf,inf,inf
PRES PART,0.56,2.5,13.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ TO INF,1.17,1.6,12.0,inf,inf,inf,inf,12.0,inf,inf
PAST ~ PRES PERF,0.86,12.0,2.25,12.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD let,2.0,2.0,5.0,5.0,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,0.71,3.0,5.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD may,0.38,inf,inf,10.0,10.0,10.0,inf,inf,inf,inf
FUT ~ MOD would,1.2,1.2,10.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD shall,0.25,4.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PAST,0.29,8.0,inf,8.0,inf,inf,inf,inf,inf,inf
MOD let ~ MOD shall,0.29,8.0,8.0,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES,1.0,1.67,inf,7.0,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD let,1.67,3.0,1.67,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,0.6,inf,7.0,7.0,7.0,inf,inf,inf,inf,inf
FUT ~ PAST,0.6,3.0,7.0,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PAST,0.4,2.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD may,0.17,inf,6.0,inf,inf,inf,inf,inf,inf,inf
PAST ~ TO INF,0.4,inf,2.5,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ TO INF,1.33,1.33,inf,inf,inf,inf,inf,6.0,inf,inf
PAST ~ PAST PROG,0.4,6.0,inf,inf,inf,6.0,inf,inf,inf,inf
MOD shall ~ PRES PERF,0.5,5.0,inf,5.0,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,0.2,inf,inf,5.0,inf,inf,inf,inf,inf,inf
IMPV ~ MOD lest,1.5,1.5,inf,4.0,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD would,0.25,4.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD must,0.67,4.0,inf,4.0,inf,inf,inf,inf,inf,inf
MOD can,4.0,inf,1.5,1.5,inf,inf,inf,inf,inf,inf
MOD would ~ PRES,0.67,1.5,inf,inf,inf,inf,inf,inf,inf,inf
