,qal,hif,piel,nif,hit,pual,hof,hsht,nit,htpo
FUT,0.61,2.31,1.23,0.68,0.44,0.95,0.32,0.2,0.0,0.0
FUT ~ MOD shall,1.79,0.37,0.45,2.05,0.5,1.62,0.68,0.27,0.0,inf
PRES,1.04,0.53,0.81,1.61,5.27,1.66,4.95,2.25,0.0,0.0
IMPV ~ MOD shall,1.38,0.96,1.07,0.1,0.93,0.0,0.0,0.78,0.0,0.0
IMPV,2.04,0.56,0.63,0.49,1.14,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,1.09,1.43,0.75,0.29,0.3,0.83,0.83,2.32,0.0,0.0
PAST,0.66,1.24,1.57,1.48,0.46,0.0,2.66,0.0,0.0,0.0
MOD shall,0.65,1.55,2.14,0.45,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,0.37,1.15,2.18,3.13,1.29,3.63,5.77,0.0,0.0,0.0
FUT ~ PRES,1.09,0.81,0.71,1.54,1.81,2.41,0.0,0.0,0.0,0.0
MOD may,1.53,0.51,0.9,0.72,0.0,0.0,0.0,5.35,85.88,0.0
PAST ~ PRES,3.75,0.34,0.14,0.75,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,1.76,0.61,0.51,0.86,0.0,0.0,4.82,0.0,0.0,0.0
FUT ~ MOD may,0.97,0.41,0.92,2.69,0.0,10.72,0.0,0.0,0.0,0.0
PRES PERF,0.39,1.52,3.17,0.45,2.87,0.0,7.83,0.0,0.0,0.0
MOD shall ~ TO INF,0.53,0.19,8.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,1.06,0.2,1.13,0.58,17.93,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,1.0,0.43,0.75,2.79,0.0,0.0,10.67,0.0,0.0,0.0
MOD would,1.13,1.62,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,1.68,0.21,1.73,0.0,0.0,0.0,0.0,14.6,0.0,0.0
FUT ~ MOD lest,0.74,1.35,0.0,2.19,9.04,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,0.88,1.02,1.29,0.66,0.0,0.0,0.0,15.24,0.0,0.0
MOD may ~ TO INF,1.91,0.0,0.86,2.3,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,5.05,0.0,0.45,0.0,0.0,0.0,13.35,0.0,0.0,0.0
MOD let,0.32,2.05,3.65,0.76,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ IMPV,0.48,1.37,2.42,1.8,0.0,0.0,0.0,0.0,0.0,0.0
