eng_TAMsimp,TOTAL,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
FUT,1971,583,348,212,209,205,143,144,65,40,22,0
FUT ~ MOD shall,1552,338,248,332,241,49,139,62,43,79,21,0
PRES,1510,413,203,158,209,198,135,79,73,25,13,4
IMPV,596,360,169,23,6,13,6,11,3,4,1,0
IMPV ~ MOD shall,496,302,164,10,4,6,6,0,1,3,0,0
MOD let,359,23,20,13,26,91,14,69,81,3,19,0
PAST,350,69,66,30,31,74,28,25,13,11,3,0
MOD must ~ MOD shall,325,147,83,43,22,6,16,1,1,5,1,0
FUT ~ PRES,323,76,48,57,59,25,20,17,8,9,4,0
MOD is to ~ MOD shall,258,97,53,24,28,7,31,3,2,13,0,0
MOD may,240,24,24,9,28,11,18,74,19,9,24,0
MOD shall,206,82,32,14,35,8,28,1,2,4,0,0
MOD can,189,61,40,21,26,7,26,0,0,7,1,0
MOD shall ~ PRES,115,40,17,21,18,7,7,1,0,2,2,0
IMPV ~ MOD let,109,12,10,8,10,16,10,12,19,3,9,0
MOD let ~ MOD may,104,5,2,8,9,15,4,16,39,1,5,0
MOD would,92,32,10,5,15,12,5,8,2,3,0,0
FUT ~ MOD may,90,6,16,5,4,10,2,28,5,7,7,0
PAST ~ PRES,82,28,10,7,9,13,5,8,1,1,0,0
PRES ~ PRES PART,60,26,10,1,8,6,4,3,0,2,0,0
MOD may ~ MOD shall,54,8,4,14,14,0,4,3,3,3,1,0
FUT ~ MOD can,54,16,13,9,11,0,3,2,0,0,0,0
MOD should,51,19,4,2,2,0,14,3,2,5,0,0
TO INF,49,6,11,1,2,6,0,22,0,1,0,0
MOD can ~ PRES,45,16,8,3,3,2,12,0,0,1,0,0
MOD can ~ MOD may,40,9,7,3,2,0,1,16,0,0,2,0
PRES ~ PRES PERF,40,15,7,1,5,3,3,2,3,1,0,0
MOD can ~ MOD shall,40,23,3,4,4,0,1,2,0,3,0,0
PRES PART,39,15,11,4,2,6,0,1,0,0,0,0
MOD may ~ PRES,35,3,4,1,5,2,8,4,4,1,3,0
IMPV ~ PRES,33,6,13,3,5,2,0,0,4,0,0,0
FUT ~ MOD would,33,15,3,3,4,3,2,2,0,1,0,0
MOD must,32,16,6,2,2,2,1,2,1,0,0,0
MOD should ~ PRES,30,10,6,3,3,0,5,3,0,0,0,0
MOD shall ~ TO INF,30,10,7,2,6,0,0,3,0,1,1,0
IMPV ~ MOD may,28,5,7,1,3,1,4,5,2,0,0,0
PRES PERF,27,6,6,1,1,4,7,1,0,1,0,0
MOD may ~ TO INF,27,1,1,0,0,0,0,23,0,0,2,0
PAST ~ PRES PERF,26,5,2,0,1,7,3,3,4,1,0,0
MOD would ~ PAST,25,6,10,4,1,1,1,0,1,1,0,0
FUT ~ MOD lest,24,0,15,1,0,0,1,0,0,7,0,0
FUT ~ TO INF,22,3,4,1,3,4,3,4,0,0,0,0
MOD let ~ PRES,22,2,3,0,3,5,1,2,5,0,1,0
MOD shall ~ MOD should,21,11,5,0,2,0,3,0,0,0,0,0
FUT ~ IMPV,20,3,6,1,3,4,0,2,0,0,1,0
FUT ~ MOD let,19,3,2,1,0,5,1,1,3,0,3,0
MOD could,19,9,4,1,1,0,2,0,0,2,0,0
PRES ~ TO INF,18,3,3,1,0,5,0,6,0,0,0,0
MOD let ~ TO INF,17,0,0,1,0,2,0,13,1,0,0,0
