eng_TAMsimp,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
FUT,0.3,0.18,0.11,0.11,0.1,0.07,0.07,0.03,0.02,0.01,0.0
FUT ~ MOD shall,0.22,0.16,0.21,0.16,0.03,0.09,0.04,0.03,0.05,0.01,0.0
PRES,0.27,0.13,0.1,0.14,0.13,0.09,0.05,0.05,0.02,0.01,0.0
IMPV,0.6,0.28,0.04,0.01,0.02,0.01,0.02,0.01,0.01,0.0,0.0
IMPV ~ MOD shall,0.61,0.33,0.02,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0
MOD let,0.06,0.06,0.04,0.07,0.25,0.04,0.19,0.23,0.01,0.05,0.0
PAST,0.2,0.19,0.09,0.09,0.21,0.08,0.07,0.04,0.03,0.01,0.0
MOD must ~ MOD shall,0.45,0.26,0.13,0.07,0.02,0.05,0.0,0.0,0.02,0.0,0.0
FUT ~ PRES,0.24,0.15,0.18,0.18,0.08,0.06,0.05,0.02,0.03,0.01,0.0
MOD is to ~ MOD shall,0.38,0.21,0.09,0.11,0.03,0.12,0.01,0.01,0.05,0.0,0.0
MOD may,0.1,0.1,0.04,0.12,0.05,0.08,0.31,0.08,0.04,0.1,0.0
MOD shall,0.4,0.16,0.07,0.17,0.04,0.14,0.0,0.01,0.02,0.0,0.0
MOD can,0.32,0.21,0.11,0.14,0.04,0.14,0.0,0.0,0.04,0.01,0.0
MOD shall ~ PRES,0.35,0.15,0.18,0.16,0.06,0.06,0.01,0.0,0.02,0.02,0.0
IMPV ~ MOD let,0.11,0.09,0.07,0.09,0.15,0.09,0.11,0.17,0.03,0.08,0.0
MOD let ~ MOD may,0.05,0.02,0.08,0.09,0.14,0.04,0.15,0.38,0.01,0.05,0.0
MOD would,0.35,0.11,0.05,0.16,0.13,0.05,0.09,0.02,0.03,0.0,0.0
FUT ~ MOD may,0.07,0.18,0.06,0.04,0.11,0.02,0.31,0.06,0.08,0.08,0.0
PAST ~ PRES,0.34,0.12,0.09,0.11,0.16,0.06,0.1,0.01,0.01,0.0,0.0
PRES ~ PRES PART,0.43,0.17,0.02,0.13,0.1,0.07,0.05,0.0,0.03,0.0,0.0
MOD may ~ MOD shall,0.15,0.07,0.26,0.26,0.0,0.07,0.06,0.06,0.06,0.02,0.0
FUT ~ MOD can,0.3,0.24,0.17,0.2,0.0,0.06,0.04,0.0,0.0,0.0,0.0
