eng_TAMsimp,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
FUT,583,348,212,209,205,143,144,65,40,22,0
FUT ~ MOD shall,338,248,332,241,49,139,62,43,79,21,0
PRES,413,203,158,209,198,135,79,73,25,13,4
IMPV,360,169,23,6,13,6,11,3,4,1,0
IMPV ~ MOD shall,302,164,10,4,6,6,0,1,3,0,0
MOD let,23,20,13,26,91,14,69,81,3,19,0
PAST,69,66,30,31,74,28,25,13,11,3,0
MOD must ~ MOD shall,147,83,43,22,6,16,1,1,5,1,0
FUT ~ PRES,76,48,57,59,25,20,17,8,9,4,0
MOD is to ~ MOD shall,97,53,24,28,7,31,3,2,13,0,0
MOD may,24,24,9,28,11,18,74,19,9,24,0
MOD shall,82,32,14,35,8,28,1,2,4,0,0
MOD can,61,40,21,26,7,26,0,0,7,1,0
MOD shall ~ PRES,40,17,21,18,7,7,1,0,2,2,0
IMPV ~ MOD let,12,10,8,10,16,10,12,19,3,9,0
MOD let ~ MOD may,5,2,8,9,15,4,16,39,1,5,0
MOD would,32,10,5,15,12,5,8,2,3,0,0
FUT ~ MOD may,6,16,5,4,10,2,28,5,7,7,0
PAST ~ PRES,28,10,7,9,13,5,8,1,1,0,0
PRES ~ PRES PART,26,10,1,8,6,4,3,0,2,0,0
MOD may ~ MOD shall,8,4,14,14,0,4,3,3,3,1,0
FUT ~ MOD can,16,13,9,11,0,3,2,0,0,0,0
MOD should,19,4,2,2,0,14,3,2,5,0,0
TO INF,6,11,1,2,6,0,22,0,1,0,0
MOD can ~ PRES,16,8,3,3,2,12,0,0,1,0,0
MOD can ~ MOD may,9,7,3,2,0,1,16,0,0,2,0
PRES ~ PRES PERF,15,7,1,5,3,3,2,3,1,0,0
MOD can ~ MOD shall,23,3,4,4,0,1,2,0,3,0,0
PRES PART,15,11,4,2,6,0,1,0,0,0,0
MOD may ~ PRES,3,4,1,5,2,8,4,4,1,3,0
IMPV ~ PRES,6,13,3,5,2,0,0,4,0,0,0
FUT ~ MOD would,15,3,3,4,3,2,2,0,1,0,0
MOD must,16,6,2,2,2,1,2,1,0,0,0
MOD should ~ PRES,10,6,3,3,0,5,3,0,0,0,0
MOD shall ~ TO INF,10,7,2,6,0,0,3,0,1,1,0
IMPV ~ MOD may,5,7,1,3,1,4,5,2,0,0,0
PRES PERF,6,6,1,1,4,7,1,0,1,0,0
MOD may ~ TO INF,1,1,0,0,0,0,23,0,0,2,0
PAST ~ PRES PERF,5,2,0,1,7,3,3,4,1,0,0
MOD would ~ PAST,6,10,4,1,1,1,0,1,1,0,0
FUT ~ MOD lest,0,15,1,0,0,1,0,0,7,0,0
FUT ~ TO INF,3,4,1,3,4,3,4,0,0,0,0
MOD let ~ PRES,2,3,0,3,5,1,2,5,0,1,0
MOD shall ~ MOD should,11,5,0,2,0,3,0,0,0,0,0
FUT ~ IMPV,3,6,1,3,4,0,2,0,0,1,0
FUT ~ MOD let,3,2,1,0,5,1,1,3,0,3,0
MOD could,9,4,1,1,0,2,0,0,2,0,0
PRES ~ TO INF,3,3,1,0,5,0,6,0,0,0,0
MOD let ~ TO INF,0,0,1,0,2,0,13,1,0,0,0
MOD shall ~ PRES PART,7,3,3,0,0,2,1,0,1,0,0
PAST ~ PRES PART,3,5,1,1,1,2,3,0,0,0,0
MOD would ~ PRES,8,2,1,2,1,0,1,1,0,0,0
MOD let ~ MOD shall,4,1,2,1,2,1,1,2,1,0,0
FUT ~ PAST,3,4,3,1,1,1,1,0,0,1,0
FUT ~ PRES PART,6,3,1,0,2,1,0,0,0,1,0
IMPV ~ MOD must,7,2,1,1,0,1,0,1,0,0,0
IMPV ~ MOD can,2,9,0,0,0,0,0,0,0,0,0
MOD may ~ MOD must,5,3,2,0,0,0,1,0,0,0,0
MOD shall ~ PAST,4,0,3,1,0,2,0,0,1,0,0
MOD must ~ PRES,4,3,0,2,0,0,0,0,2,0,0
HAB used to ~ PAST,2,2,0,1,0,3,0,0,1,0,0
MOD should ~ MOD would,2,0,0,3,1,0,1,1,1,0,0
PAST ~ TO INF,3,1,1,0,2,1,1,0,0,0,0
MOD is to ~ MOD let,0,1,1,3,0,2,1,1,0,0,0
FUT ~ MOD should,5,1,2,1,0,0,0,0,0,0,0
MOD let ~ MOD must,3,3,1,0,0,0,1,0,1,0,0
MOD let ~ MOD should,1,0,0,1,0,4,1,1,0,0,0
