,xYq0,WxY0,WXYq,XYqt,xYqX,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
FUT ~ MOD should,2.8,0.53,2.06,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD would,0.64,0.0,0.0,3.74,0.0,1.52,2.82,4.13,4.61,0.0,0.0
PRES ~ PRES PROG,1.34,0.0,2.41,1.07,1.69,0.0,0.0,0.0,5.27,0.0,0.0
PAST ~ TO INF,0.9,0.71,1.2,0.0,1.97,4.87,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,1.68,0.71,2.89,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,0.37,0.71,2.89,2.99,0.0,2.03,0.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,0.45,0.85,0.0,0.0,0.0,0.0,45.49,0.0,0.0,0.0,0.0
MOD let ~ MOD must,1.12,2.13,1.44,0.0,0.0,0.0,0.0,6.61,0.0,0.0,0.0
MOD was to ~ PAST,2.24,0.0,0.0,0.0,5.91,0.0,4.51,0.0,0.0,0.0,0.0
MOD could ~ PAST,0.56,2.83,1.8,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to,0.56,0.0,0.0,11.22,2.95,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD shall,8.97,0.0,0.0,0.0,0.0,0.0,5.64,0.0,0.0,0.0,0.0
MOD can ~ TO INF,1.49,2.83,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,1.49,1.06,4.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD would,8.97,0.0,0.0,0.0,0.0,0.0,0.0,8.26,0.0,0.0,0.0
IMPV ~ PRES PART,3.36,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD would,2.24,1.42,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD may,0.0,1.42,21.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES PART,0.75,0.0,7.22,0.0,0.0,0.0,0.0,11.02,0.0,0.0,0.0
MOD can ~ PAST,0.0,1.42,2.4,2.49,3.94,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ MOD should,0.75,0.0,0.0,0.0,3.94,4.06,0.0,11.02,0.0,0.0,0.0
MOD let ~ MOD may,0.75,0.0,2.4,2.49,0.0,0.0,0.0,0.0,12.31,0.0,0.0
IMPV ~ TO INF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.75,1.42,2.4,0.0,0.0,0.0,7.52,0.0,0.0,0.0,0.0
?VB ~ PAST,2.24,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to,0.0,1.42,7.22,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF,0.0,0.0,7.22,0.0,0.0,4.06,0.0,11.02,0.0,0.0,0.0
PRES PART ~ TO INF,0.0,12.76,0.0,0.0,0.0,4.06,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,0.0,1.42,0.0,0.0,0.0,0.0,68.06,0.0,0.0,0.0,0.0
FUT ~ FUT going-to,2.24,0.0,0.0,2.49,3.94,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PAST,0.0,0.0,0.0,0.0,0.0,0.0,68.06,0.0,12.31,0.0,0.0
HAB used to,1.12,0.0,14.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,0.0,0.0,0.0,3.73,0.0,24.38,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD may,0.0,2.12,3.61,0.0,0.0,0.0,0.0,0.0,18.47,0.0,0.0
FUT ~ MOD that be,0.0,2.12,0.0,0.0,0.0,0.0,0.0,66.36,0.0,0.0,0.0
MOD shall ~ PRES PERF,1.12,2.12,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES,1.12,0.0,0.0,0.0,0.0,6.08,11.28,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,4.48,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD must,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD is to,4.48,0.0,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ MOD would,1.12,2.12,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD let,1.12,2.12,0.0,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might,0.0,0.0,0.0,3.73,23.66,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ PRES,0.0,8.5,0.0,0.0,0.0,0.0,0.0,16.52,0.0,0.0,0.0
MOD is to ~ MOD may,4.48,0.0,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,0.0,8.5,0.0,0.0,0.0,0.0,11.28,0.0,0.0,0.0,0.0
MOD might ~ TO INF,0.0,0.0,0.0,7.47,0.0,0.0,22.57,0.0,0.0,0.0,0.0
IMPV ~ MOD should,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD should,0.0,4.25,0.0,0.0,0.0,0.0,22.57,0.0,0.0,0.0,0.0
MOD need not ~ MOD shall,0.0,4.25,0.0,0.0,11.81,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,2.24,0.0,7.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD could,0.0,4.25,7.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD lest,0.0,4.25,7.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD should,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ TO INF,0.0,0.0,7.22,7.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD might,2.24,0.0,0.0,0.0,11.81,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
MOD let ~ PAST,2.24,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD might,0.0,0.0,0.0,0.0,11.81,0.0,0.0,33.05,0.0,0.0,0.0
MOD is to ~ PRES PART,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD let ~ TO INF,0.0,0.0,7.22,0.0,0.0,0.0,22.57,0.0,0.0,0.0,0.0
MOD is to ~ MOD must,2.24,0.0,0.0,7.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PROG,2.24,0.0,0.0,0.0,0.0,12.17,0.0,0.0,0.0,0.0,0.0
MOD could ~ TO INF,0.0,4.25,7.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD might,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD quest must,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PRES PERF,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD would,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD is to,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST PERF,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT PROG,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD lest,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ MOD shall,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES do,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES shall,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD lest,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD can,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PRES PERF,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not ~ PRES,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD shall,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest must,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest must ~ MOD shall,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD must,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD shall,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD must,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD might,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD would,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD shall,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ ~ PRES,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
MOD was to ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES shall,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PROG,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
MOD should ~ PAST,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD should,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PART,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
IMPV ~ MOD need not,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PERF,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
MOD let ~ MOD that be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
MOD must ~ PRES PART,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PRES,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD that be,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
