eng_TAMsimp,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
FUT,2.38,4.66,8.3,8.43,8.61,12.78,12.69,29.32,48.28,88.59,inf
FUT ~ MOD shall,3.59,5.26,3.67,5.44,30.67,10.17,24.03,35.09,18.65,72.9,inf
PRES,2.66,6.44,8.56,6.22,6.63,10.19,18.11,19.68,59.4,115.15,376.5
IMPV,0.66,2.53,24.91,98.33,44.85,98.33,53.18,197.67,148.0,595.0,inf
IMPV ~ MOD shall,0.64,2.02,48.6,123.0,81.67,81.67,inf,495.0,164.33,inf,inf
MOD let,14.61,16.95,26.62,12.81,2.95,24.64,4.2,3.43,118.67,17.89,inf
PAST,4.07,4.3,10.67,10.29,3.73,11.5,13.0,25.92,30.82,115.67,inf
MOD must ~ MOD shall,1.21,2.92,6.56,13.77,53.17,19.31,324.0,324.0,64.0,324.0,inf
FUT ~ PRES,3.25,5.73,4.67,4.47,11.92,15.15,18.0,39.38,34.89,79.75,inf
MOD is to ~ MOD shall,1.66,3.87,9.75,8.21,35.86,7.32,85.0,128.0,18.85,inf,inf
MOD may,9.0,9.0,25.67,7.57,20.82,12.33,2.24,11.63,25.67,9.0,inf
MOD shall,1.51,5.44,13.71,4.89,24.75,6.36,205.0,102.0,50.5,inf,inf
MOD can,2.1,3.73,8.0,6.27,26.0,6.27,inf,inf,26.0,188.0,inf
MOD shall ~ PRES,1.88,5.76,4.48,5.39,15.43,15.43,114.0,inf,56.5,56.5,inf
IMPV ~ MOD let,8.08,9.9,12.62,9.9,5.81,9.9,8.08,4.74,35.33,11.11,inf
MOD let ~ MOD may,19.8,51.0,12.0,10.56,5.93,25.0,5.5,1.67,103.0,19.8,inf
MOD would,1.88,8.2,17.4,5.13,6.67,17.4,10.5,45.0,29.67,inf,inf
FUT ~ MOD may,14.0,4.62,17.0,21.5,8.0,44.0,2.21,17.0,11.86,11.86,inf
PAST ~ PRES,1.93,7.2,10.71,8.11,5.31,15.4,9.25,81.0,81.0,inf,inf
PRES ~ PRES PART,1.31,5.0,59.0,6.5,9.0,14.0,19.0,inf,29.0,inf,inf
MOD may ~ MOD shall,5.75,12.5,2.86,2.86,inf,12.5,17.0,17.0,17.0,53.0,inf
FUT ~ MOD can,2.38,3.15,5.0,3.91,inf,17.0,26.0,inf,inf,inf,inf
MOD should,1.68,11.75,24.5,24.5,inf,2.64,16.0,24.5,9.2,inf,inf
TO INF,7.17,3.45,48.0,23.5,7.17,inf,1.23,inf,48.0,inf,inf
MOD can ~ PRES,1.81,4.62,14.0,14.0,21.5,2.75,inf,inf,44.0,inf,inf
MOD can ~ MOD may,3.44,4.71,12.33,19.0,inf,39.0,1.5,inf,inf,19.0,inf
PRES ~ PRES PERF,1.67,4.71,39.0,7.0,12.33,12.33,19.0,12.33,39.0,inf,inf
MOD can ~ MOD shall,0.74,12.33,9.0,9.0,inf,39.0,19.0,inf,12.33,inf,inf
PRES PART,1.6,2.55,8.75,18.5,5.5,inf,38.0,inf,inf,inf,inf
MOD may ~ PRES,10.67,7.75,34.0,6.0,16.5,3.38,7.75,7.75,34.0,10.67,inf
IMPV ~ PRES,4.5,1.54,10.0,5.6,15.5,inf,inf,7.25,inf,inf,inf
FUT ~ MOD would,1.2,10.0,10.0,7.25,10.0,15.5,15.5,inf,32.0,inf,inf
MOD must,1.0,4.33,15.0,15.0,15.0,31.0,15.0,31.0,inf,inf,inf
MOD should ~ PRES,2.0,4.0,9.0,9.0,inf,5.0,9.0,inf,inf,inf,inf
MOD shall ~ TO INF,2.0,3.29,14.0,4.0,inf,inf,9.0,inf,29.0,29.0,inf
IMPV ~ MOD may,4.6,3.0,27.0,8.33,27.0,6.0,4.6,13.0,inf,inf,inf
PRES PERF,3.5,3.5,26.0,26.0,5.75,2.86,26.0,inf,26.0,inf,inf
MOD may ~ TO INF,26.0,26.0,inf,inf,inf,inf,0.17,inf,inf,12.5,inf
PAST ~ PRES PERF,4.2,12.0,inf,25.0,2.71,7.67,7.67,5.5,25.0,inf,inf
MOD would ~ PAST,3.17,1.5,5.25,24.0,24.0,24.0,inf,24.0,24.0,inf,inf
FUT ~ MOD lest,inf,0.6,23.0,inf,inf,23.0,inf,inf,2.43,inf,inf
FUT ~ TO INF,6.33,4.5,21.0,6.33,4.5,6.33,4.5,inf,inf,inf,inf
MOD let ~ PRES,10.0,6.33,inf,6.33,3.4,21.0,10.0,3.4,inf,21.0,inf
MOD shall ~ MOD should,0.91,3.2,inf,9.5,inf,6.0,inf,inf,inf,inf,inf
FUT ~ IMPV,5.67,2.33,19.0,5.67,4.0,inf,9.0,inf,inf,19.0,inf
FUT ~ MOD let,5.33,8.5,18.0,inf,2.8,18.0,18.0,5.33,inf,5.33,inf
MOD could,1.11,3.75,18.0,18.0,inf,8.5,inf,inf,8.5,inf,inf
PRES ~ TO INF,5.0,5.0,17.0,inf,2.6,inf,2.0,inf,inf,inf,inf
MOD let ~ TO INF,inf,inf,16.0,inf,7.5,inf,0.31,16.0,inf,inf,inf
MOD shall ~ PRES PART,1.43,4.67,4.67,inf,inf,7.5,16.0,inf,16.0,inf,inf
PAST ~ PRES PART,4.33,2.2,15.0,15.0,15.0,7.0,4.33,inf,inf,inf,inf
MOD would ~ PRES,1.0,7.0,15.0,7.0,15.0,inf,15.0,15.0,inf,inf,inf
MOD let ~ MOD shall,2.75,14.0,6.5,14.0,6.5,14.0,14.0,6.5,14.0,inf,inf
FUT ~ PAST,4.0,2.75,4.0,14.0,14.0,14.0,14.0,inf,inf,14.0,inf
FUT ~ PRES PART,1.33,3.67,13.0,inf,6.0,13.0,inf,inf,inf,13.0,inf
IMPV ~ MOD must,0.86,5.5,12.0,12.0,inf,12.0,inf,12.0,inf,inf,inf
IMPV ~ MOD can,4.5,0.22,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD must,1.2,2.67,4.5,inf,inf,inf,10.0,inf,inf,inf,inf
MOD shall ~ PAST,1.75,inf,2.67,10.0,inf,4.5,inf,inf,10.0,inf,inf
MOD must ~ PRES,1.75,2.67,inf,4.5,inf,inf,inf,inf,4.5,inf,inf
HAB used to ~ PAST,3.5,3.5,inf,8.0,inf,2.0,inf,inf,8.0,inf,inf
MOD should ~ MOD would,3.5,inf,inf,2.0,8.0,inf,8.0,8.0,8.0,inf,inf
PAST ~ TO INF,2.0,8.0,8.0,inf,3.5,8.0,8.0,inf,inf,inf,inf
MOD is to ~ MOD let,inf,8.0,8.0,2.0,inf,3.5,8.0,8.0,inf,inf,inf
FUT ~ MOD should,0.8,8.0,3.5,8.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD must,2.0,2.0,8.0,inf,inf,inf,8.0,inf,8.0,inf,inf
MOD let ~ MOD should,7.0,inf,inf,7.0,inf,1.0,7.0,7.0,inf,inf,inf
PRES ~ PRES PROG,1.67,inf,3.0,7.0,inf,7.0,inf,7.0,inf,inf,inf
MOD let ~ PAST,7.0,7.0,inf,inf,7.0,7.0,7.0,1.67,inf,inf,inf
IMPV ~ TO INF,2.5,0.4,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PART,1.33,0.75,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF,1.33,6.0,2.5,6.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,6.0,1.33,6.0,inf,inf,6.0,6.0,inf,inf,inf,inf
FUT ~ MOD must,6.0,6.0,2.5,2.5,6.0,inf,inf,inf,inf,inf,inf
IMPV ~ MOD should,1.33,1.33,inf,inf,inf,6.0,inf,inf,inf,inf,inf
MOD was to ~ PAST,1.0,inf,inf,inf,inf,2.0,5.0,inf,inf,inf,inf
MOD can ~ TO INF,2.0,2.0,inf,5.0,inf,inf,5.0,inf,inf,inf,inf
?VB ~ MOD let,2.0,inf,inf,5.0,inf,1.0,inf,inf,inf,inf,inf
MOD let ~ PRES PART,4.0,4.0,1.5,4.0,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD would,0.25,inf,inf,inf,inf,inf,inf,inf,4.0,inf,inf
FUT going-to ~ MOD shall,0.25,inf,inf,inf,inf,inf,4.0,inf,inf,inf,inf
FUT ~ FUT going-to,1.5,inf,inf,4.0,inf,4.0,4.0,inf,inf,inf,inf
MOD is to,4.0,inf,inf,0.67,inf,4.0,inf,inf,inf,inf,inf
MOD can ~ MOD let,1.5,4.0,4.0,4.0,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST,4.0,1.5,4.0,inf,inf,4.0,inf,inf,inf,inf,inf
MOD could ~ MOD would,1.5,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,1.5,4.0,1.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES PART,3.0,inf,1.0,inf,inf,inf,inf,inf,3.0,inf,inf
MOD lest ~ MOD may,inf,3.0,0.33,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PAST,inf,3.0,3.0,3.0,inf,3.0,inf,inf,inf,inf,inf
MOD could ~ MOD might,inf,inf,inf,inf,3.0,3.0,3.0,inf,3.0,inf,inf
PRES PART ~ TO INF,inf,0.33,inf,inf,3.0,inf,inf,inf,inf,inf,inf
PAST PERF,inf,inf,1.0,inf,3.0,inf,inf,inf,3.0,inf,inf
PRES PERF ~ TO INF,inf,3.0,inf,inf,inf,inf,0.33,inf,inf,inf,inf
MOD was to,inf,3.0,1.0,3.0,inf,inf,inf,inf,inf,inf,inf
?VB ~ PAST,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PART,inf,1.0,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD might ~ MOD should,3.0,inf,inf,inf,3.0,3.0,inf,inf,3.0,inf,inf
MOD might ~ MOD would,3.0,3.0,3.0,inf,inf,inf,3.0,inf,inf,inf,inf
MOD might ~ PAST,inf,inf,inf,inf,inf,inf,0.33,3.0,inf,inf,inf
MOD lest ~ PRES,inf,0.5,inf,inf,inf,inf,inf,inf,2.0,inf,inf
?VB,2.0,inf,inf,inf,inf,0.5,inf,inf,inf,inf,inf
MOD should ~ TO INF,0.5,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf
PAST PERF ~ PRES,2.0,inf,inf,inf,2.0,inf,2.0,inf,inf,inf,inf
MOD could ~ MOD must,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES PERF,2.0,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD need not ~ MOD shall,inf,0.5,inf,inf,inf,2.0,inf,inf,inf,inf,inf
FUT ~ MOD that be,inf,2.0,inf,inf,inf,inf,inf,inf,0.5,inf,inf
FUT ~ PRES PERF,inf,inf,inf,2.0,0.5,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD may,inf,2.0,2.0,inf,inf,inf,inf,2.0,inf,inf,inf
MOD might,inf,inf,inf,2.0,inf,0.5,inf,inf,inf,inf,inf
FUT ~ PRES PROG,2.0,inf,inf,inf,2.0,inf,2.0,inf,inf,inf,inf
HAB used to,2.0,inf,0.5,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD would,inf,inf,2.0,inf,inf,inf,inf,0.5,inf,inf,inf
IMPV ~ MOD is to,0.5,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD may,0.5,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD could,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD lest,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ MOD must,inf,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf
?VB ~ MOD shall,inf,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf
??VB ~ MOD let,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD that be,inf,inf,inf,inf,inf,1.0,inf,inf,1.0,inf,inf
MOD would ~ TO INF,inf,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf
MOD lest,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
MOD is to ~ PRES PART,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD may ~ PAST,inf,inf,inf,inf,inf,1.0,inf,inf,inf,1.0,inf
MOD is to ~ MOD must,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PERF,inf,inf,inf,inf,1.0,inf,inf,1.0,inf,inf,inf
MOD that be,inf,inf,1.0,inf,inf,inf,1.0,inf,inf,inf,inf
MOD should ~ MOD was to,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ TO INF,inf,inf,inf,1.0,inf,inf,1.0,inf,inf,inf,inf
MOD could ~ TO INF,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD should,inf,1.0,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD can ~ MOD should,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD might,1.0,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
PAST PROG,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
