eng_TAMsimp,passé_comp,passé_simp,imparfait
PAST,851,1126,393
PRES PERF,1011,3,9
PAST ~ PRES PERF,293,0,13
PRES,201,5,11
PRES ~ PRES PERF,117,0,6
PAST ~ PAST PERF,30,52,27
PAST PERF,19,24,59
PAST ~ PRES,38,3,10
PAST ~ PRES PART,9,19,15
MOD could,1,9,18
MOD would,4,15,5
?PAST ~ PAST,10,11,1
FUT ~ PRES PERF,22,0,0
MOD could ~ PAST,2,11,7
MOD would ~ PAST,4,12,4
PAST ~ TO INF,4,8,4
PAST ~ PAST PROG,0,2,12
FUT ~ PRES,12,0,0
?PAST,3,8,1
?VB ~ PAST,5,2,1
PAST PROG,0,1,6
PRES PART ~ PRES PERF,7,0,0
PRES PART,5,1,1
PAST PERF ~ PRES PERF,6,0,0
?VB ~ PRES PERF,6,0,0
FUT ~ MOD shall,6,0,0
?PRES ~ PRES,5,0,0
HAB used to ~ PAST,1,1,3
MOD let,0,3,1
IMPV ~ PRES PERF,4,0,0
?VB ~ PRES,4,0,0
PAST PERF ~ PAST PROG,0,1,3
PRES PERF ~ PRES PROG,4,0,0
?PRES ~ PAST,1,1,1
?VB,3,0,0
MOD let ~ PRES PERF,2,0,1
PRES PROG,3,0,0
PAST PROG ~ PRES PART,0,0,3
PRES PERF ~ PRES PERF PROG,3,0,0
PRES ~ PRES PART,3,0,0
?PAST ~ PRES PART,0,2,0
?PAST ~ PAST PERF,0,0,2
?IMPV ~ PAST,2,0,0
?MOD let ~ MOD let,0,2,0
FUT ~ PAST,2,0,0
?MOD let,2,0,0
?IMPV,2,0,0
PRES ~ PRES PROG,2,0,0
MOD shall ~ PRES PERF,2,0,0
MOD would ~ TO INF,0,1,1
PAST PROG ~ PRES PERF,2,0,0
IMPV ~ PAST,0,1,0
?MOD let ~ PRES PERF,1,0,0
?PAST did not ~ PAST,1,0,0
?PAST did not,0,1,0
?MOD would,0,0,1
?MOD shall ~ PRES PERF,1,0,0
PAST PERF ~ PRES PART,1,0,0
?MOD let ~ PAST,0,0,1
MOD would ~ PRES PART,0,1,0
?MOD let ~ ?MOD may,1,0,0
?MOD could ~ PRES,0,0,1
?MOD could ~ PAST,0,0,1
?MOD could ~ ?PAST did not,0,1,0
PRES PERF ~ TO INF,1,0,0
?PAST ~ MOD would,0,1,0
?PAST ~ PRES,1,0,0
MOD should ~ PRES,0,0,1
MOD let ~ PRES PART,0,0,1
MOD could ~ PAST PERF,0,0,1
FUT ~ FUT PERF,1,0,0
FUT going-to ~ PRES PERF,1,0,0
FUT,1,0,0
MOD could ~ PRES PERF,1,0,0
MOD let ~ PAST,0,0,1
MOD may ~ PRES PERF,1,0,0
IMPV ~ PRES,1,0,0
?PRES ~ PRES PERF,1,0,0
MOD might ~ MOD would,0,0,1
MOD shall ~ PAST,1,0,0
?PRES ~ ?VB,1,0,0
?PRES PERF,1,0,0
?PRES,1,0,0
PRES ~ TO INF,0,0,1
