,0,1
PRES,0.16,-0.16
FUT,0.37,-0.37
FUT ~ MOD shall,-4.96,4.96
IMPV,-0.0,0.0
MOD let,-0.0,0.0
IMPV ~ MOD shall,0.1,-0.1
PAST,-0.33,0.33
FUT ~ PRES,0.96,-0.96
MOD may,-0.35,0.35
MOD must ~ MOD shall,-1.02,1.02
MOD is to ~ MOD shall,-1.29,1.29
MOD can,1.41,-1.41
MOD shall,0.08,-0.08
FUT ~ MOD may,0.2,-0.2
MOD shall ~ PRES,0.87,-0.87
IMPV ~ MOD let,0.71,-0.71
MOD would,1.45,-1.45
MOD let ~ MOD may,0.23,-0.23
PAST ~ PRES,-0.85,0.85
PRES ~ PRES PART,-0.0,0.0
PRES ~ PRES PERF,-0.0,0.0
MOD should,-0.29,0.29
TO INF,-0.0,0.0
FUT ~ MOD lest,0.14,-0.14
MOD can ~ PRES,0.56,-0.56
MOD can ~ MOD may,-0.35,0.35
MOD may ~ PRES,-0.0,0.0
FUT ~ MOD can,-0.15,0.15
PRES PERF,-0.0,0.0
IMPV ~ PRES,0.38,-0.38
MOD may ~ MOD shall,-0.0,0.0
PRES PART,0.39,-0.39
MOD can ~ MOD shall,-0.0,0.0
FUT ~ MOD would,-0.42,0.42
MOD may ~ TO INF,0.19,-0.19
MOD should ~ PRES,-0.0,0.0
PRES ~ TO INF,0.19,-0.19
MOD could,0.2,-0.2
MOD must,-0.0,0.0
MOD shall ~ TO INF,-0.0,0.0
PAST ~ PRES PERF,-0.2,0.2
IMPV ~ MOD may,-0.2,0.2
FUT ~ MOD let,-0.2,0.2
FUT ~ TO INF,-0.0,0.0
MOD shall ~ MOD should,-0.23,0.23
MOD let ~ PRES,-0.7,0.7
MOD would ~ PAST,-0.0,0.0
FUT ~ IMPV,-0.0,0.0
MOD would ~ PRES,-0.0,0.0
MOD let ~ TO INF,-0.0,0.0
PAST ~ PRES PART,-0.0,0.0
MOD shall ~ PRES PART,-0.0,0.0
MOD must ~ PRES,-0.0,0.0
MOD should ~ TO INF,-0.38,0.38
FUT ~ PRES PART,-0.0,0.0
FUT ~ PAST,-0.0,0.0
MOD let ~ MOD shall,-1.08,1.08
MOD lest ~ MOD may,-0.0,0.0
PRES ~ PRES PROG,-0.43,0.43
MOD let ~ MOD must,-0.48,0.48
IMPV ~ MOD must,-0.0,0.0
MOD lest ~ PRES,-0.0,0.0
MOD should ~ MOD would,-0.0,0.0
MOD shall ~ PAST,-0.48,0.48
MOD might,-0.0,0.0
PAST ~ TO INF,-0.51,0.51
HAB used to ~ PAST,-1.36,1.36
MOD let ~ PAST,-0.53,0.53
MOD may ~ MOD must,-0.0,0.0
FUT ~ MOD should,-0.0,0.0
IMPV ~ MOD can,-0.0,0.0
MOD let ~ MOD should,-0.0,0.0
IMPV ~ MOD should,-0.0,0.0
PAST ~ PAST PERF,-0.0,0.0
IMPV ~ PRES PART,-0.0,0.0
