,0,1
PRES,1.1,0.91
FUT,1.1,0.91
FUT ~ MOD shall,0.56,1.79
IMPV,0.91,1.1
IMPV ~ MOD shall,1.14,0.88
PAST,0.86,1.17
FUT ~ PRES,1.83,0.55
MOD let,1.55,0.64
MOD must ~ MOD shall,0.63,1.58
MOD may,0.71,1.4
MOD is to ~ MOD shall,0.59,1.7
MOD can,4.07,0.25
MOD shall,1.29,0.78
MOD shall ~ PRES,4.49,0.22
FUT ~ MOD may,1.98,0.5
MOD would,inf,0.0
IMPV ~ MOD let,3.34,0.3
PAST ~ PRES,0.52,1.93
MOD let ~ MOD may,3.09,0.32
PRES ~ PRES PART,1.41,0.71
PRES ~ PRES PERF,1.29,0.78
MOD should,0.8,1.26
FUT ~ MOD lest,2.13,0.47
MOD can ~ PRES,inf,0.0
TO INF,1.03,0.97
FUT ~ MOD can,1.89,0.53
MOD may ~ PRES,1.83,0.55
PRES PERF,1.8,0.56
MOD may ~ MOD shall,1.71,0.59
IMPV ~ PRES,inf,0.0
MOD can ~ MOD may,0.47,2.15
PRES PART,inf,0.0
PRES ~ TO INF,inf,0.0
MOD should ~ PRES,1.32,0.76
MOD can ~ MOD shall,1.29,0.78
FUT ~ MOD would,0.6,1.68
MOD must,1.11,0.9
MOD shall ~ TO INF,1.11,0.9
MOD could,inf,0.0
PAST ~ PRES PERF,0.96,1.05
MOD may ~ TO INF,inf,0.0
MOD shall ~ MOD should,0.9,1.12
IMPV ~ MOD may,0.87,1.15
FUT ~ TO INF,inf,0.0
MOD would ~ PAST,inf,0.0
MOD would ~ PRES,inf,0.0
FUT ~ IMPV,inf,0.0
MOD let ~ PRES,0.3,3.36
PAST ~ PRES PART,inf,0.0
FUT ~ MOD let,0.6,1.68
MOD shall ~ PRES PART,inf,0.0
MOD should ~ TO INF,0.54,1.86
MOD must ~ PRES,inf,0.0
FUT ~ PRES PART,inf,0.0
MOD let ~ TO INF,inf,0.0
MOD lest ~ MOD may,inf,0.0
PRES ~ PRES PROG,0.45,2.23
MOD let ~ MOD shall,0.19,5.17
FUT ~ PAST,inf,0.0
IMPV ~ MOD must,inf,0.0
MOD lest ~ PRES,inf,0.0
MOD shall ~ PAST,0.39,2.58
MOD should ~ MOD would,inf,0.0
PAST ~ TO INF,0.36,2.79
FUT ~ MOD should,inf,0.0
HAB used to ~ PAST,0.15,6.72
MOD might,inf,0.0
MOD may ~ MOD must,inf,0.0
IMPV ~ MOD can,inf,0.0
MOD is to,0.27,3.73
PAST ~ PAST PERF,inf,0.0
MOD let ~ MOD must,0.24,4.19
MOD was to ~ PAST,0.24,4.19
MOD is to ~ MOD let,inf,0.0
MOD can ~ MOD should,inf,0.0
MOD let ~ PAST,0.21,4.79
MOD let ~ MOD should,inf,0.0
MOD can ~ MOD could,inf,0.0
IMPV ~ PAST,0.07,13.45
MOD could ~ MOD would,inf,0.0
IMPV ~ MOD should,inf,0.0
FUT ~ MOD must,inf,0.0
MOD lest,inf,0.0
MOD should ~ MOD was to,0.07,13.45
PAST PERF,0.18,5.59
IMPV ~ PRES PART,inf,0.0
MOD might ~ MOD would,inf,0.0
IMPV ~ TO INF,inf,0.0
FUT ~ FUT going-to,inf,0.0
PRES PART ~ TO INF,inf,0.0
MOD lest ~ MOD might,0.15,6.71
MOD could ~ PAST,inf,0.0
FUT ~ PRES PERF,inf,0.0
MOD can ~ TO INF,inf,0.0
MOD is to ~ MOD may,0.15,6.71
MOD may ~ PRES PART,0.15,6.71
MOD could ~ MOD might,inf,0.0
FUT going-to ~ MOD shall,inf,0.0
MOD shall ~ MOD would,0.15,6.71
?VB ~ MOD let,inf,0.0
PAST ~ PAST PROG,inf,0.0
MOD can ~ PRES PART,inf,0.0
MOD VB ~ MOD may,0.12,8.39
MOD is to ~ MOD must,inf,0.0
MOD might ~ TO INF,inf,0.0
MOD can ~ MOD let,inf,0.0
MOD lest ~ TO INF,inf,0.0
MOD would ~ TO INF,inf,0.0
MOD let ~ PRES PART,inf,0.0
MOD might ~ PAST,inf,0.0
MOD was to,inf,0.0
MOD might ~ MOD should,inf,0.0
MOD should ~ PAST,inf,0.0
MOD VB ~ PRES,inf,0.0
