eng_TAMsimp,instruction,prophetic,prose,list,poetry
FUT ~ MOD shall,0.15,0.59,0.23,0.01,0.02
IMPV ~ MOD shall,0.7,0.07,0.22,0.01,0.0
MOD is to ~ MOD shall,0.82,0.01,0.16,0.01,0.0
MOD must ~ MOD shall,0.9,0.03,0.07,0.0,0.01
FUT ~ PRES,0.15,0.42,0.33,0.0,0.11
PAST ~ PRES,0.08,0.11,0.03,0.7,0.08
MOD shall ~ PRES,0.39,0.32,0.27,0.02,0.0
FUT ~ MOD may,0.2,0.5,0.3,0.0,0.0
MOD shall ~ TO INF,0.57,0.14,0.25,0.04,0.0
PRES ~ PRES PART,0.26,0.22,0.3,0.15,0.07
PRES ~ PRES PERF,0.23,0.15,0.58,0.0,0.04
MOD would ~ PAST,0.0,0.08,0.88,0.0,0.04
FUT ~ MOD lest,0.21,0.21,0.33,0.0,0.25
MOD may ~ TO INF,0.26,0.0,0.7,0.04,0.0
MOD may ~ PRES,0.48,0.19,0.24,0.0,0.1
PRES ~ TO INF,0.32,0.32,0.37,0.0,0.0
FUT ~ IMPV,0.0,0.63,0.32,0.0,0.05
MOD may ~ MOD shall,0.56,0.06,0.39,0.0,0.0
PAST ~ PRES PART,0.0,0.0,0.53,0.29,0.18
FUT ~ TO INF,0.06,0.44,0.44,0.0,0.06
MOD shall ~ PRES PART,0.5,0.06,0.44,0.0,0.0
IMPV ~ PRES,0.13,0.2,0.67,0.0,0.0
IMPV ~ MOD let,0.29,0.0,0.71,0.0,0.0
IMPV ~ TO INF,0.08,0.38,0.54,0.0,0.0
PAST ~ PRES PERF,0.0,0.54,0.31,0.0,0.15
FUT ~ PRES PART,0.0,0.58,0.42,0.0,0.0
FUT ~ MOD let,0.0,0.67,0.33,0.0,0.0
FUT ~ MOD would,0.0,0.18,0.73,0.0,0.09
MOD can ~ MOD may,0.18,0.0,0.82,0.0,0.0
MOD can ~ MOD shall,0.3,0.0,0.7,0.0,0.0
