eng_TAMsimp,TOTAL,instruction,prophetic,prose,list,poetry
FUT ~ MOD shall,1062,163,630,243,8,18
IMPV ~ MOD shall,418,292,30,93,3,0
MOD is to ~ MOD shall,308,254,4,48,2,0
MOD must ~ MOD shall,153,137,4,11,0,1
FUT ~ PRES,110,16,46,36,0,12
PAST ~ PRES,64,5,7,2,45,5
MOD shall ~ PRES,56,22,18,15,1,0
FUT ~ MOD may,54,11,27,16,0,0
MOD shall ~ TO INF,28,16,4,7,1,0
PRES ~ PRES PART,27,7,6,8,4,2
PRES ~ PRES PERF,26,6,4,15,0,1
MOD would ~ PAST,24,0,2,21,0,1
FUT ~ MOD lest,24,5,5,8,0,6
MOD may ~ TO INF,23,6,0,16,1,0
MOD may ~ PRES,21,10,4,5,0,2
PRES ~ TO INF,19,6,6,7,0,0
FUT ~ IMPV,19,0,12,6,0,1
MOD may ~ MOD shall,18,10,1,7,0,0
PAST ~ PRES PART,17,0,0,9,5,3
FUT ~ TO INF,16,1,7,7,0,1
MOD shall ~ PRES PART,16,8,1,7,0,0
IMPV ~ PRES,15,2,3,10,0,0
IMPV ~ MOD let,14,4,0,10,0,0
IMPV ~ TO INF,13,1,5,7,0,0
PAST ~ PRES PERF,13,0,7,4,0,2
FUT ~ PRES PART,12,0,7,5,0,0
FUT ~ MOD let,12,0,8,4,0,0
FUT ~ MOD would,11,0,2,8,0,1
MOD can ~ MOD may,11,2,0,9,0,0
MOD can ~ MOD shall,10,3,0,7,0,0
MOD shall ~ PAST,9,4,5,0,0,0
MOD let ~ MOD shall,9,1,3,5,0,0
FUT ~ PAST,8,1,2,4,0,1
MOD let ~ MOD may,8,0,3,5,0,0
MOD is to ~ PRES,8,5,1,2,0,0
MOD is to ~ MOD let,8,7,0,1,0,0
MOD lest ~ TO INF,7,0,1,6,0,0
PAST ~ PAST PROG,7,0,2,5,0,0
MOD is to ~ PAST,7,6,1,0,0,0
MOD lest ~ MOD may,7,0,2,1,0,4
PAST ~ TO INF,7,3,2,0,1,1
MOD shall ~ PRES PERF,6,2,3,1,0,0
FUT ~ PRES PERF,6,0,4,2,0,0
MOD may ~ MOD must,5,4,0,1,0,0
IMPV ~ PAST,5,1,0,4,0,0
IMPV ~ MOD lest,5,1,2,2,0,0
MOD shall ~ MOD would,5,0,0,5,0,0
MOD would ~ PRES,5,1,0,2,0,2
FUT ~ FUT PERF,4,0,0,3,0,1
FUT ~ MOD can,4,0,3,1,0,0
HAB used to ~ PAST,4,0,0,4,0,0
MOD shall ~ MOD should,4,0,0,4,0,0
IMPV ~ MOD may,4,1,1,2,0,0
MOD should ~ PRES,4,1,1,2,0,0
MOD let ~ TO INF,4,0,0,4,0,0
IMPV ~ MOD must,4,0,0,4,0,0
MOD VB ~ PRES,3,2,1,0,0,0
MOD is to ~ TO INF,3,3,0,0,0,0
MOD could ~ MOD may,3,0,0,3,0,0
IMPV ~ MOD would,3,0,0,3,0,0
HAB used to ~ MOD would,3,0,0,3,0,0
MOD can ~ PRES,3,1,0,1,0,1
MOD should ~ TO INF,3,0,1,0,0,2
PAST ~ PAST PERF,3,0,1,2,0,0
FUT ~ FUT going-to,3,0,2,1,0,0
IMPV ~ PRES PART,2,0,0,2,0,0
IMPV ~ MOD is to,2,0,0,2,0,0
FUT ~ MOD must,2,0,0,2,0,0
MOD can ~ MOD let,2,1,0,1,0,0
MOD lest ~ MOD might,2,1,0,1,0,0
FUT going-to ~ MOD shall,2,0,0,2,0,0
MOD was to ~ PAST,2,0,0,0,2,0
MOD may ~ MOD should,2,0,0,0,0,2
PRES ~ PRES PROG,2,0,0,2,0,0
MOD must ~ PRES PART,2,1,0,1,0,0
MOD must ~ PRES,2,1,0,0,0,1
PRES PART ~ PRES PERF,2,0,2,0,0,0
MOD lest ~ MOD must,2,0,0,2,0,0
MOD may ~ PRES PART,2,0,0,1,0,1
MOD lest ~ PRES PART,2,0,0,2,0,0
MOD let ~ MOD must,2,0,1,1,0,0
MOD that be ~ TO INF,2,2,0,0,0,0
MOD would ~ PRES PART,2,0,0,2,0,0
MOD let ~ PRES,2,1,0,1,0,0
FUT ~ MOD that be,1,1,0,0,0,0
FUT ~ MOD should,1,0,0,1,0,0
MOD would ~ PRES PROG,1,0,0,1,0,0
MOD can ~ TO INF,1,0,1,0,0,0
MOD would ~ TO INF,1,0,0,1,0,0
MOD ~ MOD would,1,0,0,1,0,0
FUT ~ MOD is to,1,0,0,1,0,0
PAST PROG ~ TO INF,1,0,0,1,0,0
FUT ~ MOD VB,1,0,0,1,0,0
PRES PERF ~ TO INF,1,0,0,1,0,0
FUT ~ FUT PROG,1,1,0,0,0,0
PAST PERF ~ PRES PART,1,0,0,1,0,0
MOD might ~ MOD would,1,0,0,1,0,0
MOD should ~ MOD would,1,0,0,1,0,0
MOD let ~ MOD might,1,0,0,0,1,0
MOD could ~ TO INF,1,0,0,1,0,0
MOD is to ~ MOD lest,1,0,1,0,0,0
MOD is to ~ MOD may,1,0,0,1,0,0
MOD VB ~ MOD can,1,0,0,1,0,0
MOD is to ~ PRES PART,1,1,0,0,0,0
MOD lest ~ PRES,1,1,0,0,0,0
MOD let ~ MOD should,1,0,0,1,0,0
MOD quest must ~ MOD shall,1,0,0,1,0,0
MOD let ~ MOD would,1,0,0,0,1,0
MOD let ~ PRES PART,1,0,0,1,0,0
IMPV ~ MOD VB,1,0,0,1,0,0
HAB used to ~ PRES PART,1,0,0,1,0,0
HAB used to ~ PAST PROG,1,0,0,1,0,0
MOD could ~ MOD would,1,0,0,1,0,0
PRES ~ VB,1,0,1,0,0,0
