eng_TAMsimp,instruction,prophetic,prose,list,poetry
FUT ~ MOD shall,163,630,243,8,18
IMPV ~ MOD shall,292,30,93,3,0
MOD is to ~ MOD shall,254,4,48,2,0
MOD must ~ MOD shall,137,4,11,0,1
FUT ~ PRES,16,46,36,0,12
PAST ~ PRES,5,7,2,45,5
MOD shall ~ PRES,22,18,15,1,0
FUT ~ MOD may,11,27,16,0,0
MOD shall ~ TO INF,16,4,7,1,0
PRES ~ PRES PART,7,6,8,4,2
PRES ~ PRES PERF,6,4,15,0,1
MOD would ~ PAST,0,2,21,0,1
FUT ~ MOD lest,5,5,8,0,6
MOD may ~ TO INF,6,0,16,1,0
MOD may ~ PRES,10,4,5,0,2
PRES ~ TO INF,6,6,7,0,0
FUT ~ IMPV,0,12,6,0,1
MOD may ~ MOD shall,10,1,7,0,0
PAST ~ PRES PART,0,0,9,5,3
FUT ~ TO INF,1,7,7,0,1
MOD shall ~ PRES PART,8,1,7,0,0
IMPV ~ PRES,2,3,10,0,0
IMPV ~ MOD let,4,0,10,0,0
IMPV ~ TO INF,1,5,7,0,0
PAST ~ PRES PERF,0,7,4,0,2
FUT ~ PRES PART,0,7,5,0,0
FUT ~ MOD let,0,8,4,0,0
FUT ~ MOD would,0,2,8,0,1
MOD can ~ MOD may,2,0,9,0,0
MOD can ~ MOD shall,3,0,7,0,0
MOD shall ~ PAST,4,5,0,0,0
MOD let ~ MOD shall,1,3,5,0,0
FUT ~ PAST,1,2,4,0,1
MOD let ~ MOD may,0,3,5,0,0
MOD is to ~ PRES,5,1,2,0,0
MOD is to ~ MOD let,7,0,1,0,0
MOD lest ~ TO INF,0,1,6,0,0
PAST ~ PAST PROG,0,2,5,0,0
MOD is to ~ PAST,6,1,0,0,0
MOD lest ~ MOD may,0,2,1,0,4
PAST ~ TO INF,3,2,0,1,1
MOD shall ~ PRES PERF,2,3,1,0,0
FUT ~ PRES PERF,0,4,2,0,0
MOD may ~ MOD must,4,0,1,0,0
IMPV ~ PAST,1,0,4,0,0
IMPV ~ MOD lest,1,2,2,0,0
MOD shall ~ MOD would,0,0,5,0,0
MOD would ~ PRES,1,0,2,0,2
FUT ~ FUT PERF,0,0,3,0,1
FUT ~ MOD can,0,3,1,0,0
HAB used to ~ PAST,0,0,4,0,0
MOD shall ~ MOD should,0,0,4,0,0
IMPV ~ MOD may,1,1,2,0,0
MOD should ~ PRES,1,1,2,0,0
MOD let ~ TO INF,0,0,4,0,0
IMPV ~ MOD must,0,0,4,0,0
MOD VB ~ PRES,2,1,0,0,0
MOD is to ~ TO INF,3,0,0,0,0
MOD could ~ MOD may,0,0,3,0,0
IMPV ~ MOD would,0,0,3,0,0
HAB used to ~ MOD would,0,0,3,0,0
MOD can ~ PRES,1,0,1,0,1
MOD should ~ TO INF,0,1,0,0,2
PAST ~ PAST PERF,0,1,2,0,0
FUT ~ FUT going-to,0,2,1,0,0
IMPV ~ PRES PART,0,0,2,0,0
IMPV ~ MOD is to,0,0,2,0,0
FUT ~ MOD must,0,0,2,0,0
MOD can ~ MOD let,1,0,1,0,0
MOD lest ~ MOD might,1,0,1,0,0
FUT going-to ~ MOD shall,0,0,2,0,0
MOD was to ~ PAST,0,0,0,2,0
MOD may ~ MOD should,0,0,0,0,2
PRES ~ PRES PROG,0,0,2,0,0
MOD must ~ PRES PART,1,0,1,0,0
MOD must ~ PRES,1,0,0,0,1
PRES PART ~ PRES PERF,0,2,0,0,0
MOD lest ~ MOD must,0,0,2,0,0
MOD may ~ PRES PART,0,0,1,0,1
MOD lest ~ PRES PART,0,0,2,0,0
MOD let ~ MOD must,0,1,1,0,0
MOD that be ~ TO INF,2,0,0,0,0
MOD would ~ PRES PART,0,0,2,0,0
MOD let ~ PRES,1,0,1,0,0
FUT ~ MOD that be,1,0,0,0,0
FUT ~ MOD should,0,0,1,0,0
MOD would ~ PRES PROG,0,0,1,0,0
MOD can ~ TO INF,0,1,0,0,0
MOD would ~ TO INF,0,0,1,0,0
MOD ~ MOD would,0,0,1,0,0
FUT ~ MOD is to,0,0,1,0,0
PAST PROG ~ TO INF,0,0,1,0,0
FUT ~ MOD VB,0,0,1,0,0
PRES PERF ~ TO INF,0,0,1,0,0
FUT ~ FUT PROG,1,0,0,0,0
PAST PERF ~ PRES PART,0,0,1,0,0
MOD might ~ MOD would,0,0,1,0,0
MOD should ~ MOD would,0,0,1,0,0
MOD let ~ MOD might,0,0,0,1,0
MOD could ~ TO INF,0,0,1,0,0
MOD is to ~ MOD lest,0,1,0,0,0
MOD is to ~ MOD may,0,0,1,0,0
MOD VB ~ MOD can,0,0,1,0,0
MOD is to ~ PRES PART,1,0,0,0,0
MOD lest ~ PRES,1,0,0,0,0
MOD let ~ MOD should,0,0,1,0,0
MOD quest must ~ MOD shall,0,0,1,0,0
MOD let ~ MOD would,0,0,0,1,0
MOD let ~ PRES PART,0,0,1,0,0
IMPV ~ MOD VB,0,0,1,0,0
HAB used to ~ PRES PART,0,0,1,0,0
HAB used to ~ PAST PROG,0,0,1,0,0
MOD could ~ MOD would,0,0,1,0,0
PRES ~ VB,0,1,0,0,0
