,Q,D,?,N
PRES,-14.43,0.21,29.53,-1.86
FUT,7.24,-9.46,-0.23,-1.67
FUT ~ MOD shall,10.67,-7.69,-2.72,-0.94
IMPV,19.64,-10.53,-8.12,-0.4
IMPV ~ MOD shall,0.06,2.97,-6.55,-0.2
PAST,-64.97,79.83,-0.16,7.18
FUT ~ PRES,-0.47,-1.4,3.53,-0.2
MOD let,1.22,-3.94,0.7,0.0
MOD must ~ MOD shall,-0.55,1.66,-0.34,0.0
MOD may,3.33,-1.16,-2.4,0.0
MOD is to ~ MOD shall,1.33,-0.77,-0.47,0.0
MOD can,0.42,-3.55,1.53,0.0
MOD shall,1.96,-0.81,-1.02,0.0
MOD shall ~ PRES,0.33,-0.07,-0.08,0.0
FUT ~ MOD may,1.88,-0.65,-1.01,0.0
MOD would,-1.31,1.29,-1.63,6.41
IMPV ~ MOD let,3.19,-2.17,-0.71,0.0
PAST ~ PRES,-1.58,1.61,0.22,0.62
MOD let ~ MOD may,3.82,-1.99,-1.46,0.0
PRES ~ PRES PART,-0.07,0.0,0.4,0.0
PRES ~ PRES PERF,0.73,0.0,-1.1,0.0
MOD should,-0.0,0.22,-0.43,0.73
FUT ~ MOD lest,2.59,-1.29,-0.94,0.0
MOD can ~ PRES,0.28,-1.3,0.49,0.0
TO INF,0.68,-0.58,-0.73,1.89
FUT ~ MOD can,0.18,-0.11,0.0,0.0
MOD may ~ PRES,-0.31,0.0,0.54,0.0
PRES PERF,0.43,0.0,-0.76,0.0
MOD may ~ MOD shall,0.09,-0.43,0.33,0.0
IMPV ~ PRES,1.86,-0.94,-0.57,0.0
MOD can ~ MOD may,0.5,-0.75,0.15,0.0
PRES PART,0.1,0.13,-0.37,0.0
PRES ~ TO INF,0.1,-0.14,0.17,0.0
MOD should ~ PRES,1.51,-0.77,-0.39,0.0
MOD can ~ MOD shall,0.37,-0.56,0.17,0.0
FUT ~ MOD would,1.31,-0.57,-0.39,0.0
MOD must,0.6,-0.58,0.0,0.0
MOD shall ~ TO INF,1.12,-0.58,-0.19,0.0
MOD could,-5.71,8.85,-0.19,0.0
PAST ~ PRES PERF,0.95,-0.39,-0.2,0.0
MOD may ~ TO INF,0.95,-0.39,-0.2,0.0
MOD shall ~ MOD should,0.97,-0.39,-0.2,0.0
IMPV ~ MOD may,0.97,-0.4,-0.2,0.0
FUT ~ TO INF,0.29,-0.4,0.0,0.0
MOD would ~ PAST,-17.39,21.12,0.0,0.0
MOD would ~ PRES,-0.0,0.0,0.24,0.0
FUT ~ IMPV,0.14,0.0,0.0,0.0
MOD let ~ PRES,-0.36,0.0,0.73,0.0
PAST ~ PRES PART,-5.42,6.55,0.27,0.0
FUT ~ MOD let,0.6,-0.21,0.0,0.0
MOD shall ~ PRES PART,-0.0,-0.21,0.28,0.0
MOD should ~ TO INF,-1.1,0.0,0.3,4.9
MOD must ~ PRES,-0.0,0.22,0.0,0.0
FUT ~ PRES PART,-0.74,0.24,0.91,0.0
MOD let ~ TO INF,0.41,0.0,0.0,0.0
MOD lest ~ MOD may,-0.19,0.73,0.0,0.0
PRES ~ PRES PROG,-0.79,1.38,0.0,0.0
MOD let ~ MOD shall,-2.13,3.25,0.0,0.0
FUT ~ PAST,-0.0,0.27,0.0,0.0
IMPV ~ MOD must,0.2,0.0,0.0,0.0
MOD lest ~ PRES,0.2,0.0,0.0,0.0
MOD shall ~ PAST,0.2,0.0,0.0,0.0
MOD should ~ MOD would,-0.93,0.83,0.0,1.47
PAST ~ TO INF,-2.44,2.53,0.0,1.5
FUT ~ MOD should,-0.0,0.0,0.45,0.0
HAB used to ~ PAST,-3.58,5.0,0.0,0.0
MOD might,0.21,0.0,0.0,0.0
MOD may ~ MOD must,0.0,0.37,0.0,0.0
IMPV ~ MOD can,0.21,0.0,0.0,0.0
MOD is to,-0.66,0.0,1.32,0.0
PAST ~ PAST PERF,-3.05,1.96,0.51,1.62
MOD let ~ MOD must,-0.0,0.0,0.0,0.0
MOD was to ~ PAST,-1.42,1.16,0.55,0.0
MOD is to ~ MOD let,-0.0,0.0,0.0,0.0
MOD can ~ MOD should,-0.0,0.0,0.0,0.0
MOD let ~ PAST,-0.82,0.0,1.5,0.0
MOD let ~ MOD should,-0.0,0.0,0.0,0.0
MOD can ~ MOD could,-0.0,0.0,0.0,0.0
IMPV ~ PAST,-0.0,0.0,0.0,0.0
MOD could ~ MOD would,-0.0,0.0,0.0,0.0
IMPV ~ MOD should,-0.0,0.0,0.0,0.0
FUT ~ MOD must,-0.0,0.0,0.0,0.0
MOD lest,-0.0,0.0,0.0,0.0
MOD should ~ MOD was to,-1.74,1.36,0.0,1.77
PAST PERF,-5.53,7.03,0.0,0.0
IMPV ~ PRES PART,-0.0,0.0,0.0,0.0
MOD might ~ MOD would,-0.32,0.53,0.0,0.0
IMPV ~ TO INF,-0.0,0.0,0.0,0.0
FUT ~ FUT going-to,-0.0,0.0,0.0,0.0
PRES PART ~ TO INF,-0.37,0.58,0.0,0.0
MOD lest ~ MOD might,-0.0,0.0,0.0,0.0
MOD could ~ PAST,-0.37,0.0,0.0,1.84
FUT ~ PRES PERF,-0.0,0.0,0.0,0.0
MOD can ~ TO INF,-0.0,0.0,0.0,0.0
MOD is to ~ MOD may,-0.37,0.58,0.0,0.0
MOD may ~ PRES PART,-0.37,0.0,0.7,0.0
MOD could ~ MOD might,-1.04,1.5,0.0,0.0
FUT going-to ~ MOD shall,-0.0,0.0,0.0,0.0
MOD shall ~ MOD would,-0.0,0.0,0.0,0.0
?VB ~ MOD let,-0.0,0.0,0.0,0.0
PAST ~ PAST PROG,-4.54,4.09,0.7,0.0
MOD can ~ PRES PART,-0.0,0.0,0.0,0.0
MOD VB ~ MOD may,-0.43,0.0,0.77,0.0
MOD is to ~ MOD must,-0.0,0.0,0.0,0.0
MOD might ~ TO INF,-0.43,0.65,0.0,0.0
MOD can ~ MOD let,-0.0,0.0,0.0,0.0
MOD lest ~ TO INF,-0.0,0.0,0.0,0.0
MOD would ~ TO INF,-0.43,0.0,0.0,1.92
MOD let ~ PRES PART,-0.0,0.0,0.0,0.0
MOD might ~ PAST,-0.0,0.0,0.0,0.0
MOD was to,-3.56,4.55,0.0,0.0
MOD might ~ MOD should,-0.43,0.65,0.0,0.0
MOD should ~ PAST,-0.0,0.0,0.0,0.0
MOD VB ~ PRES,-0.0,0.0,0.0,0.0
FUT ~ PRES PROG,-0.0,0.0,0.0,0.0
IMPV ~ MOD lest,-0.0,0.0,0.0,0.0
HAB used to,-2.6,1.87,0.0,2.01
PAST PERF ~ PRES,-0.51,0.74,0.0,0.0
MOD can ~ PAST,-0.0,0.0,0.0,0.0
FUT ~ MOD is to,-0.0,0.0,0.0,0.0
?VB ~ PAST,-0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,-0.0,0.0,0.0,0.0
MOD could ~ MOD should,-0.0,0.0,0.0,0.0
?VB,-0.0,0.0,0.0,0.0
PAST PROG,-3.17,3.92,0.0,0.0
MOD shall ~ PRES PERF,-0.0,0.0,0.0,0.0
MOD can ~ MOD might,-0.0,0.0,0.0,0.0
MOD could ~ MOD must,-0.0,0.0,0.0,0.0
FUT PROG ~ PRES,-0.62,0.0,0.98,0.0
MOD lest ~ MOD would,-0.62,0.85,0.0,0.0
FUT ~ MOD that be,-0.0,0.0,0.0,0.0
MOD need not ~ MOD shall,-0.0,0.0,0.0,0.0
MOD may ~ PRES PERF,-0.0,0.0,0.0,0.0
MOD may ~ PAST,-0.0,0.0,0.0,0.0
MOD may ~ MOD might,-0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,-0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,-0.0,0.0,0.0,0.0
MOD let ~ PRES PERF,-0.0,0.0,0.0,0.0
MOD let ~ MOD would,-0.0,0.0,0.0,0.0
IMPV ~ MOD is to,-0.0,0.0,0.0,0.0
MOD would ~ PRES PART,-0.0,0.0,0.0,0.0
?VB ~ MOD must,-0.0,0.0,0.0,0.0
?VB ~ MOD shall,-0.0,0.0,0.0,0.0
??VB ~ MOD let,-0.0,0.0,0.0,0.0
MOD must ~ MOD should,-0.77,1.02,0.0,0.0
MOD is to ~ PRES,-0.0,0.0,0.0,0.0
MOD can ~ MOD must,-0.0,0.0,0.0,0.0
MOD should ~ PRES PERF,-0.0,0.0,0.0,0.0
MOD that be,-0.0,0.0,0.0,0.0
MOD let ~ MOD that be,-0.0,0.0,0.0,0.0
PAST PROG ~ PRES,-0.0,0.0,0.0,0.0
MOD lest ~ MOD should,-0.0,0.0,0.0,0.0
MOD lest ~ MOD shall,-0.0,0.0,0.0,0.0
MOD is to ~ TO INF,-0.0,0.0,0.0,0.0
MOD need not ~ PRES,-0.0,0.0,0.0,0.0
MOD could ~ TO INF,-0.77,1.02,0.0,0.0
PRES PROG,-0.0,0.0,0.0,0.0
PRES ~ PRES do,-0.0,0.0,0.0,0.0
FUT PERF,-0.0,0.0,0.0,0.0
FUT ~ MOD,-0.0,0.0,0.0,0.0
MOD quest must,-0.0,0.0,0.0,0.0
MOD quest must ~ MOD shall,-0.0,0.0,0.0,0.0
PRES ~ PRES shall,-0.0,0.0,0.0,0.0
MOD should ~ PRES PART,-0.0,0.0,0.0,0.0
?VB ~ IMPV,-0.0,0.0,0.0,0.0
?VB ~ MOD lest,-0.0,0.0,0.0,0.0
MOD that be ~ TO INF,-0.0,0.0,0.0,0.0
MOD was to ~ PRES,-0.0,0.0,0.0,0.0
MOD would ~ PAST PERF,-0.0,0.0,0.0,0.0
