eng_TAMsimp,TOTAL,Q,D,?,N
PRES,2696,2353,137,205,1
FUT,2518,2376,61,80,1
FUT ~ MOD shall,1769,1683,44,41,1
IMPV,678,674,3,1,0
MOD let,555,530,6,19,0
IMPV ~ MOD shall,510,467,42,1,0
PAST,452,284,144,14,10
FUT ~ PRES,443,400,12,31,0
MOD may,402,390,9,3,0
MOD must ~ MOD shall,341,306,26,9,0
MOD is to ~ MOD shall,295,279,9,7,0
MOD can,271,252,2,17,0
MOD shall,221,212,6,3,0
FUT ~ MOD may,165,161,3,1,0
MOD shall ~ PRES,153,143,6,4,0
IMPV ~ MOD let,140,139,0,1,0
MOD would,137,119,12,0,6
MOD let ~ MOD may,132,131,0,0,1
PAST ~ PRES,114,97,11,5,1
PRES ~ PRES PART,97,88,4,5,0
PRES ~ PRES PERF,88,84,4,0,0
MOD should,84,77,5,1,1
TO INF,79,75,2,0,2
FUT ~ MOD lest,72,72,0,0,0
MOD can ~ PRES,72,68,0,4,0
MOD can ~ MOD may,69,67,0,2,0
MOD may ~ PRES,68,61,3,4,0
FUT ~ MOD can,67,63,2,2,0
PRES PERF,61,58,3,0,0
IMPV ~ PRES,59,59,0,0,0
MOD may ~ MOD shall,58,54,1,3,0
PRES PART,50,47,3,0,0
MOD can ~ MOD shall,46,44,0,2,0
FUT ~ MOD would,46,46,0,0,0
MOD may ~ TO INF,46,46,0,0,0
MOD should ~ PRES,45,45,0,0,0
PRES ~ TO INF,45,42,1,2,0
MOD could,41,27,14,0,0
MOD must,40,39,0,1,0
MOD shall ~ TO INF,38,38,0,0,0
PAST ~ PRES PERF,34,34,0,0,0
IMPV ~ MOD may,34,34,0,0,0
FUT ~ MOD let,34,34,0,0,0
FUT ~ TO INF,31,30,0,1,0
MOD shall ~ MOD should,31,31,0,0,0
MOD let ~ PRES,29,26,1,2,0
MOD would ~ PAST,29,7,21,1,0
FUT ~ IMPV,24,23,1,0,0
MOD would ~ PRES,24,22,1,1,0
MOD let ~ TO INF,22,22,0,0,0
PAST ~ PRES PART,21,11,9,1,0
MOD shall ~ PRES PART,21,20,0,1,0
MOD must ~ PRES,19,18,1,0,0
MOD should ~ TO INF,19,15,0,1,3
FUT ~ PRES PART,19,16,1,2,0
