,Q,D,?,N
MOD shall ~ PAST,inf,0.0,0.0,0.0
FUT ~ MOD let,inf,0.0,0.0,0.0
MOD lest ~ PRES,inf,0.0,0.0,0.0
MOD should ~ MOD would,0.39,2.88,0.0,28.71
IMPV ~ MOD may,inf,0.0,0.0,0.0
MOD let ~ MOD shall,0.24,7.69,0.0,0.0
FUT ~ MOD should,1.18,0.0,2.25,0.0
HAB used to ~ PAST,0.11,17.37,0.0,0.0
MOD may ~ TO INF,inf,0.0,0.0,0.0
IMPV ~ MOD must,inf,0.0,0.0,0.0
IMPV ~ MOD let,inf,0.0,0.0,0.0
IMPV ~ MOD can,inf,0.0,0.0,0.0
MOD might,inf,0.0,0.0,0.0
PAST ~ TO INF,0.13,9.89,0.0,37.33
MOD may ~ MOD must,0.96,1.91,0.0,0.0
PAST ~ PAST PERF,0.11,7.41,2.75,41.48
MOD is to,0.43,0.0,6.19,0.0
MOD was to ~ PAST,0.21,4.93,3.09,0.0
MOD can ~ MOD should,inf,0.0,0.0,0.0
MOD can ~ MOD could,inf,0.0,0.0,0.0
MOD lest,inf,0.0,0.0,0.0
PAST PERF,0.02,104.26,0.0,0.0
FUT ~ MOD must,inf,0.0,0.0,0.0
MOD should ~ MOD was to,0.14,6.91,0.0,62.24
MOD might ~ MOD would,0.53,3.45,0.0,0.0
MOD could ~ PAST,0.53,0.0,0.0,74.69
FUT ~ PRES PERF,inf,0.0,0.0,0.0
PAST ~ PAST PROG,0.02,34.65,4.94,0.0
FUT going-to ~ MOD shall,inf,0.0,0.0,0.0
MOD lest ~ MOD might,inf,0.0,0.0,0.0
MOD shall ~ MOD would,inf,0.0,0.0,0.0
MOD let ~ MOD must,inf,0.0,0.0,0.0
PRES PART ~ TO INF,0.53,3.45,0.0,0.0
MOD is to ~ MOD may,0.53,3.45,0.0,0.0
MOD could ~ MOD would,inf,0.0,0.0,0.0
FUT ~ FUT going-to,inf,0.0,0.0,0.0
MOD VB ~ MOD may,0.43,0.0,6.18,0.0
MOD can ~ PRES PART,inf,0.0,0.0,0.0
MOD is to ~ MOD must,inf,0.0,0.0,0.0
MOD can ~ TO INF,inf,0.0,0.0,0.0
IMPV ~ PRES PART,inf,0.0,0.0,0.0
MOD lest ~ TO INF,inf,0.0,0.0,0.0
MOD might ~ TO INF,0.43,4.31,0.0,0.0
MOD may ~ PRES PART,0.43,0.0,6.18,0.0
MOD would ~ TO INF,0.43,0.0,0.0,93.38
MOD might ~ PAST,inf,0.0,0.0,0.0
MOD might ~ MOD should,0.43,4.31,0.0,0.0
MOD was to,0.03,69.3,0.0,0.0
?VB ~ PAST,inf,0.0,0.0,0.0
IMPV ~ TO INF,inf,0.0,0.0,0.0
PRES PERF ~ TO INF,inf,0.0,0.0,0.0
MOD could ~ MOD might,0.11,17.27,0.0,0.0
MOD can ~ PAST,inf,0.0,0.0,0.0
FUT ~ MOD is to,inf,0.0,0.0,0.0
MOD VB ~ PRES,inf,0.0,0.0,0.0
PAST PERF ~ PRES,0.32,5.75,0.0,0.0
IMPV ~ PAST,inf,0.0,0.0,0.0
MOD should ~ PAST,inf,0.0,0.0,0.0
HAB used to,0.04,17.27,0.0,124.51
IMPV ~ MOD lest,inf,0.0,0.0,0.0
MOD let ~ MOD may,inf,0.0,0.0,0.0
FUT ~ PRES PROG,inf,0.0,0.0,0.0
MOD shall ~ PRES PERF,inf,0.0,0.0,0.0
MOD would ~ PRES PART,inf,0.0,0.0,0.0
FUT ~ MOD that be,inf,0.0,0.0,0.0
MOD can ~ MOD let,inf,0.0,0.0,0.0
PAST PROG,0.0,inf,0.0,0.0
MOD can ~ MOD might,inf,0.0,0.0,0.0
MOD lest ~ MOD would,0.21,8.62,0.0,0.0
MOD could ~ MOD must,inf,0.0,0.0,0.0
MOD could ~ MOD should,inf,0.0,0.0,0.0
IMPV ~ MOD is to,inf,0.0,0.0,0.0
PRES PART ~ PRES PERF,inf,0.0,0.0,0.0
MOD may ~ MOD might,inf,0.0,0.0,0.0
FUT PROG ~ PRES,0.21,0.0,12.36,0.0
MOD is to ~ PRES PART,inf,0.0,0.0,0.0
PRES ~ PRES do,inf,0.0,0.0,0.0
MOD may ~ PAST,inf,0.0,0.0,0.0
MOD lest ~ MOD should,inf,0.0,0.0,0.0
MOD should ~ PRES PERF,inf,0.0,0.0,0.0
MOD lest ~ MOD shall,inf,0.0,0.0,0.0
IMPV ~ MOD should,inf,0.0,0.0,0.0
MOD is to ~ TO INF,inf,0.0,0.0,0.0
MOD let ~ PAST,inf,0.0,0.0,0.0
MOD need not ~ PRES,inf,0.0,0.0,0.0
MOD need not ~ MOD shall,inf,0.0,0.0,0.0
MOD let ~ TO INF,inf,0.0,0.0,0.0
MOD can ~ MOD must,inf,0.0,0.0,0.0
PAST PROG ~ PRES,inf,0.0,0.0,0.0
MOD could ~ TO INF,0.11,17.25,0.0,0.0
MOD may ~ PRES PERF,inf,0.0,0.0,0.0
PRES PROG,inf,0.0,0.0,0.0
MOD must ~ MOD should,0.11,17.25,0.0,0.0
PRES ~ PRES can,inf,0.0,0.0,0.0
PRES PART ~ PRES PROG,inf,0.0,0.0,0.0
MOD was to ~ PRES,inf,0.0,0.0,0.0
FUT PERF ~ PRES,inf,0.0,0.0,0.0
HAB used to ~ MOD would,inf,0.0,0.0,0.0
PRES ~ PRES shall,inf,0.0,0.0,0.0
HAB used to ~ PRES,0.0,inf,0.0,0.0
MOD would ~ PAST PERF,inf,0.0,0.0,0.0
FUT PROG ~ MOD shall,inf,0.0,0.0,0.0
FUT ~ PRES shall,inf,0.0,0.0,0.0
FUT ~ FUT PROG,inf,0.0,0.0,0.0
FUT going-to ~ MOD is to,inf,0.0,0.0,0.0
FUT going-to ~ MOD lest,inf,0.0,0.0,0.0
MOD would ~ PAST PROG,inf,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.0,inf,0.0,0.0
MOD ~ PRES,inf,0.0,0.0,0.0
PRES PERF ~ PRES PROG,inf,0.0,0.0,0.0
FUT PERF,inf,0.0,0.0,0.0
FUT ~ MOD,inf,0.0,0.0,0.0
MOD let ~ MOD should,inf,0.0,0.0,0.0
HAB used to ~ PRES PERF,inf,0.0,0.0,0.0
MOD is to ~ PRES PROG,inf,0.0,0.0,0.0
MOD might ~ PRES PERF,inf,0.0,0.0,0.0
MOD could ~ PAST PERF,inf,0.0,0.0,0.0
MOD could ~ PRES PERF,inf,0.0,0.0,0.0
MOD is to ~ MOD lest,inf,0.0,0.0,0.0
MOD is to ~ MOD should,inf,0.0,0.0,0.0
MOD is to ~ PRES,inf,0.0,0.0,0.0
MOD may ~ MOD would,inf,0.0,0.0,0.0
MOD that be ~ TO INF,inf,0.0,0.0,0.0
MOD lest ~ MOD let,inf,0.0,0.0,0.0
MOD may ~ MOD should,inf,0.0,0.0,0.0
MOD lest ~ MOD must,inf,0.0,0.0,0.0
MOD lest ~ MOD that be,inf,0.0,0.0,0.0
MOD let ~ PRES PERF,inf,0.0,0.0,0.0
MOD let ~ PRES PART,inf,0.0,0.0,0.0
MOD could ~ MOD shall,inf,0.0,0.0,0.0
MOD must ~ MOD quest must,inf,0.0,0.0,0.0
MOD must ~ PRES PART,inf,0.0,0.0,0.0
MOD must ~ PRES PROG,inf,0.0,0.0,0.0
MOD must ~ PRES shall,inf,0.0,0.0,0.0
MOD must ~ TO INF,inf,0.0,0.0,0.0
MOD can ~ MOD lest,inf,0.0,0.0,0.0
MOD VB ~ TO INF,inf,0.0,0.0,0.0
MOD VB ~ MOD shall,inf,0.0,0.0,0.0
MOD let ~ MOD that be,inf,0.0,0.0,0.0
MOD VB ~ MOD can,inf,0.0,0.0,0.0
JJ ~ PRES,inf,0.0,0.0,0.0
IMPV ~ PRES PERF,inf,0.0,0.0,0.0
MOD quest must ~ MOD shall,inf,0.0,0.0,0.0
IMPV ~ MOD need not,0.0,inf,0.0,0.0
MOD should ~ PRES PART,inf,0.0,0.0,0.0
MOD that be,inf,0.0,0.0,0.0
MOD quest must,inf,0.0,0.0,0.0
