,Way0,WayX,MSyn
??VB ~ PRES,-0.0,0.0,0.0
??VB ~ PAST,-0.0,0.0,0.0
??PRES ~ PAST,-0.0,0.0,0.0
??PAST ~ PAST,-0.0,0.0,0.0
??PAST ~ ?TO INF,-0.0,0.0,0.0
??PAST ~ ?PAST,-0.0,0.0,0.0
PRES PERF PROG,-0.0,0.0,0.0
MOD let ~ PRES PART,-0.0,0.0,0.0
PRES PART ~ TO INF,-0.0,0.0,0.0
?PAST ~ PAST PERF,-0.0,0.0,0.0
MOD may,-0.0,0.0,0.0
MOD let ~ MOD may,-0.0,0.0,0.0
MOD is to ~ PRES PERF,-0.0,0.0,0.0
MOD may ~ PRES,-0.0,0.0,0.0
MOD could ~ MOD might,-0.0,0.0,0.0
IMPV ~ PRES PART,-0.0,0.0,0.0
IMPV ~ PRES,-0.0,0.0,0.0
MOD might ~ PRES PERF,-0.0,0.0,0.0
MOD must ~ PAST,-0.0,0.0,0.0
MOD must ~ PRES,-0.38,0.38,0.0
MOD should ~ MOD would,-0.38,0.38,0.0
FUT ~ MOD would,-0.0,0.0,0.0
MOD should ~ PRES,-0.0,0.0,0.0
MOD should ~ TO INF,-0.0,0.0,0.0
MOD would ~ PRES,-0.38,0.38,0.0
?TO INF ~ PRES,-0.0,0.0,0.0
?TO INF,-0.0,0.0,0.0
?PRES ~ TO INF,-0.0,0.0,0.0
PAST PERF ~ TO INF,-0.0,0.0,0.0
PAST PROG ~ PRES PART,-0.38,0.38,0.0
?PRES ~ FUT,-0.0,0.0,0.0
?PRES ~ ?VB,-0.0,0.0,0.0
?PRES PERF ~ PAST,-0.0,0.0,0.0
MOD let ~ PRES,-0.0,0.0,0.0
?PAST ~ PRES PERF,-0.0,0.0,0.0
PAST PROG ~ PRES PERF PROG,-0.0,0.0,0.0
PAST ~ PAST PERF PROG,-0.38,0.38,0.0
PAST PROG ~ PRES PERF,-0.38,0.38,0.0
