eng_TAMsimp,Way0,WayX,MSyn
PAST,0.81,1.24,1601.71
PAST ~ PRES PART,0.1,9.56,inf
PAST ~ PAST PERF,1.0,1.0,inf
PRES PERF,0.31,3.21,inf
PRES,0.25,4.06,inf
?PAST ~ PAST,0.09,11.4,inf
PAST ~ PRES PERF,0.15,6.47,inf
?PAST,0.21,4.67,inf
PAST ~ PRES,0.2,5.0,inf
PAST ~ TO INF,0.15,6.89,inf
PAST PERF,2.44,0.41,inf
PRES ~ PRES PERF,0.24,4.12,inf
PAST ~ PAST PROG,0.59,1.7,inf
PRES PART,0.04,25.0,inf
FUT ~ PRES,0.67,1.5,inf
?PRES,0.18,5.5,inf
?PRES ~ PRES,0.18,5.5,inf
MOD would,1.75,0.57,inf
MOD could ~ PAST,1.2,0.83,inf
TO INF,0.0,inf,inf
?VB ~ PAST,0.0,inf,inf
?PRES ~ PAST,0.17,6.0,inf
FUT ~ PAST,1.0,1.0,inf
?PAST ~ PRES PART,0.2,5.0,inf
PAST PROG,1.5,4.0,1.5
?VB,0.0,inf,inf
PRES PART ~ PRES PERF,0.25,4.0,inf
FUT ~ PRES PERF,0.0,inf,inf
PAST PERF ~ PRES PERF,0.33,3.0,inf
MOD would ~ PAST,0.33,3.0,inf
?PAST did not ~ PAST,0.0,inf,inf
PRES ~ PRES PART,0.0,inf,inf
PRES ~ PRES PROG,0.0,inf,inf
?TO INF ~ PAST,0.0,inf,inf
MOD let ~ PAST,0.0,inf,inf
?PAST ~ PRES,0.5,2.0,inf
?PAST ~ ?VB,0.0,inf,inf
PRES ~ TO INF,0.0,inf,inf
IMPV ~ PAST,0.5,2.0,inf
MOD let,0.0,inf,inf
FUT ~ MOD shall,2.0,0.5,inf
PAST PERF ~ PRES PART,0.0,inf,inf
PRES PERF ~ TO INF,0.0,inf,inf
??PAST,0.0,inf,inf
?PRES PERF ~ PRES,0.0,inf,inf
PRES PERF ~ PRES PROG,0.0,inf,inf
?PAST ~ IMPV,0.0,inf,inf
?VB ~ PRES,0.0,inf,inf
?VB ~ PRES PERF,0.0,inf,inf
FUT,0.0,inf,inf
?PRES ~ ?PRES PERF,0.0,inf,inf
?PRES ~ PRES PERF,1.0,1.0,inf
?FUT ~ PAST,0.0,inf,inf
?PRES PERF,0.0,inf,inf
MOD can ~ PRES,0.0,inf,inf
??VB ~ ?PAST question,0.0,inf,inf
MOD may ~ PAST,0.0,inf,inf
?PRES ~ PRES PART,0.0,inf,inf
?PAST wh-question,0.0,inf,inf
?PAST wh-question ~ ?PRES,0.0,inf,inf
?PAST question,0.0,inf,inf
?PAST do-support ~ PAST,0.0,inf,inf
?PAST wh-question ~ MOD let,0.0,inf,inf
?PAST did not ~ TO INF,0.0,inf,inf
?PAST wh-question ~ PAST,0.0,inf,inf
?PAST wh-question ~ TO INF,inf,0.0,inf
?PAST ~ ?TO INF,0.0,inf,inf
?MOD would ~ PAST,0.0,inf,inf
?PAST did not ~ ?PAST question,0.0,inf,inf
?PAST PERF ~ PAST PERF,0.0,inf,inf
?MOD would,0.0,inf,inf
?MOD let ~ PAST,0.0,inf,inf
?FUT ~ PRES PART,0.0,inf,inf
?FUT ~ PRES,0.0,inf,inf
?FUT ~ ?PRES,inf,0.0,inf
??VB ~ PRES PERF,0.0,inf,inf
??VB ~ PRES,0.0,inf,inf
??VB ~ PAST,0.0,inf,inf
??PRES ~ PAST,0.0,inf,inf
??PAST ~ PAST,0.0,inf,inf
??PAST ~ ?TO INF,0.0,inf,inf
??PAST ~ ?PAST,0.0,inf,inf
PRES PERF PROG,0.0,inf,inf
MOD let ~ PRES PART,0.0,inf,inf
PRES PART ~ TO INF,0.0,inf,inf
?PAST ~ PAST PERF,0.0,inf,inf
MOD may,0.0,inf,inf
MOD let ~ MOD may,0.0,inf,inf
MOD is to ~ PRES PERF,0.0,inf,inf
MOD may ~ PRES,0.0,inf,inf
MOD could ~ MOD might,0.0,inf,inf
IMPV ~ PRES PART,0.0,inf,inf
IMPV ~ PRES,0.0,inf,inf
MOD might ~ PRES PERF,0.0,inf,inf
MOD must ~ PAST,0.0,inf,inf
MOD must ~ PRES,inf,0.0,inf
MOD should ~ MOD would,inf,0.0,inf
FUT ~ MOD would,0.0,inf,inf
MOD should ~ PRES,0.0,inf,inf
MOD should ~ TO INF,0.0,inf,inf
MOD would ~ PRES,inf,0.0,inf
?TO INF ~ PRES,0.0,inf,inf
?TO INF,0.0,inf,inf
?PRES ~ TO INF,0.0,inf,inf
PAST PERF ~ TO INF,0.0,inf,inf
PAST PROG ~ PRES PART,inf,0.0,inf
?PRES ~ FUT,0.0,inf,inf
?PRES ~ ?VB,0.0,inf,inf
?PRES PERF ~ PAST,0.0,inf,inf
MOD let ~ PRES,0.0,inf,inf
?PAST ~ PRES PERF,0.0,inf,inf
PAST PROG ~ PRES PERF PROG,0.0,inf,inf
PAST ~ PAST PERF PROG,inf,0.0,inf
PAST PROG ~ PRES PERF,inf,0.0,inf
