eng_TAMsimp,Way0,WayX,MSyn
PAST,1.81,2.24,1602.71
PAST ~ PRES PART,1.1,10.56,inf
PAST ~ PAST PERF,2.0,2.0,inf
PRES PERF,1.31,4.21,inf
PRES,1.25,5.06,inf
?PAST ~ PAST,1.09,12.4,inf
PAST ~ PRES PERF,1.15,7.47,inf
?PAST,1.21,5.67,inf
PAST ~ PRES,1.2,6.0,inf
PAST ~ TO INF,1.15,7.89,inf
PAST PERF,3.44,1.41,inf
PRES ~ PRES PERF,1.24,5.12,inf
PAST ~ PAST PROG,1.59,2.7,inf
PRES PART,1.04,26.0,inf
FUT ~ PRES,1.67,2.5,inf
?PRES,1.18,6.5,inf
?PRES ~ PRES,1.18,6.5,inf
MOD would,2.75,1.57,inf
MOD could ~ PAST,2.2,1.83,inf
TO INF,1.0,inf,inf
?VB ~ PAST,1.0,inf,inf
?PRES ~ PAST,1.17,7.0,inf
FUT ~ PAST,2.0,2.0,inf
?PAST ~ PRES PART,1.2,6.0,inf
PAST PROG,2.5,5.0,2.5
?VB,1.0,inf,inf
PRES PART ~ PRES PERF,1.25,5.0,inf
FUT ~ PRES PERF,1.0,inf,inf
PAST PERF ~ PRES PERF,1.33,4.0,inf
MOD would ~ PAST,1.33,4.0,inf
?PAST did not ~ PAST,1.0,inf,inf
PRES ~ PRES PART,1.0,inf,inf
PRES ~ PRES PROG,1.0,inf,inf
?TO INF ~ PAST,1.0,inf,inf
MOD let ~ PAST,1.0,inf,inf
?PAST ~ PRES,1.5,3.0,inf
?PAST ~ ?VB,1.0,inf,inf
PRES ~ TO INF,1.0,inf,inf
IMPV ~ PAST,1.5,3.0,inf
MOD let,1.0,inf,inf
FUT ~ MOD shall,3.0,1.5,inf
PAST PERF ~ PRES PART,1.0,inf,inf
PRES PERF ~ TO INF,1.0,inf,inf
??PAST,1.0,inf,inf
?PRES PERF ~ PRES,1.0,inf,inf
PRES PERF ~ PRES PROG,1.0,inf,inf
?PAST ~ IMPV,1.0,inf,inf
?VB ~ PRES,1.0,inf,inf
?VB ~ PRES PERF,1.0,inf,inf
FUT,1.0,inf,inf
?PRES ~ ?PRES PERF,1.0,inf,inf
?PRES ~ PRES PERF,2.0,2.0,inf
?FUT ~ PAST,1.0,inf,inf
?PRES PERF,1.0,inf,inf
MOD can ~ PRES,1.0,inf,inf
??VB ~ ?PAST question,1.0,inf,inf
MOD may ~ PAST,1.0,inf,inf
?PRES ~ PRES PART,1.0,inf,inf
?PAST wh-question,1.0,inf,inf
?PAST wh-question ~ ?PRES,1.0,inf,inf
?PAST question,1.0,inf,inf
?PAST do-support ~ PAST,1.0,inf,inf
?PAST wh-question ~ MOD let,1.0,inf,inf
?PAST did not ~ TO INF,1.0,inf,inf
?PAST wh-question ~ PAST,1.0,inf,inf
?PAST wh-question ~ TO INF,inf,1.0,inf
?PAST ~ ?TO INF,1.0,inf,inf
?MOD would ~ PAST,1.0,inf,inf
?PAST did not ~ ?PAST question,1.0,inf,inf
?PAST PERF ~ PAST PERF,1.0,inf,inf
?MOD would,1.0,inf,inf
?MOD let ~ PAST,1.0,inf,inf
?FUT ~ PRES PART,1.0,inf,inf
?FUT ~ PRES,1.0,inf,inf
?FUT ~ ?PRES,inf,1.0,inf
??VB ~ PRES PERF,1.0,inf,inf
??VB ~ PRES,1.0,inf,inf
??VB ~ PAST,1.0,inf,inf
??PRES ~ PAST,1.0,inf,inf
??PAST ~ PAST,1.0,inf,inf
??PAST ~ ?TO INF,1.0,inf,inf
??PAST ~ ?PAST,1.0,inf,inf
PRES PERF PROG,1.0,inf,inf
MOD let ~ PRES PART,1.0,inf,inf
PRES PART ~ TO INF,1.0,inf,inf
?PAST ~ PAST PERF,1.0,inf,inf
MOD may,1.0,inf,inf
MOD let ~ MOD may,1.0,inf,inf
MOD is to ~ PRES PERF,1.0,inf,inf
MOD may ~ PRES,1.0,inf,inf
MOD could ~ MOD might,1.0,inf,inf
IMPV ~ PRES PART,1.0,inf,inf
IMPV ~ PRES,1.0,inf,inf
MOD might ~ PRES PERF,1.0,inf,inf
MOD must ~ PAST,1.0,inf,inf
MOD must ~ PRES,inf,1.0,inf
MOD should ~ MOD would,inf,1.0,inf
FUT ~ MOD would,1.0,inf,inf
MOD should ~ PRES,1.0,inf,inf
MOD should ~ TO INF,1.0,inf,inf
MOD would ~ PRES,inf,1.0,inf
?TO INF ~ PRES,1.0,inf,inf
?TO INF,1.0,inf,inf
?PRES ~ TO INF,1.0,inf,inf
PAST PERF ~ TO INF,1.0,inf,inf
PAST PROG ~ PRES PART,inf,1.0,inf
?PRES ~ FUT,1.0,inf,inf
?PRES ~ ?VB,1.0,inf,inf
?PRES PERF ~ PAST,1.0,inf,inf
MOD let ~ PRES,1.0,inf,inf
?PAST ~ PRES PERF,1.0,inf,inf
PAST PROG ~ PRES PERF PROG,1.0,inf,inf
PAST ~ PAST PERF PROG,inf,1.0,inf
PAST PROG ~ PRES PERF,inf,1.0,inf
