,Way0,WayX,MSyn
PAST,0.35,2.87,0.5
PAST ~ PRES PART,7.01,0.14,0.0
PAST ~ PAST PERF,0.72,1.4,0.0
PRES PERF,2.34,0.43,0.0
PRES,2.96,0.34,0.0
?PAST ~ PAST,8.31,0.12,0.0
PAST ~ PRES PERF,4.7,0.21,0.0
?PAST,3.38,0.3,0.0
PAST ~ PRES,3.62,0.28,0.0
PAST ~ TO INF,4.99,0.2,0.0
PAST PERF,0.29,3.42,0.0
PRES ~ PRES PERF,2.98,0.34,0.0
PAST ~ PAST PROG,1.22,0.82,0.0
PRES PART,18.04,0.06,0.0
FUT ~ PRES,1.08,0.93,0.0
?PRES,3.96,0.25,0.0
?PRES ~ PRES,3.96,0.25,0.0
MOD would,0.41,2.44,0.0
MOD could ~ PAST,0.6,1.67,0.0
TO INF,inf,0.0,0.0
?VB ~ PAST,inf,0.0,0.0
?PRES ~ PAST,4.32,0.23,0.0
FUT ~ PAST,0.72,1.39,0.0
?PAST ~ PRES PART,3.6,0.28,0.0
PAST PROG,0.48,0.35,1220.0
?VB,inf,0.0,0.0
PRES PART ~ PRES PERF,2.88,0.35,0.0
FUT ~ PRES PERF,inf,0.0,0.0
PAST PERF ~ PRES PERF,2.16,0.46,0.0
MOD would ~ PAST,2.16,0.46,0.0
?PAST did not ~ PAST,inf,0.0,0.0
PRES ~ PRES PART,inf,0.0,0.0
PRES ~ PRES PROG,inf,0.0,0.0
?TO INF ~ PAST,inf,0.0,0.0
MOD let ~ PAST,inf,0.0,0.0
?PAST ~ PRES,1.44,0.7,0.0
?PAST ~ ?VB,inf,0.0,0.0
PRES ~ TO INF,inf,0.0,0.0
IMPV ~ PAST,1.44,0.7,0.0
MOD let,inf,0.0,0.0
FUT ~ MOD shall,0.36,2.79,0.0
PAST PERF ~ PRES PART,inf,0.0,0.0
PRES PERF ~ TO INF,inf,0.0,0.0
??PAST,inf,0.0,0.0
?PRES PERF ~ PRES,inf,0.0,0.0
PRES PERF ~ PRES PROG,inf,0.0,0.0
?PAST ~ IMPV,inf,0.0,0.0
?VB ~ PRES,inf,0.0,0.0
?VB ~ PRES PERF,inf,0.0,0.0
FUT,inf,0.0,0.0
?PRES ~ ?PRES PERF,inf,0.0,0.0
?PRES ~ PRES PERF,0.72,1.39,0.0
?FUT ~ PAST,inf,0.0,0.0
?PRES PERF,inf,0.0,0.0
MOD can ~ PRES,inf,0.0,0.0
??VB ~ ?PAST question,inf,0.0,0.0
MOD may ~ PAST,inf,0.0,0.0
?PRES ~ PRES PART,inf,0.0,0.0
?PAST wh-question,inf,0.0,0.0
?PAST wh-question ~ ?PRES,inf,0.0,0.0
?PAST question,inf,0.0,0.0
?PAST do-support ~ PAST,inf,0.0,0.0
?PAST wh-question ~ MOD let,inf,0.0,0.0
?PAST did not ~ TO INF,inf,0.0,0.0
?PAST wh-question ~ PAST,inf,0.0,0.0
?PAST wh-question ~ TO INF,0.0,inf,0.0
?PAST ~ ?TO INF,inf,0.0,0.0
?MOD would ~ PAST,inf,0.0,0.0
?PAST did not ~ ?PAST question,inf,0.0,0.0
?PAST PERF ~ PAST PERF,inf,0.0,0.0
?MOD would,inf,0.0,0.0
?MOD let ~ PAST,inf,0.0,0.0
?FUT ~ PRES PART,inf,0.0,0.0
?FUT ~ PRES,inf,0.0,0.0
?FUT ~ ?PRES,0.0,inf,0.0
??VB ~ PRES PERF,inf,0.0,0.0
??VB ~ PRES,inf,0.0,0.0
??VB ~ PAST,inf,0.0,0.0
??PRES ~ PAST,inf,0.0,0.0
??PAST ~ PAST,inf,0.0,0.0
??PAST ~ ?TO INF,inf,0.0,0.0
??PAST ~ ?PAST,inf,0.0,0.0
PRES PERF PROG,inf,0.0,0.0
MOD let ~ PRES PART,inf,0.0,0.0
PRES PART ~ TO INF,inf,0.0,0.0
?PAST ~ PAST PERF,inf,0.0,0.0
MOD may,inf,0.0,0.0
MOD let ~ MOD may,inf,0.0,0.0
MOD is to ~ PRES PERF,inf,0.0,0.0
MOD may ~ PRES,inf,0.0,0.0
MOD could ~ MOD might,inf,0.0,0.0
IMPV ~ PRES PART,inf,0.0,0.0
IMPV ~ PRES,inf,0.0,0.0
MOD might ~ PRES PERF,inf,0.0,0.0
MOD must ~ PAST,inf,0.0,0.0
MOD must ~ PRES,0.0,inf,0.0
MOD should ~ MOD would,0.0,inf,0.0
FUT ~ MOD would,inf,0.0,0.0
MOD should ~ PRES,inf,0.0,0.0
MOD should ~ TO INF,inf,0.0,0.0
MOD would ~ PRES,0.0,inf,0.0
?TO INF ~ PRES,inf,0.0,0.0
?TO INF,inf,0.0,0.0
?PRES ~ TO INF,inf,0.0,0.0
PAST PERF ~ TO INF,inf,0.0,0.0
PAST PROG ~ PRES PART,0.0,inf,0.0
?PRES ~ FUT,inf,0.0,0.0
?PRES ~ ?VB,inf,0.0,0.0
?PRES PERF ~ PAST,inf,0.0,0.0
MOD let ~ PRES,inf,0.0,0.0
?PAST ~ PRES PERF,inf,0.0,0.0
PAST PROG ~ PRES PERF PROG,inf,0.0,0.0
PAST ~ PAST PERF PROG,0.0,inf,0.0
PAST PROG ~ PRES PERF,0.0,inf,0.0
