eng_TAMsimp,WQt0,WQtX,MSyn
FUT,0.18,5.49,inf
FUT ~ MOD shall,0.55,1.84,522.0
PRES,0.26,3.92,417.0
IMPV ~ MOD shall,0.01,68.67,inf
IMPV,0.01,113.67,inf
MOD is to ~ MOD shall,0.56,1.79,inf
MOD shall,1.04,0.96,inf
PAST,0.3,3.33,inf
MOD must ~ MOD shall,0.36,2.75,inf
FUT ~ PRES,0.24,4.25,inf
MOD may,0.2,4.91,inf
PAST ~ PRES,0.97,1.03,inf
FUT ~ MOD may,0.2,5.0,inf
MOD shall ~ PRES,0.42,2.38,inf
PRES PERF,0.29,3.43,inf
MOD shall ~ TO INF,0.04,27.0,inf
MOD would,0.33,3.0,inf
TO INF,0.0,inf,inf
MOD would ~ PAST,0.47,2.14,inf
FUT ~ MOD lest,0.16,6.33,inf
PRES ~ PRES PERF,0.62,1.62,inf
MOD may ~ TO INF,0.05,20.0,inf
MOD let,0.05,20.0,inf
FUT ~ IMPV,0.0,inf,inf
PRES ~ PRES PART,0.2,5.0,inf
MOD may ~ MOD shall,0.12,8.0,inf
PAST ~ PRES PART,0.0,inf,inf
MOD may ~ PRES,0.55,1.83,inf
PRES ~ TO INF,0.07,15.0,inf
MOD shall ~ PRES PART,0.07,15.0,inf
FUT ~ TO INF,0.07,14.0,inf
IMPV ~ MOD let,0.08,13.0,inf
IMPV ~ PRES,0.08,12.0,inf
FUT ~ PRES PART,0.0,inf,inf
PAST ~ PRES PERF,0.33,3.0,inf
FUT ~ MOD let,0.0,inf,inf
FUT ~ MOD would,0.38,2.67,inf
IMPV ~ TO INF,0.0,inf,inf
MOD can ~ MOD may,0.0,inf,inf
MOD can ~ MOD shall,0.0,inf,inf
PRES PART,0.0,inf,inf
MOD shall ~ PAST,0.8,1.25,inf
MOD let ~ MOD shall,0.5,2.0,inf
MOD let ~ MOD may,0.33,3.0,inf
MOD is to ~ PRES,0.14,7.0,inf
MOD is to ~ MOD let,0.6,1.67,inf
MOD lest ~ MOD may,0.0,inf,inf
MOD is to ~ PAST,0.0,inf,inf
FUT ~ PAST,0.17,6.0,inf
PAST ~ PAST PROG,1.0,1.0,inf
MOD shall ~ PRES PERF,0.2,5.0,inf
MOD shall ~ MOD would,0.0,inf,inf
PAST ~ TO INF,0.25,4.0,inf
MOD lest ~ TO INF,0.0,inf,inf
IMPV ~ PAST,0.0,inf,inf
FUT ~ FUT PERF,0.0,inf,inf
MOD would ~ PRES,0.0,inf,inf
FUT ~ MOD can,0.0,inf,inf
MOD should,0.0,inf,inf
IMPV ~ MOD lest,0.0,inf,inf
MOD shall ~ MOD should,0.33,3.0,inf
IMPV ~ MOD must,0.0,inf,inf
IMPV ~ MOD may,0.0,inf,inf
MOD let ~ TO INF,0.0,inf,inf
FUT ~ PRES PERF,0.33,3.0,inf
HAB used to ~ PAST,2.0,0.5,inf
IMPV ~ MOD would,0.0,inf,inf
MOD VB ~ PRES,0.0,inf,inf
MOD can,0.0,inf,inf
FUT ~ FUT going-to,0.0,inf,inf
MOD can ~ PRES,0.5,2.0,inf
HAB used to,0.5,2.0,inf
HAB used to ~ MOD would,2.0,0.5,inf
PAST PERF,0.0,inf,inf
MOD should ~ PRES,0.5,2.0,inf
MOD is to ~ TO INF,0.0,inf,inf
MOD may ~ MOD must,0.0,inf,inf
