,WQt0,WQtX,MSyn
FUT,8.56,-8.47,0.0
FUT ~ MOD shall,-32.29,31.85,1.01
PRES,0.1,-0.12,0.67
IMPV ~ MOD shall,35.23,-35.01,0.0
IMPV,31.29,-31.29,0.0
MOD is to ~ MOD shall,-9.03,9.06,0.0
MOD shall,-21.01,21.04,0.0
PAST,-0.28,0.33,0.0
MOD must ~ MOD shall,-0.98,0.98,0.0
FUT ~ PRES,0.14,-0.14,0.0
MOD may,0.35,-0.27,0.0
PAST ~ PRES,-6.04,6.05,0.0
FUT ~ MOD may,0.3,-0.3,0.0
MOD shall ~ PRES,-0.88,0.88,0.0
PRES PERF,-0.08,0.08,0.0
MOD shall ~ TO INF,1.73,-1.73,0.0
MOD would,-0.21,0.21,0.0
TO INF,2.09,-2.09,0.0
MOD would ~ PAST,-0.54,0.54,0.0
FUT ~ MOD lest,0.22,-0.22,0.0
PRES ~ PRES PERF,-1.2,1.2,0.0
MOD may ~ TO INF,0.99,-0.99,0.0
MOD let,0.99,-0.99,0.0
FUT ~ IMPV,1.69,-1.69,0.0
PRES ~ PRES PART,0.11,-0.11,0.0
MOD may ~ MOD shall,0.4,-0.4,0.0
PAST ~ PRES PART,1.49,-1.49,0.0
MOD may ~ PRES,-0.64,0.83,0.0
PRES ~ TO INF,0.66,-0.66,0.0
MOD shall ~ PRES PART,0.66,-0.66,0.0
FUT ~ TO INF,0.66,-0.66,0.0
IMPV ~ MOD let,0.49,-0.49,0.0
IMPV ~ PRES,0.49,-0.49,0.0
FUT ~ PRES PART,1.08,-1.08,0.0
PAST ~ PRES PERF,-0.14,0.14,0.0
FUT ~ MOD let,1.08,-1.08,0.0
FUT ~ MOD would,-0.15,0.15,0.0
IMPV ~ TO INF,0.87,-0.87,0.0
MOD can ~ MOD may,0.87,-0.87,0.0
MOD can ~ MOD shall,0.87,-0.87,0.0
PRES PART,0.87,-0.87,0.0
MOD shall ~ PAST,-1.0,1.0,0.0
MOD let ~ MOD shall,-0.39,0.39,0.0
MOD let ~ MOD may,-0.17,0.17,0.0
MOD is to ~ PRES,-0.0,0.0,0.0
MOD is to ~ MOD let,-0.42,0.42,0.0
MOD lest ~ MOD may,0.45,-0.45,0.0
MOD is to ~ PAST,0.45,-0.45,0.0
FUT ~ PAST,-0.0,0.0,0.0
PAST ~ PAST PROG,-0.95,0.95,0.0
MOD shall ~ PRES PERF,-0.0,0.0,0.0
MOD shall ~ MOD would,0.23,-0.23,0.0
PAST ~ TO INF,-0.0,0.0,0.0
MOD lest ~ TO INF,0.23,-0.23,0.0
IMPV ~ PAST,0.23,-0.23,0.0
FUT ~ FUT PERF,0.23,-0.23,0.0
MOD would ~ PRES,0.23,-0.23,0.0
FUT ~ MOD can,0.23,-0.23,0.0
MOD should,0.23,-0.23,0.0
IMPV ~ MOD lest,0.23,-0.23,0.0
MOD shall ~ MOD should,0.0,-0.0,0.0
IMPV ~ MOD must,0.23,-0.23,0.0
IMPV ~ MOD may,0.23,-0.23,0.0
MOD let ~ TO INF,0.23,-0.23,0.0
FUT ~ PRES PERF,0.0,-0.0,0.0
HAB used to ~ PAST,-0.94,0.94,0.0
IMPV ~ MOD would,-0.0,0.0,0.0
MOD VB ~ PRES,-0.0,0.0,0.0
MOD can,-0.0,0.0,0.0
FUT ~ FUT going-to,-0.0,0.0,0.0
MOD can ~ PRES,-0.29,0.29,0.0
HAB used to,-0.29,0.29,0.0
HAB used to ~ MOD would,-0.94,0.94,0.0
PAST PERF,-0.0,0.0,0.0
MOD should ~ PRES,-0.29,0.29,0.0
MOD is to ~ TO INF,-0.0,0.0,0.0
MOD may ~ MOD must,-0.0,0.0,0.0
MOD was to,-0.29,0.29,0.0
MOD lest ~ PRES PART,-0.0,0.0,0.0
MOD let ~ MOD must,-0.42,0.42,0.0
MOD must ~ PRES,-0.0,0.0,0.0
PAST ~ PAST PERF,-0.0,0.0,0.0
MOD that be ~ TO INF,-0.0,0.0,0.0
FUT ~ MOD must,-0.42,0.42,0.0
IMPV ~ MOD is to,-0.0,0.0,0.0
MOD may ~ PRES PART,-0.0,0.0,0.0
PRES ~ PRES PROG,-0.0,0.0,0.0
MOD let ~ PRES,-0.0,0.0,0.0
MOD was to ~ PAST,-0.0,0.0,0.0
MOD must ~ PRES PART,-0.0,0.0,0.0
FUT going-to ~ MOD shall,-0.0,0.0,0.0
MOD lest ~ MOD must,-0.0,0.0,0.0
MOD can ~ MOD let,-0.0,0.0,0.0
MOD lest ~ MOD might,-0.0,0.0,0.0
MOD would ~ PRES PART,-0.0,0.0,0.0
IMPV ~ PRES PART,-0.0,0.0,0.0
MOD quest must ~ MOD shall,-0.0,0.0,0.0
FUT ~ MOD that be,-0.68,0.68,0.0
FUT PROG,-0.68,0.68,0.0
MOD should ~ MOD would,-0.68,0.68,0.0
MOD would ~ TO INF,-0.68,0.68,0.0
MOD would ~ PRES PROG,-0.0,0.0,0.0
FUT ~ MOD should,-0.0,0.0,0.0
FUT ~ FUT PROG,-0.0,0.0,0.0
FUT ~ MOD VB,-0.68,0.68,0.0
PAST PROG ~ TO INF,-0.0,0.0,0.0
FUT ~ MOD is to,-0.68,0.68,0.0
MOD is to ~ MOD may,-0.0,0.0,0.0
MOD must,-0.68,0.68,0.0
MOD might ~ MOD would,-0.0,0.0,0.0
MOD is to ~ MOD lest,-0.0,0.0,0.0
MOD could ~ MOD would,-0.0,0.0,0.0
MOD could ~ MOD may,-0.0,0.0,0.0
MOD could,-0.0,0.0,0.0
MOD can ~ TO INF,-0.0,0.0,0.0
MOD is to ~ PRES PART,-0.0,0.0,0.0
MOD lest ~ PRES,-0.0,0.0,0.0
MOD let ~ MOD might,-0.68,0.68,0.0
MOD let ~ MOD should,-0.0,0.0,0.0
MOD let ~ MOD would,-0.0,0.0,0.0
PRES PART ~ PRES PERF,-0.0,0.0,0.0
MOD let ~ PRES PART,-0.0,0.0,0.0
IMPV ~ MOD VB,-0.0,0.0,0.0
PRES PERF ~ TO INF,-0.0,0.0,0.0
HAB used to ~ PRES PART,-0.0,0.0,0.0
