,Q,D,?,N
PRES,-9.23,-0.38,25.64,-2.29
FUT,9.57,-11.57,-0.4,-1.87
FUT ~ MOD shall,14.24,-10.29,-3.57,-1.11
IMPV ~ MOD shall,0.36,2.17,-7.3,-0.4
PAST,-59.11,73.76,-0.34,6.7
FUT ~ PRES,-0.21,-1.81,3.2,-0.2
MOD must ~ MOD shall,-0.19,1.06,-0.5,0.0
MOD is to ~ MOD shall,1.92,-1.16,-0.66,0.0
MOD can,0.76,-4.22,1.28,0.0
MOD shall,2.45,-1.14,-1.29,0.0
MOD may,0.87,-0.06,-0.9,0.0
IMPV,7.99,-4.25,-3.03,0.0
MOD shall ~ PRES,0.58,-0.23,-0.18,0.0
MOD would,-0.82,0.84,-1.61,6.21
PAST ~ PRES,-1.3,1.27,0.21,0.58
FUT ~ MOD may,1.36,-0.42,-0.72,0.0
PRES ~ PRES PART,-0.0,-0.09,0.37,0.0
PRES ~ PRES PERF,0.84,0.0,-1.29,0.0
MOD should,-0.0,0.21,-0.43,0.71
MOD can ~ PRES,0.5,-1.48,0.45,0.0
FUT ~ MOD lest,2.77,-1.48,-0.93,0.0
FUT ~ MOD can,0.28,-0.23,0.0,0.0
PRES PERF,0.56,0.0,-0.75,0.0
MOD may ~ MOD shall,0.09,-0.43,0.34,0.0
PRES PART,0.2,0.12,-0.58,0.0
IMPV ~ PRES,1.9,-0.95,-0.58,0.0
TO INF,0.21,-0.29,-0.58,2.13
MOD may ~ PRES,-0.69,0.13,0.99,0.0
MOD can ~ MOD shall,0.36,-0.76,0.16,0.0
MOD should ~ PRES,1.71,-0.76,-0.38,0.0
PRES ~ TO INF,0.1,-0.14,0.17,0.0
FUT ~ MOD would,1.53,-0.77,-0.39,0.0
MOD could,-5.23,8.26,-0.39,0.0
MOD shall ~ TO INF,1.34,-0.57,-0.39,0.0
MOD must,0.6,-0.58,0.0,0.0
MOD let,0.6,-0.58,0.0,0.0
MOD can ~ MOD may,0.11,-0.58,0.42,0.0
PAST ~ PRES PERF,1.15,-0.59,-0.19,0.0
MOD shall ~ MOD should,1.17,-0.38,-0.2,0.0
MOD would ~ PAST,-16.51,20.15,0.0,0.0
FUT ~ TO INF,0.29,-0.4,0.0,0.0
MOD would ~ PRES,-0.0,0.0,0.22,0.0
FUT ~ IMPV,0.15,0.0,0.0,0.0
PAST ~ PRES PART,-5.05,6.16,0.25,0.0
MOD shall ~ PRES PART,0.15,-0.2,0.26,0.0
MOD should ~ TO INF,-1.05,-0.21,0.29,4.82
MOD must ~ PRES,-0.0,-0.0,0.0,0.0
PRES ~ PRES PROG,-0.71,1.27,0.0,0.0
MOD lest ~ MOD may,-0.18,0.66,0.0,0.0
MOD let ~ PRES,-0.77,0.24,0.94,0.0
FUT ~ PRES PART,-0.77,0.24,0.94,0.0
FUT ~ PAST,-0.0,0.24,0.0,0.0
MOD shall ~ PAST,0.41,0.0,0.0,0.0
FUT ~ MOD let,0.41,0.0,0.0,0.0
MOD lest ~ PRES,0.41,0.0,0.0,0.0
MOD should ~ MOD would,-0.83,0.75,0.0,1.42
IMPV ~ MOD may,0.2,0.0,0.0,0.0
MOD let ~ MOD shall,-1.52,2.36,0.0,0.0
FUT ~ MOD should,-0.0,0.0,0.42,0.0
HAB used to ~ PAST,-3.35,4.73,0.0,0.0
MOD may ~ TO INF,0.21,0.0,0.0,0.0
IMPV ~ MOD must,0.21,0.0,0.0,0.0
IMPV ~ MOD let,0.21,0.0,0.0,0.0
IMPV ~ MOD can,0.21,0.0,0.0,0.0
MOD might,0.21,0.0,0.0,0.0
PAST ~ TO INF,-2.63,2.66,0.0,1.52
MOD may ~ MOD must,0.0,0.37,0.0,0.0
PAST ~ PAST PERF,-2.86,1.83,0.48,1.57
MOD is to,-0.6,0.0,1.26,0.0
MOD was to ~ PAST,-1.31,1.08,0.52,0.0
MOD can ~ MOD should,-0.0,0.0,0.0,0.0
MOD can ~ MOD could,-0.0,0.0,0.0,0.0
MOD lest,-0.0,0.0,0.0,0.0
PAST PERF,-5.29,6.75,0.0,0.0
FUT ~ MOD must,-0.0,0.0,0.0,0.0
MOD should ~ MOD was to,-1.63,1.28,0.0,1.72
MOD might ~ MOD would,-0.34,0.54,0.0,0.0
MOD could ~ PAST,-0.34,0.0,0.0,1.79
FUT ~ PRES PERF,-0.0,0.0,0.0,0.0
PAST ~ PAST PROG,-4.34,3.91,0.67,0.0
FUT going-to ~ MOD shall,-0.0,0.0,0.0,0.0
MOD lest ~ MOD might,-0.0,0.0,0.0,0.0
MOD shall ~ MOD would,-0.0,0.0,0.0,0.0
MOD let ~ MOD must,-0.0,0.0,0.0,0.0
PRES PART ~ TO INF,-0.34,0.54,0.0,0.0
MOD is to ~ MOD may,-0.34,0.54,0.0,0.0
MOD could ~ MOD would,-0.0,0.0,0.0,0.0
FUT ~ FUT going-to,-0.0,0.0,0.0,0.0
MOD VB ~ MOD may,-0.4,0.0,0.74,0.0
MOD can ~ PRES PART,-0.0,0.0,0.0,0.0
MOD is to ~ MOD must,-0.0,0.0,0.0,0.0
MOD can ~ TO INF,-0.0,0.0,0.0,0.0
IMPV ~ PRES PART,-0.0,0.0,0.0,0.0
MOD lest ~ TO INF,-0.0,0.0,0.0,0.0
MOD might ~ TO INF,-0.4,0.61,0.0,0.0
MOD may ~ PRES PART,-0.4,0.0,0.74,0.0
MOD would ~ TO INF,-0.4,0.0,0.0,1.86
MOD might ~ PAST,-0.0,0.0,0.0,0.0
MOD might ~ MOD should,-0.4,0.61,0.0,0.0
MOD was to,-3.4,4.37,0.0,0.0
?VB ~ PAST,-0.0,0.0,0.0,0.0
IMPV ~ TO INF,-0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,-0.0,0.0,0.0,0.0
MOD could ~ MOD might,-1.31,1.78,0.0,0.0
