,Q,D,?,N
PRES,0.57,1.05,3.09,0.13
FUT,1.62,0.46,0.93,0.15
FUT ~ MOD shall,2.05,0.44,0.61,0.21
IMPV,20.12,0.06,0.04,0.0
IMPV ~ MOD shall,1.04,1.79,0.05,0.0
PAST,0.14,11.42,0.86,12.98
FUT ~ PRES,0.86,0.55,2.15,0.0
MOD let,1.52,0.21,1.39,0.0
MOD must ~ MOD shall,0.83,1.63,0.73,0.0
MOD may,2.56,0.54,0.24,0.0
MOD is to ~ MOD shall,1.69,0.6,0.65,0.0
MOD can,1.28,0.14,1.82,0.0
MOD shall,2.28,0.54,0.37,0.0
MOD shall ~ PRES,1.35,0.8,0.73,0.0
FUT ~ MOD may,3.15,0.44,0.2,0.0
MOD would,0.58,1.96,0.0,26.06
IMPV ~ MOD let,10.78,0.0,0.24,0.0
PAST ~ PRES,0.53,2.14,1.26,3.8
MOD let ~ MOD may,inf,0.0,0.0,0.0
PRES ~ PRES PART,0.93,0.84,1.47,0.0
PRES ~ PRES PERF,2.03,0.92,0.0,0.0
MOD should,1.05,1.24,0.32,5.11
FUT ~ MOD lest,inf,0.0,0.0,0.0
MOD can ~ PRES,1.62,0.0,1.6,0.0
TO INF,2.19,0.27,0.0,12.54
FUT ~ MOD can,1.45,0.62,0.86,0.0
MOD may ~ PRES,0.76,0.98,1.85,0.0
PRES PERF,1.87,1.0,0.0,0.0
MOD may ~ MOD shall,1.3,0.34,1.46,0.0
IMPV ~ PRES,inf,0.0,0.0,0.0
MOD can ~ MOD may,2.32,0.0,1.11,0.0
PRES PART,1.48,1.26,0.0,0.0
PRES ~ TO INF,1.35,0.44,1.24,0.0
MOD should ~ PRES,inf,0.0,0.0,0.0
MOD can ~ MOD shall,2.03,0.0,1.27,0.0
FUT ~ MOD would,inf,0.0,0.0,0.0
MOD must,3.57,0.0,0.72,0.0
MOD shall ~ TO INF,inf,0.0,0.0,0.0
MOD could,0.16,11.47,0.0,0.0
PAST ~ PRES PERF,inf,0.0,0.0,0.0
MOD may ~ TO INF,inf,0.0,0.0,0.0
MOD shall ~ MOD should,inf,0.0,0.0,0.0
IMPV ~ MOD may,inf,0.0,0.0,0.0
FUT ~ TO INF,2.7,0.0,0.95,0.0
MOD would ~ PAST,0.03,52.26,0.95,0.0
MOD would ~ PRES,1.01,0.88,1.21,0.0
FUT ~ IMPV,2.12,0.88,0.0,0.0
MOD let ~ PRES,0.61,0.92,2.68,0.0
PAST ~ PRES PART,0.11,14.65,1.34,0.0
FUT ~ MOD let,inf,0.0,0.0,0.0
MOD shall ~ PRES PART,1.83,0.0,1.41,0.0
MOD should ~ TO INF,0.36,0.0,1.48,84.16
MOD must ~ PRES,1.64,1.14,0.0,0.0
FUT ~ PRES PART,0.45,1.21,3.57,0.0
MOD let ~ TO INF,inf,0.0,0.0,0.0
MOD lest ~ MOD may,0.67,2.76,0.0,0.0
PRES ~ PRES PROG,0.42,4.47,0.0,0.0
MOD let ~ MOD shall,0.19,9.71,0.0,0.0
FUT ~ PAST,1.35,1.38,0.0,0.0
IMPV ~ MOD must,inf,0.0,0.0,0.0
MOD lest ~ PRES,inf,0.0,0.0,0.0
MOD shall ~ PAST,inf,0.0,0.0,0.0
MOD should ~ MOD would,0.35,3.22,0.0,32.38
PAST ~ TO INF,0.15,8.62,0.0,35.08
FUT ~ MOD should,1.06,0.0,2.43,0.0
HAB used to ~ PAST,0.1,19.46,0.0,0.0
MOD might,inf,0.0,0.0,0.0
MOD may ~ MOD must,0.96,1.93,0.0,0.0
IMPV ~ MOD can,inf,0.0,0.0,0.0
MOD is to,0.38,0.0,6.7,0.0
PAST ~ PAST PERF,0.1,8.3,2.97,46.78
MOD let ~ MOD must,inf,0.0,0.0,0.0
MOD was to ~ PAST,0.19,5.53,3.34,0.0
MOD is to ~ MOD let,inf,0.0,0.0,0.0
MOD can ~ MOD should,inf,0.0,0.0,0.0
MOD let ~ PAST,0.29,0.0,8.93,0.0
MOD let ~ MOD should,inf,0.0,0.0,0.0
MOD can ~ MOD could,inf,0.0,0.0,0.0
IMPV ~ PAST,inf,0.0,0.0,0.0
MOD could ~ MOD would,inf,0.0,0.0,0.0
IMPV ~ MOD should,inf,0.0,0.0,0.0
FUT ~ MOD must,inf,0.0,0.0,0.0
MOD lest,inf,0.0,0.0,0.0
MOD should ~ MOD was to,0.13,7.74,0.0,70.19
PAST PERF,0.02,116.8,0.0,0.0
IMPV ~ PRES PART,inf,0.0,0.0,0.0
