eng_TAMsimp,TOTAL,Q,D,?,N
PRES,2663,2320,137,205,1
FUT,2251,2110,60,80,1
FUT ~ MOD shall,1727,1643,42,41,1
IMPV ~ MOD shall,504,461,42,1,0
PAST,447,279,144,14,10
FUT ~ PRES,414,371,12,31,0
MOD must ~ MOD shall,338,303,26,9,0
MOD is to ~ MOD shall,294,278,9,7,0
MOD can,269,250,2,17,0
MOD shall,219,210,6,3,0
MOD may,188,176,9,3,0
IMPV,187,187,0,0,0
MOD shall ~ PRES,148,138,6,4,0
MOD would,115,99,10,0,6
PAST ~ PRES,110,93,11,5,1
FUT ~ MOD may,103,99,3,1,0
PRES ~ PRES PART,96,87,4,5,0
PRES ~ PRES PERF,88,84,4,0,0
MOD should,79,72,5,1,1
MOD can ~ PRES,71,67,0,4,0
FUT ~ MOD lest,71,71,0,0,0
FUT ~ MOD can,64,60,2,2,0
PRES PERF,61,58,3,0,0
MOD may ~ MOD shall,53,49,1,3,0
PRES PART,49,46,3,0,0
IMPV ~ PRES,47,47,0,0,0
TO INF,47,44,1,0,2
MOD may ~ PRES,46,39,3,4,0
MOD can ~ MOD shall,44,42,0,2,0
MOD should ~ PRES,44,44,0,0,0
PRES ~ TO INF,41,38,1,2,0
FUT ~ MOD would,40,40,0,0,0
MOD could,38,24,14,0,0
MOD shall ~ TO INF,37,37,0,0,0
MOD must,36,35,0,1,0
MOD let,35,34,0,1,0
MOD can ~ MOD may,34,32,0,2,0
PAST ~ PRES PERF,33,33,0,0,0
MOD shall ~ MOD should,31,31,0,0,0
MOD would ~ PAST,29,7,21,1,0
FUT ~ TO INF,27,26,0,1,0
MOD would ~ PRES,23,21,1,1,0
FUT ~ IMPV,21,20,1,0,0
PAST ~ PRES PART,21,11,9,1,0
MOD shall ~ PRES PART,20,19,0,1,0
MOD should ~ TO INF,18,14,0,1,3
MOD must ~ PRES,18,17,1,0,0
PRES ~ PRES PROG,16,13,3,0,0
MOD lest ~ MOD may,16,14,2,0,0
MOD let ~ PRES,15,12,1,2,0
FUT ~ PRES PART,15,12,1,2,0
FUT ~ PAST,15,14,1,0,0
MOD shall ~ PAST,14,14,0,0,0
FUT ~ MOD let,14,14,0,0,0
MOD lest ~ PRES,14,14,0,0,0
MOD should ~ MOD would,14,11,2,0,1
IMPV ~ MOD may,13,13,0,0,0
MOD let ~ MOD shall,13,9,4,0,0
FUT ~ MOD should,12,11,0,1,0
HAB used to ~ PAST,12,6,6,0,0
MOD may ~ TO INF,12,12,0,0,0
IMPV ~ MOD must,12,12,0,0,0
IMPV ~ MOD let,11,11,0,0,0
IMPV ~ MOD can,11,11,0,0,0
MOD might,11,11,0,0,0
