eng_TAMsimp,TOTAL,"('prose', 'Q')","('prophetic', 'Q')","('poetry', 'Q')","('instruction', 'Q')","('instruction', 'D')","('prophetic', 'D')","('poetry', '?')","('prose', 'D')","('prophetic', '?')","('instruction', '?')","('list', 'Q')","('poetry', 'D')","('prose', 'N')","('list', 'D')","('list', '?')","('prophetic', 'N')","('list', 'N')","('prose', '?')"
IMPV ~ MOD may,34,22,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD let,34,13,7,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES PERF,34,2,8,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD should,31,15,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ TO INF,31,15,7,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST,29,0,2,3,2,0,5,0,16,0,0,0,0,0,0,1,0,0,0
MOD let ~ PRES,29,8,6,12,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
FUT ~ IMPV,24,8,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES,24,5,1,16,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
MOD let ~ TO INF,22,15,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES PART,21,1,2,7,1,0,4,0,4,1,0,0,0,0,1,0,0,0,0
MOD shall ~ PRES PART,21,2,9,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FUT ~ PRES PART,19,6,8,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
MOD must ~ PRES,19,5,2,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ TO INF,19,7,3,5,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
FUT ~ PAST,17,5,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD shall,17,4,6,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PROG,16,7,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD may,16,3,1,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD must,14,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PAST,14,5,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD must,14,11,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ PRES,14,10,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ MOD would,14,3,1,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
PAST ~ TO INF,13,1,2,3,1,0,1,0,3,0,0,1,0,0,0,0,0,1,0
MOD may ~ MOD must,12,6,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD can,12,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD should,12,2,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PAST,12,3,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
MOD let ~ PAST,12,1,1,7,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD should,11,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD should,11,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PART,10,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PERF,10,1,0,4,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0
MOD is to ~ MOD let,10,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ TO INF,9,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to ~ PAST,9,1,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
MOD can ~ MOD should,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD could,8,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART ~ TO INF,7,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ TO INF,7,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD might,7,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD would,7,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD let,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ MOD was to,7,2,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
MOD may ~ PRES PART,7,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD must,7,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PAST,7,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might ~ MOD would,7,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT going-to,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PERF,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD may,6,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PROG,6,0,0,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0
MOD let ~ PRES PART,6,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD might,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ PAST,6,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MOD shall ~ MOD would,6,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ TO INF,6,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MOD might ~ TO INF,6,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD can ~ PRES PART,6,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD shall,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD must,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ TO INF,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD may,5,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD might ~ PAST,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD would,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might ~ MOD should,5,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PROG,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD is to,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ PAST,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD lest,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD is to,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ PRES,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?VB ~ PAST,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ PRES PERF,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF ~ PRES,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD should ~ PAST,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD must,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES PERF,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD might,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PERF,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT PROG ~ PRES,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PERF,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD need not ~ MOD shall,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PART,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD should,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD that be,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD might,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PAST,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD would,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ TO INF,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD quest must,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD should,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD need not ~ PRES,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES PERF,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD let,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD shall,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD must,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD that be,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ TO INF,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES do,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD should,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES PART,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES shall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT PROG ~ MOD shall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD that be ~ TO INF,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to ~ PRES,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST PERF,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD is to,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD lest,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST PROG,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD ~ MOD let,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD was to,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD may,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD ~ PRES,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT PERF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT PROG,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES PART,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FUT PERF ~ PRES,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PROG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES can,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ PRES PROG,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES shall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ MOD would,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD would,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PROG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD lest,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ PRES PERF,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ PAST PERF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES shall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD shall,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD that be,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD might,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD that,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ VB,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD lest,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD should,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ TO INF,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD shall,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PRES,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD can,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJ ~ PRES,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PERF,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might ~ PRES PERF,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PART,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PROG,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD need not,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD should,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ TO INF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD quest must ~ MOD shall,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV not ~ MOD must,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PRES PERF,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD must,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
