genre,prophetic,prose,instruction,poetry,instruction,prophetic,poetry,prose,prophetic,instruction,list,poetry,prose,list,list,list,prophetic,prose
domain2,Q,Q,Q,Q,D,D,?,D,?,?,Q,D,N,D,?,N,N,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,
FUT ~ PRES PERF,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD would,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD might,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might ~ MOD would,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PROG,0,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0
MOD may ~ PRES PART,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MOD can ~ TO INF,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD must,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ TO INF,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MOD lest ~ TO INF,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PART,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might ~ MOD should,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD might ~ TO INF,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD can ~ PRES PART,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT going-to,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD may,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD might ~ PAST,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD is to,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ TO INF,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PAST,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ PAST,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD lest,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ PRES,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD might,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
?VB ~ PAST,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PAST,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF ~ PRES,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD may,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PERF,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PART,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD might,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PERF,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD let,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD must,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD should,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD that be,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD would,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PROG,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT PROG ~ PRES,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD is to,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD might,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD should,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD must,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES PERF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD should,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES PERF,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD need not ~ MOD shall,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PAST,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD need not ~ PRES,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD shall,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES do,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ PAST,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ TO INF,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD should,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ TO INF,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ TO INF,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PRES,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FUT PERF ~ PRES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT PROG ~ MOD shall,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD is to,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ MOD would,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES PART,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES shall,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD lest,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD that be ~ TO INF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to ~ PRES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST PERF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST PROG,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT PROG,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES can,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD ~ PRES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ PRES PROG,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PROG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES PART,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD must,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PRES PERF,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD should,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD let,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PROG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD should,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD that be,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD lest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ PRES PERF,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ PAST PERF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD should,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD shall,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD that be,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ PRES PART,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ PRES PERF,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD would,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD quest must ~ MOD shall,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD lest,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ TO INF,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD shall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might ~ PRES PERF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD can,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJ ~ PRES,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD quest must,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PERF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES shall,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PROG,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES shall,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD need not,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ TO INF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PART,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
