,prophetic,prose,instruction,poetry,instruction,prophetic,poetry,prose,prophetic,instruction,list,poetry,prose,list,list,list,prophetic,prose
,Q,Q,Q,Q,D,D,?,D,?,?,Q,D,N,D,?,N,N,?
FUT ~ MOD shall,5.02,0.92,0.22,0.42,0.14,2.38,0.08,0.04,4.79,0.59,1.27,0.0,0.0,0.0,0.0,0.0,inf,0.0
IMPV ~ MOD shall,0.13,0.86,8.48,0.0,6.13,0.0,0.0,0.0,0.21,0.0,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,1.04,0.6,0.18,3.07,0.0,1.69,10.84,0.0,0.81,0.0,0.0,8.32,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,0.18,0.54,9.5,0.01,4.56,0.24,0.0,0.0,0.0,7.36,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,0.27,0.59,8.72,0.0,1.55,0.0,0.0,0.0,0.0,6.01,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,0.8,0.8,1.91,0.76,1.67,0.0,0.0,0.0,0.0,6.1,2.89,0.0,0.0,18.75,0.0,0.0,0.0,0.0
FUT ~ MOD may,0.72,1.59,0.61,1.53,0.72,0.63,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,0.6,2.91,0.19,1.42,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,1.12,0.2,0.04,3.92,0.87,1.57,2.62,4.35,2.18,0.0,1.89,12.89,6.39,25.58,0.0,0.0,0.0,0.0
MOD let ~ MOD may,0.13,0.83,0.04,11.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,0.93,0.56,0.49,2.6,0.5,0.89,4.19,0.0,1.23,0.0,0.0,14.99,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,0.67,0.83,0.8,2.46,1.7,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD lest,0.42,2.26,1.12,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,0.76,0.96,0.06,3.52,0.0,0.0,5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD can,1.29,1.03,0.07,2.04,0.0,2.78,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,0.5,1.46,0.54,1.55,2.46,0.0,4.84,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD shall,0.25,1.01,2.25,1.29,0.83,0.0,3.35,0.0,0.0,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,1.08,0.66,0.16,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,0.29,4.77,0.47,0.6,0.0,0.0,1.88,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,0.4,0.48,2.6,1.62,0.0,1.94,4.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,0.66,1.94,0.2,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,0.99,1.67,0.2,1.49,0.0,0.0,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,0.82,1.32,0.0,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,0.94,3.67,0.64,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,0.71,0.17,0.27,9.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,0.26,9.95,0.42,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,1.91,2.49,0.14,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD may,0.09,4.6,0.47,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,0.69,2.48,0.0,1.7,0.0,0.0,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,0.19,0.0,0.31,0.51,0.0,18.98,0.0,194.02,0.0,0.0,0.0,0.0,0.0,0.0,203.93,0.0,0.0,0.0
MOD would ~ PRES,0.12,0.73,0.0,8.44,0.0,0.0,0.0,0.0,0.0,9.24,0.0,28.83,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ IMPV,1.15,1.16,0.0,2.38,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,0.99,0.59,0.0,3.1,0.0,0.0,9.43,0.0,0.0,0.0,0.0,30.21,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,0.82,1.32,0.0,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PART,0.28,0.13,0.21,2.23,0.0,21.12,0.0,27.8,5.91,0.0,0.0,0.0,0.0,142.93,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,1.76,0.29,3.49,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,0.49,1.54,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.59,0.0,317.78,0.0,0.0,0.0
MOD must ~ PRES,0.33,1.02,1.21,2.23,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,1.85,1.1,0.0,0.59,0.0,5.36,0.0,0.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ TO INF,0.16,6.38,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD may,0.17,0.61,2.55,1.48,3.19,5.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,0.38,2.06,0.6,0.63,11.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST,2.31,1.32,0.0,0.68,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD shall,1.76,0.66,0.3,0.0,24.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD would,0.2,0.72,0.0,4.47,3.69,6.6,0.0,0.0,0.0,0.0,0.0,0.0,54.98,0.0,0.0,0.0,0.0,0.0
MOD lest ~ PRES,0.2,6.64,0.33,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD must,0.44,9.74,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PAST,2.64,1.47,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ TO INF,0.48,0.22,0.35,1.33,0.0,7.15,0.0,34.76,0.0,0.0,17.59,0.0,0.0,0.0,0.0,inf,0.0,0.0
FUT ~ MOD should,1.32,0.53,0.38,2.23,0.0,0.0,8.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
