clause_rela,Main,Main,SubAdv,Main,SubMod,Main,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
cltype_simp,x,Wx,x,Ø,x,W,Wx,x,Ø,Ø,W,Ø,Wx
eng_TAMsimp,,,,,,,,,,,,,
PRES,2.67,6.36,3.76,7.3,8.28,28.92,13.79,49.25,82.22,67.28,220.92,886.67,inf
FUT,1.62,3.01,8.34,5.64,37.81,19.46,79.39,56.72,280.38,1124.5,1124.5,1124.5,2250.0
FUT ~ MOD shall,1.52,1.89,13.51,8.7,52.97,22.99,122.36,89.89,245.71,1726.0,1726.0,inf,inf
IMPV ~ MOD shall,0.67,2.0,62.0,20.0,167.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST,2.96,3.56,10.17,3.03,14.96,14.96,30.93,148.0,110.75,73.5,inf,446.0,446.0
FUT ~ PRES,1.84,2.98,6.39,9.35,20.79,22.0,23.35,58.14,102.5,206.0,inf,413.0,inf
MOD must ~ MOD shall,0.83,2.56,32.8,6.86,337.0,168.0,inf,inf,168.0,inf,inf,inf,inf
MOD is to ~ MOD shall,1.07,2.59,31.67,8.48,11.78,97.0,inf,146.0,146.0,inf,inf,inf,inf
MOD can,1.34,3.2,5.9,32.62,10.21,268.0,32.62,37.43,268.0,133.5,inf,inf,inf
MOD shall,0.58,4.34,15.85,7.76,inf,inf,inf,inf,inf,218.0,inf,inf,inf
MOD may,2.69,4.7,1.85,36.6,25.86,13.46,19.89,61.67,187.0,inf,inf,inf,inf
IMPV,1.56,1.25,45.75,8.35,inf,25.71,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,1.47,3.62,15.44,7.22,6.4,48.33,73.0,147.0,147.0,147.0,inf,147.0,inf
MOD would,1.3,6.67,10.5,6.67,56.5,15.43,56.5,9.45,56.5,114.0,inf,inf,inf
PAST ~ PRES,2.14,5.11,7.46,4.24,35.67,14.71,26.5,21.0,54.0,54.0,inf,inf,inf
FUT ~ MOD may,7.58,2.96,1.58,8.36,102.0,9.3,50.5,inf,inf,inf,inf,102.0,inf
PRES ~ PRES PART,1.59,6.38,7.0,12.71,8.6,31.0,12.71,95.0,95.0,23.0,95.0,inf,inf
PRES ~ PRES PERF,2.83,8.78,2.38,13.67,7.0,43.0,16.6,87.0,43.0,28.33,inf,inf,inf
MOD should,1.26,6.9,3.65,38.5,8.88,inf,38.5,25.33,inf,78.0,78.0,inf,inf
MOD can ~ PRES,1.29,4.92,4.46,34.5,9.14,inf,13.2,70.0,inf,inf,inf,inf,inf
FUT ~ MOD lest,70.0,2.23,0.48,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD can,1.06,2.05,8.14,inf,63.0,31.0,inf,63.0,inf,63.0,inf,inf,inf
PRES PERF,3.69,6.62,1.54,11.2,11.2,60.0,60.0,60.0,60.0,60.0,60.0,inf,inf
MOD may ~ MOD shall,1.3,1.94,25.5,7.83,52.0,25.5,inf,52.0,inf,inf,inf,inf,inf
PRES PART,2.06,2.27,8.8,6.0,23.5,48.0,48.0,48.0,inf,48.0,inf,inf,inf
IMPV ~ PRES,4.88,2.62,3.7,10.75,inf,inf,4.88,22.5,46.0,inf,46.0,inf,inf
TO INF,8.4,2.92,8.4,5.71,22.5,14.67,22.5,4.22,46.0,inf,inf,46.0,inf
MOD may ~ PRES,4.75,8.2,1.71,10.5,6.67,22.0,10.5,inf,inf,inf,inf,inf,inf
MOD can ~ MOD shall,0.57,3.4,13.67,inf,43.0,21.0,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,1.44,5.29,3.4,43.0,43.0,13.67,13.67,43.0,inf,inf,inf,inf,inf
PRES ~ TO INF,12.67,9.25,4.86,7.2,3.56,19.5,7.2,9.25,40.0,40.0,inf,inf,inf
FUT ~ MOD would,0.9,4.71,5.67,19.0,39.0,39.0,39.0,inf,39.0,inf,inf,inf,inf
MOD could,2.17,4.43,18.0,inf,2.17,inf,37.0,18.0,inf,inf,18.0,inf,inf
MOD shall ~ TO INF,1.64,2.7,17.5,17.5,17.5,11.33,36.0,11.33,inf,inf,inf,inf,inf
MOD must,1.0,4.14,6.2,11.0,35.0,17.0,inf,inf,inf,inf,inf,inf,inf
MOD let,3.38,1.69,10.67,4.83,inf,6.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD may,1.83,2.4,4.67,inf,10.33,16.0,33.0,inf,inf,inf,inf,inf,inf
PAST ~ PRES PERF,2.67,10.0,10.0,2.0,15.5,10.0,32.0,inf,32.0,inf,inf,inf,inf
MOD shall ~ MOD should,0.94,5.2,6.75,inf,14.5,inf,inf,6.75,inf,inf,inf,inf,inf
