clause_rela,Main,Main,Main,SubAdv,Main,SubMod,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
cltype_simp,x,Wx,Ø,x,W,x,Wx,x,Ø,Ø,W,Ø,Wx
eng_TAMsimp,,,,,,,,,,,,,
PRES,728,364,326,559,92,287,180,53,33,39,12,3,0
FUT,872,564,369,241,166,58,28,39,8,2,2,2,1
FUT ~ MOD shall,687,599,183,121,83,32,14,19,7,1,1,0,0
IMPV,372,185,27,4,12,0,0,1,0,0,0,0,0
IMPV ~ MOD shall,304,168,24,8,0,3,0,0,0,0,0,0,0
PAST,113,98,111,40,28,28,14,3,4,6,0,1,1
FUT ~ PRES,149,108,45,56,21,19,17,7,4,2,0,1,0
MOD let,54,33,184,6,88,0,2,0,0,0,0,0,0
MOD must ~ MOD shall,185,95,43,10,2,1,0,0,2,0,0,0,0
MOD may,70,41,31,66,98,7,9,3,1,0,0,0,0
MOD is to ~ MOD shall,142,82,31,9,3,23,0,2,2,0,0,0,0
MOD can,116,64,8,39,1,24,8,7,1,2,0,0,0
MOD shall,139,41,25,13,1,0,0,0,0,1,0,0,0
MOD shall ~ PRES,61,33,18,9,3,20,2,1,1,1,0,1,0
FUT ~ MOD may,12,27,16,40,35,1,2,0,0,0,0,1,0
MOD would,51,16,17,10,8,2,2,11,2,1,0,0,0
IMPV ~ MOD let,28,20,40,1,21,0,1,0,0,0,0,1,0
PAST ~ PRES,35,18,21,13,8,3,4,5,2,2,0,0,0
MOD let ~ MOD may,17,10,56,0,21,0,0,0,0,0,0,0,0
PRES ~ PRES PART,37,13,7,12,3,10,7,1,1,4,1,0,0
PRES ~ PRES PERF,23,9,6,26,2,11,5,1,2,3,0,0,0
MOD should,35,10,3,17,3,8,2,3,0,1,1,0,0
FUT ~ MOD lest,1,23,0,48,0,0,0,0,0,0,0,0,0
MOD can ~ PRES,31,12,2,13,0,7,5,1,0,0,0,0,0
TO INF,7,13,7,5,22,2,2,9,1,0,0,3,0
FUT ~ MOD can,31,21,0,7,2,1,0,1,0,1,0,0,0
MOD may ~ PRES,13,6,9,17,7,6,4,0,0,0,0,0,0
PRES PERF,13,8,5,24,1,5,1,1,1,1,1,0,0
MOD may ~ MOD shall,24,19,7,2,4,1,0,1,0,0,0,0,0
IMPV ~ PRES,10,15,8,10,0,0,8,2,1,0,1,0,0
