,Main,Main,Main,SubAdv,Main,SubMod,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
,x,Wx,Ø,x,W,x,Wx,x,Ø,Ø,W,Ø,Wx
MOD shall ~ PRES PART,1.82,0.87,0.74,0.0,0.75,1.05,1.93,3.08,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,0.21,0.0,0.0,3.39,0.8,2.36,4.32,27.6,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,0.91,1.33,0.0,1.47,0.0,2.51,0.0,7.34,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,0.99,0.74,2.04,1.57,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ TO INF,0.0,0.22,1.42,0.0,47.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD may,0.0,1.16,0.0,16.23,0.0,0.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,0.61,0.5,0.95,2.45,0.0,2.87,2.44,3.9,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD shall,1.21,0.53,4.43,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST,0.91,3.04,0.47,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD must,3.28,0.58,1.11,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ PRES,0.0,0.95,0.0,18.44,0.0,0.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PAST,1.37,1.39,0.51,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD would,1.01,0.27,1.11,0.0,1.1,1.54,10.04,0.0,0.0,0.0,47.13,0.0,0.0
PAST ~ TO INF,0.81,0.63,1.21,0.61,1.19,1.67,0.0,10.68,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD should,1.82,1.16,0.0,0.67,0.0,1.82,0.0,5.32,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST,1.82,1.16,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might,0.68,0.0,0.0,6.13,0.0,0.0,3.66,0.0,0.0,18.4,0.0,103.78,0.0
MOD may ~ MOD must,1.52,1.98,0.66,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD can,0.4,15.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to,1.82,0.0,0.0,0.81,0.0,5.02,0.0,14.69,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,0.78,1.49,0.74,0.81,0.0,0.0,0.0,14.69,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD must,0.23,2.78,3.32,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PAST,2.28,0.0,0.0,0.92,1.79,5.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD let,2.28,0.99,0.83,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD should,0.61,0.0,0.0,12.26,0.0,0.0,0.0,8.36,0.0,0.0,0.0,0.0,0.0
MOD let ~ PAST,0.26,0.5,11.08,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD should,5.46,0.0,0.95,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD could,0.0,1.16,0.0,2.45,0.0,6.69,5.23,0.0,24.92,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.73,4.63,0.0,0.0,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD would,1.37,0.58,1.11,1.22,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD should,2.43,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,1.37,2.6,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest,0.0,0.0,0.0,18.38,5.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,0.3,0.0,1.11,1.22,0.0,15.08,0.0,9.75,0.0,0.0,0.0,0.0,0.0
PAST PERF,0.0,2.6,1.11,0.0,0.0,8.03,6.1,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PART,1.37,4.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ MOD would,0.3,1.39,0.0,2.94,2.39,0.0,0.0,0.0,0.0,0.0,102.17,0.0,0.0
IMPV ~ TO INF,0.73,8.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT going-to,3.64,0.0,0.0,1.47,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ TO INF,0.0,3.47,1.33,0.0,0.0,10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD might,0.91,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,0.91,3.47,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,0.36,0.0,3.32,7.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ TO INF,1.82,1.74,0.0,0.0,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD may,0.91,0.69,0.0,1.47,0.0,10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,0.0,1.74,0.0,1.47,7.18,0.0,7.33,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD might,0.36,0.69,1.33,1.47,2.87,0.0,7.33,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD shall,3.64,0.0,0.0,1.47,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD would,3.64,0.69,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ MOD let,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,0.91,3.47,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES PART,0.45,5.21,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD may,0.0,2.31,1.66,4.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD must,0.45,0.0,1.66,0.0,0.0,13.38,0.0,14.63,0.0,0.0,0.0,0.0,0.0
MOD might ~ TO INF,0.45,0.0,0.0,4.89,3.58,0.0,9.16,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD let,1.21,2.31,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ TO INF,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ TO INF,0.45,0.87,0.0,0.0,0.0,5.01,0.0,39.19,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,1.21,5.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PAST,0.0,0.0,1.66,1.83,21.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to,0.45,5.21,0.0,0.0,0.0,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ MOD should,1.21,0.87,1.66,0.0,0.0,0.0,0.0,14.63,0.0,0.0,0.0,0.0,0.0
MOD should ~ PAST,0.61,0.0,0.0,22.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ PRES,0.0,0.0,0.0,22.04,0.0,0.0,12.21,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PROG,0.61,0.0,2.21,2.44,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD lest,0.0,3.47,0.0,7.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to,0.61,3.47,0.0,0.0,0.0,0.0,0.0,19.51,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES,0.61,0.0,2.21,0.0,4.78,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PAST,1.82,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD is to,0.61,0.0,0.0,0.0,0.0,6.68,0.0,58.78,0.0,0.0,0.0,0.0,0.0
?VB ~ PAST,1.82,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,0.0,1.16,0.0,0.0,43.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD should,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,0.0,1.73,0.0,0.0,0.0,10.02,0.0,0.0,0.0,0.0,0.0,0.0,3377.5
MOD shall ~ PRES PERF,0.91,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD might,0.0,1.73,0.0,0.0,0.0,0.0,0.0,117.58,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD must,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES,0.0,1.73,0.0,14.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD would,0.0,1.73,0.0,3.67,0.0,0.0,18.32,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD that be,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not ~ MOD shall,0.91,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PERF,0.0,0.0,3.32,3.67,0.0,10.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,0.91,0.0,0.0,0.0,7.17,10.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD might,0.91,0.0,0.0,3.67,0.0,0.0,18.32,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,3.64,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,0.0,0.0,13.28,0.0,0.0,10.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PERF,0.0,0.0,13.28,0.0,0.0,0.0,18.32,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD would,0.0,1.73,13.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD is to,3.64,0.0,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PART,0.91,0.0,0.0,3.67,0.0,0.0,0.0,0.0,87.24,0.0,0.0,0.0,0.0
?VB ~ MOD must,1.82,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ MOD shall,1.82,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??VB ~ MOD let,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD should,0.0,3.47,0.0,0.0,14.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES,0.0,0.0,0.0,0.0,14.34,20.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD must,0.0,0.0,6.63,0.0,0.0,20.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PERF,0.0,0.0,0.0,0.0,14.34,0.0,0.0,58.53,0.0,0.0,0.0,0.0,0.0
MOD that be,0.0,3.47,0.0,0.0,14.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD that be,1.82,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES,0.0,0.0,0.0,7.34,0.0,0.0,36.64,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD should,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD shall,0.0,3.47,0.0,7.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ TO INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.53,0.0,184.11,0.0,0.0,0.0
MOD need not ~ PRES,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.11,0.0,0.0,0.0
MOD could ~ TO INF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG,0.0,3.47,0.0,0.0,0.0,20.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES do,0.0,3.47,0.0,0.0,0.0,0.0,36.64,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest must,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest must ~ MOD shall,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES shall,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PART,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ IMPV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ MOD lest,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD that be ~ TO INF,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST PERF,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST PROG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
FUT PERF ~ PRES,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT PROG,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES can,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ TO INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
FUT going-to ~ MOD is to,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ MOD shall,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PROG,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD lest,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD lest,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES shall,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD let,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD shall,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ TO INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST PERF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD shall,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PRES PERF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD can,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ ~ PRES,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD lest,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD should,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PROG,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD need not,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD must,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PROG,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD might,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ VB,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PRES PERF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
HAB used to ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD should,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ MOD would,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD would,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PRES PERF,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES shall,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD quest must,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PART,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD that be,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
