clause_rela,Main,Main,Main,SubAdv,Main,SubMod,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
cltype_simp,x,Wx,Ø,x,W,x,Wx,x,Ø,Ø,W,Ø,Wx
eng_TAMsimp,,,,,,,,,,,,,
FUT ~ PRES PART,3.17,6.33,3.8,6.33,9.5,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PAST,3.4,2.43,5.67,inf,8.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD shall,2.43,5.67,2.83,inf,17.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD may,inf,4.0,inf,1.45,inf,inf,16.0,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,4.0,8.0,8.0,4.0,inf,8.0,16.0,16.0,inf,inf,inf,inf,inf
MOD let ~ MOD must,7.0,2.8,3.5,inf,4.67,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD must,1.56,7.0,7.0,14.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ PRES,inf,4.67,inf,1.4,inf,inf,14.0,inf,inf,inf,inf,inf,inf
MOD should ~ MOD would,2.8,14.0,7.0,inf,14.0,14.0,4.67,inf,inf,inf,14.0,inf,inf
MOD shall ~ PAST,2.33,3.5,14.0,4.67,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might,4.33,inf,inf,2.6,6.5,inf,13.0,inf,inf,13.0,inf,13.0,inf
PAST ~ TO INF,3.25,6.5,6.5,13.0,13.0,13.0,inf,6.5,inf,inf,inf,inf,inf
HAB used to ~ PAST,2.0,4.0,inf,inf,inf,4.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PAST,4.0,12.0,1.71,inf,12.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD must,2.4,3.0,12.0,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD should,2.0,4.0,inf,12.0,inf,12.0,inf,12.0,inf,inf,inf,inf,inf
IMPV ~ MOD can,6.0,1.33,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD should,1.57,inf,5.5,inf,5.5,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD should,2.2,1.83,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF,3.33,3.33,10.0,10.0,inf,inf,inf,5.0,inf,inf,inf,inf,inf
IMPV ~ PRES PART,2.5,1.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to,2.0,inf,inf,10.0,inf,5.0,inf,5.0,inf,inf,inf,inf,inf
MOD is to ~ MOD let,1.67,5.0,10.0,inf,10.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to ~ PAST,1.8,inf,inf,9.0,9.0,4.5,inf,inf,inf,inf,inf,inf,inf
IMPV ~ TO INF,4.5,1.29,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD could,inf,4.0,inf,4.0,inf,4.0,8.0,inf,8.0,inf,inf,inf,inf
MOD can ~ MOD should,4.0,inf,inf,1.6,inf,inf,inf,8.0,inf,inf,inf,inf,inf
MOD should ~ MOD was to,7.0,inf,7.0,7.0,inf,2.33,inf,7.0,inf,inf,inf,inf,inf
MOD can ~ MOD let,3.5,3.5,3.5,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,3.5,1.75,inf,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ TO INF,2.33,3.5,inf,inf,3.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PART,inf,3.5,inf,7.0,2.33,inf,7.0,inf,inf,inf,inf,inf,inf
MOD might ~ MOD would,7.0,3.5,inf,3.5,7.0,inf,inf,inf,inf,inf,7.0,inf,inf
MOD lest,inf,inf,inf,1.4,3.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD might,7.0,7.0,7.0,7.0,3.5,inf,7.0,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,inf,2.33,7.0,inf,7.0,3.5,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,2.33,2.33,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD would,2.33,7.0,7.0,7.0,inf,inf,7.0,inf,inf,inf,inf,inf,inf
PAST PERF,inf,2.33,7.0,inf,inf,3.5,7.0,inf,inf,inf,inf,inf,inf
MOD would ~ TO INF,6.0,6.0,6.0,inf,inf,6.0,inf,3.0,inf,inf,inf,inf,inf
MOD lest ~ MOD might,3.0,inf,inf,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES PART,6.0,2.0,6.0,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST,3.0,2.0,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD may,3.0,6.0,inf,6.0,inf,3.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,6.0,inf,3.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD would,1.5,6.0,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD shall,1.5,inf,inf,6.0,6.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT going-to,1.5,inf,inf,6.0,6.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ TO INF,6.0,inf,inf,3.0,6.0,inf,6.0,inf,inf,6.0,inf,inf,inf
PAST ~ PAST PROG,3.0,2.0,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PAST,inf,inf,5.0,5.0,1.67,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ MOD should,2.5,5.0,5.0,inf,inf,inf,inf,5.0,inf,inf,inf,inf,inf
MOD let ~ MOD would,inf,5.0,1.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to,5.0,1.67,inf,inf,inf,5.0,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ TO INF,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD may,inf,2.5,5.0,2.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD must,5.0,inf,5.0,inf,inf,2.5,inf,5.0,inf,inf,inf,inf,inf
FUT ~ PRES PROG,4.0,inf,4.0,4.0,4.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES,4.0,inf,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PAST,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to,4.0,2.0,inf,inf,inf,inf,inf,4.0,inf,inf,inf,inf,inf
IMPV ~ MOD is to,1.33,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ PRES,inf,inf,inf,1.33,inf,inf,4.0,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,inf,4.0,inf,inf,1.33,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD is to,4.0,inf,inf,inf,inf,4.0,inf,2.0,inf,inf,inf,inf,inf
IMPV ~ MOD lest,inf,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ PAST,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PERF,inf,inf,1.33,inf,inf,inf,4.0,inf,inf,inf,inf,inf,inf
MOD should ~ PAST,4.0,inf,inf,1.33,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES PART,3.0,inf,inf,3.0,inf,inf,inf,inf,3.0,inf,inf,inf,inf
FUT PROG ~ PRES,inf,3.0,inf,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD that be,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PERF,inf,inf,3.0,3.0,inf,3.0,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PAST,3.0,inf,inf,inf,3.0,3.0,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES PERF,3.0,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD might,3.0,inf,inf,3.0,inf,inf,3.0,inf,inf,inf,inf,inf,inf
PAST PROG,inf,3.0,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf,3.0
MOD lest ~ MOD would,inf,3.0,inf,3.0,inf,inf,3.0,inf,inf,inf,inf,inf,inf
MOD can ~ MOD might,inf,3.0,inf,inf,inf,inf,inf,1.5,inf,inf,inf,inf,inf
MOD need not ~ MOD shall,3.0,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD should,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PART,inf,inf,1.5,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD must,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES PERF,inf,inf,inf,inf,2.0,inf,inf,2.0,inf,inf,inf,inf,inf
MOD let ~ MOD that be,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD need not ~ PRES,2.0,inf,inf,inf,inf,inf,inf,inf,inf,2.0,inf,inf,inf
PAST PROG ~ PRES,inf,inf,inf,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf
PRES ~ PRES do,inf,2.0,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf
MOD must ~ MOD should,inf,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD that be,inf,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD quest must,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES,inf,inf,inf,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf
PRES PROG,inf,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD let,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD should,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ TO INF,inf,inf,inf,inf,inf,inf,inf,2.0,inf,2.0,inf,inf,inf
MOD can ~ MOD must,inf,inf,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
MOD could ~ TO INF,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD shall,inf,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD was to,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest must,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ PRES PROG,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest must ~ MOD shall,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PRES PERF,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PROG,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ TO INF,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf
MOD must ~ PRES PART,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD lest,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES shall,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
FUT PERF,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PERF ~ PRES,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ MOD shall,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD lest,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD is to,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
FUT going-to ~ MOD may,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES can,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES shall,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT PERF,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT PROG,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PROG,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST PERF,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
FUT ~ MOD,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PRES PERF,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES shall,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD would,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST PROG,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD lest ~ MOD must,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST PERF,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD that be,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD lest,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD ~ MOD let,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ TO INF,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD that be ~ TO INF,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD shall,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD can,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JJ ~ PRES,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD might,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PERF,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES PART,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD that,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD need not,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD shall,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD should,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ VB,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PROG,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV not ~ MOD must,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PRES PERF,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf
HAB used to ~ MOD would,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD may ~ MOD should,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD was to ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
