,xQt0,xQtX,WXQt,XQtl,ZQt0,WxQ0,ZQtX,WxQX,CPen,Voct
PAST..IND,-2.72,-11.31,53.81,-4.19,-12.45,24.27,-16.87,24.66,-0.18,-0.29
PRES.PERF.IND,28.77,-23.55,-26.63,5.62,8.59,-4.33,1.04,-8.74,3.24,0.37
PRES..IND,-34.52,34.96,-10.93,2.73,12.52,-19.98,31.85,-12.68,-2.11,0.42
PAST.PERF.IND,8.05,27.93,-1.09,-7.79,-21.72,-4.3,-16.15,-3.09,0.0,0.0
FUT..IND,0.43,-3.8,-0.5,0.98,1.5,0.08,0.1,0.3,0.0,0.0
PAST..SUBJ,-0.1,-2.57,-1.06,-0.68,-0.18,7.12,-0.58,3.71,0.0,0.0
PRES..MOD,-1.68,-2.61,-0.44,0.31,-1.23,7.34,0.0,4.95,0.0,0.0
PRES..,2.15,-2.09,-0.12,-1.16,0.28,1.32,-0.38,0.0,0.0,0.0
PRES.PROG.IND,0.21,-0.4,-0.61,1.01,-0.4,0.18,1.17,0.0,0.0,0.0
PAST.PROG.IND,-1.13,0.13,3.04,0.42,-0.21,0.0,0.0,0.0,0.0,0.0
..,0.0,-0.23,0.0,0.0,2.18,0.0,0.62,0.0,0.0,0.0
past.PERF_PROG.IND,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
