,0.0,1.0
PRES,2.28,0.44
PAST,0.76,1.32
PRES PART,0.81,1.23
PRES PROG,1.44,0.7
PRES ~ PRES PART,0.64,1.57
FUT,0.8,1.25
PRES ~ PRES PROG,0.56,1.79
PAST PROG,0.28,3.62
PAST ~ PAST PROG,1.23,0.81
PAST ~ PRES PART,0.42,2.36
PAST ~ PRES,1.16,0.86
FUT ~ PRES,inf,0.0
PRES ~ PRES PERF,1.85,0.54
FUT ~ MOD shall,0.58,1.72
PRES PERF,1.57,0.64
PAST PERF,0.49,2.04
TO INF,1.57,0.64
PAST PROG ~ PRES PART,0.21,4.8
FUT ~ FUT going-to,inf,0.0
PAST ~ PRES PERF,inf,0.0
FUT ~ PRES PROG,inf,0.0
PRES PART ~ PRES PROG,inf,0.0
PAST ~ PAST PERF,0.98,1.02
PAST ~ TO INF,0.08,11.98
FUT ~ TO INF,inf,0.0
MOD may ~ PRES,0.43,2.33
FUT going-to ~ PRES,inf,0.0
FUT going-to ~ PRES PROG,inf,0.0
MOD could ~ PAST,inf,0.0
FUT ~ PRES PART,inf,0.0
PRES ~ TO INF,inf,0.0
MOD is to ~ PRES,inf,0.0
PRES PART ~ TO INF,inf,0.0
IMPV ~ PRES,inf,0.0
MOD can ~ PRES,inf,0.0
PRES PERF ~ PRES PROG,inf,0.0
MOD could,0.19,5.14
MOD should,0.06,17.25
IMPV,inf,0.0
MOD shall ~ PRES,inf,0.0
MOD can,inf,0.0
MOD would,inf,0.0
MOD would ~ PAST,inf,0.0
PAST ~ PAST PERF PROG,inf,0.0
IMPV ~ MOD may,inf,0.0
PAST ~ PRES PROG,inf,0.0
PAST PROG ~ PRES,0.12,8.57
FUT going-to ~ MOD shall,inf,0.0
MOD is to ~ MOD shall,0.12,8.57
PAST PERF ~ PAST PROG,inf,0.0
MOD would ~ PRES,inf,0.0
FUT ~ MOD must,0.12,8.57
MOD shall ~ TO INF,inf,0.0
FUT ~ MOD is to,inf,0.0
MOD let ~ PRES,inf,0.0
MOD was to ~ PAST,inf,0.0
PRES PART ~ PRES PERF,inf,0.0
MOD is to ~ PRES PART,inf,0.0
PRES PERF PROG ~ PRES PROG,inf,0.0
MOD is to,inf,0.0
MOD may,inf,0.0
MOD can ~ MOD shall,inf,0.0
MOD can ~ TO INF,inf,0.0
PAST PERF ~ PAST PERF PROG,inf,0.0
PRES ~ PRES PROG keep,inf,0.0
FUT PROG ~ PRES PART,inf,0.0
PRES ~ PRES PERF PROG,inf,0.0
PAST PERF ~ PRES PART,inf,0.0
PAST PERF ~ PRES,inf,0.0
FUT ~ MOD may,inf,0.0
PRES PERF PROG,inf,0.0
MOD was to ~ TO INF,inf,0.0
FUT ~ PAST PROG,inf,0.0
MOD should ~ TO INF,inf,0.0
MOD must ~ MOD shall,inf,0.0
MOD can ~ PRES PART,inf,0.0
MOD was to ~ PAST PROG,inf,0.0
MOD must ~ PRES,inf,0.0
MOD may ~ TO INF,inf,0.0
MOD may ~ PAST,inf,0.0
MOD let,inf,0.0
MOD is to ~ TO INF,inf,0.0
MOD should ~ MOD would,inf,0.0
PRES PROG ~ PRES PROG keep,inf,0.0
PRES PROG ~ TO INF,inf,0.0
MOD could ~ PRES PART,inf,0.0
MOD might,inf,0.0
MOD is to ~ MOD would,inf,0.0
MOD can ~ MOD may,inf,0.0
FUT going-to ~ PRES PART,inf,0.0
FUT PROG ~ PRES PROG,0.0,inf
IMPV ~ PRES PROG,inf,0.0
PRES PART ~ PRES PERF PROG,inf,0.0
MOD may ~ PRES PART,inf,0.0
IMPV ~ PAST,inf,0.0
FUT ~ FUT PROG,inf,0.0
HAB used to ~ PAST,inf,0.0
FUT ~ VB,inf,0.0
PAST ~ VB,inf,0.0
MOD was to ~ PRES PART,inf,0.0
MOD must,inf,0.0
MOD should ~ PRES,inf,0.0
MOD was to,inf,0.0
MOD that VB ~ PRES PART,inf,0.0
FUT ~ PAST,inf,0.0
MOD would ~ PRES PERF,inf,0.0
MOD would ~ PRES PROG,inf,0.0
FUT ~ MOD would,inf,0.0
MOD should ~ PRES PERF,inf,0.0
PAST PERF PROG ~ PAST PROG,inf,0.0
MOD should ~ PAST,inf,0.0
FUT ~ MOD can,inf,0.0
MOD should ~ MOD was to,inf,0.0
MOD shall ~ PRES PERF,inf,0.0
FUT PROG ~ MOD is to,inf,0.0
MOD shall ~ PAST,inf,0.0
PAST PROG ~ TO INF,inf,0.0
MOD shall,inf,0.0
MOD need not ~ TO INF,inf,0.0
MOD must ~ PRES PROG,inf,0.0
MOD shall ~ PRES PART,inf,0.0
