,0,1
PRES,1.8,0.56
FUT,0.57,1.77
FUT ~ MOD shall,0.65,1.54
IMPV,2.87,0.35
MOD let,1.54,0.65
IMPV ~ MOD shall,0.59,1.69
PAST,0.88,1.14
FUT ~ PRES,1.7,0.59
MOD may,1.04,0.97
MOD must ~ MOD shall,0.82,1.21
MOD is to ~ MOD shall,0.39,2.57
MOD can,4.25,0.24
MOD shall,0.63,1.6
FUT ~ MOD may,1.23,0.81
MOD shall ~ PRES,1.54,0.65
IMPV ~ MOD let,2.15,0.47
MOD would,4.27,0.23
MOD let ~ MOD may,4.11,0.24
PAST ~ PRES,1.37,0.73
PRES ~ PRES PART,1.46,0.68
PRES ~ PRES PERF,1.78,0.56
MOD should,0.99,1.01
TO INF,2.42,0.41
FUT ~ MOD lest,inf,0.0
MOD can ~ PRES,inf,0.0
MOD can ~ MOD may,0.8,1.25
MOD may ~ PRES,2.08,0.48
FUT ~ MOD can,2.04,0.49
PRES PERF,3.78,0.26
IMPV ~ PRES,1.79,0.56
MOD may ~ MOD shall,0.85,1.18
PRES PART,inf,0.0
MOD can ~ MOD shall,2.83,0.35
FUT ~ MOD would,0.66,1.52
MOD may ~ TO INF,inf,0.0
MOD should ~ PRES,1.35,0.74
PRES ~ TO INF,1.35,0.74
MOD could,inf,0.0
MOD must,0.35,2.82
MOD shall ~ TO INF,2.33,0.43
PAST ~ PRES PERF,inf,0.0
IMPV ~ MOD may,1.0,1.0
FUT ~ MOD let,inf,0.0
FUT ~ TO INF,0.91,1.1
MOD shall ~ MOD should,1.88,0.53
MOD let ~ PRES,1.76,0.57
MOD would ~ PAST,inf,0.0
FUT ~ IMPV,1.44,0.69
MOD would ~ PRES,inf,0.0
MOD let ~ TO INF,1.32,0.76
PAST ~ PRES PART,inf,0.0
MOD shall ~ PRES PART,0.6,1.68
MOD must ~ PRES,inf,0.0
MOD should ~ TO INF,inf,0.0
FUT ~ PRES PART,inf,0.0
FUT ~ PAST,inf,0.0
MOD let ~ MOD shall,0.29,3.42
MOD lest ~ MOD may,inf,0.0
PRES ~ PRES PROG,inf,0.0
MOD let ~ MOD must,inf,0.0
IMPV ~ MOD must,0.38,2.66
MOD lest ~ PRES,inf,0.0
MOD should ~ MOD would,0.38,2.66
MOD shall ~ PAST,inf,0.0
MOD might,0.34,2.9
PAST ~ TO INF,0.21,4.79
HAB used to ~ PAST,0.31,3.19
MOD let ~ PAST,0.31,3.19
MOD may ~ MOD must,inf,0.0
FUT ~ MOD should,0.69,1.45
IMPV ~ MOD can,inf,0.0
MOD let ~ MOD should,inf,0.0
IMPV ~ MOD should,0.05,19.25
PAST ~ PAST PERF,0.56,1.77
IMPV ~ PRES PART,inf,0.0
MOD is to,0.25,3.99
MOD is to ~ MOD let,0.25,3.99
MOD was to ~ PAST,inf,0.0
IMPV ~ TO INF,0.5,1.99
MOD can ~ MOD could,inf,0.0
MOD can ~ MOD should,0.44,2.28
MOD should ~ MOD was to,0.16,6.39
MOD can ~ MOD let,inf,0.0
IMPV ~ PAST,inf,0.0
MOD can ~ TO INF,inf,0.0
MOD may ~ PRES PART,inf,0.0
MOD might ~ MOD would,0.38,2.66
MOD lest,inf,0.0
MOD could ~ MOD might,0.38,2.66
PRES PART ~ TO INF,inf,0.0
FUT ~ MOD must,inf,0.0
MOD could ~ MOD would,inf,0.0
PAST PERF,0.38,2.66
MOD would ~ TO INF,inf,0.0
MOD lest ~ MOD might,inf,0.0
MOD can ~ PRES PART,inf,0.0
MOD could ~ PAST,inf,0.0
MOD is to ~ MOD may,inf,0.0
FUT ~ PRES PERF,0.13,7.98
MOD shall ~ MOD would,inf,0.0
MOD let ~ PRES PART,inf,0.0
FUT going-to ~ MOD shall,inf,0.0
FUT ~ FUT going-to,0.13,7.98
MOD might ~ TO INF,inf,0.0
PAST ~ PAST PROG,inf,0.0
MOD might ~ PAST,inf,0.0
MOD might ~ MOD should,inf,0.0
MOD let ~ MOD would,inf,0.0
MOD was to,0.25,3.99
MOD lest ~ TO INF,inf,0.0
MOD VB ~ MOD may,inf,0.0
MOD is to ~ MOD must,0.25,3.99
FUT ~ PRES PROG,inf,0.0
PAST PERF ~ PRES,0.19,5.32
MOD can ~ PAST,inf,0.0
HAB used to,0.19,5.32
IMPV ~ MOD is to,inf,0.0
MOD VB ~ PRES,inf,0.0
PRES PERF ~ TO INF,inf,0.0
FUT ~ MOD is to,0.19,5.32
IMPV ~ MOD lest,inf,0.0
?VB ~ PAST,inf,0.0
MOD let ~ PRES PERF,inf,0.0
MOD should ~ PAST,inf,0.0
MOD would ~ PRES PART,inf,0.0
FUT PROG ~ PRES,inf,0.0
FUT ~ MOD that be,inf,0.0
PRES PART ~ PRES PERF,inf,0.0
MOD may ~ PRES PERF,inf,0.0
MOD may ~ PAST,inf,0.0
MOD shall ~ PRES PERF,inf,0.0
MOD may ~ MOD might,inf,0.0
PAST PROG,inf,0.0
MOD lest ~ MOD would,inf,0.0
MOD can ~ MOD might,inf,0.0
MOD need not ~ MOD shall,inf,0.0
MOD could ~ MOD should,inf,0.0
MOD is to ~ PRES PART,inf,0.0
