,wayq,qtl,Ø,ptcp,yqtl,wqtl,infc,impv,cohoF,infa
PAST,5.23,0.25,0.38,0.26,0.1,0.35,0.34,0.84,0.24,0.12
PAST ~ PRES PART,1.18,0.88,0.54,1.25,0.0,2.82,1.54,0.0,0.0,63.33
PRES,0.07,3.89,2.87,13.09,31.95,1.38,3.19,0.0,31.99,0.0
PRES PERF,0.08,8.51,5.17,0.44,3.7,1.48,3.42,0.0,0.0,0.0
PAST ~ PAST PERF,0.68,1.5,1.22,2.86,0.0,0.0,1.7,0.0,0.0,0.0
PAST ~ PRES PERF,0.07,9.09,3.04,1.41,4.87,10.29,8.43,0.0,0.0,0.0
PAST ~ PRES,0.18,3.8,2.85,3.7,6.22,0.0,3.33,19.54,0.0,0.0
PAST ~ TO INF,1.25,0.51,2.21,1.05,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF,0.57,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,0.06,7.8,2.54,5.8,13.58,6.15,0.0,0.0,0.0,0.0
PRES PART,0.52,2.21,1.04,3.21,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,0.77,1.34,0.0,3.21,0.0,10.85,0.0,0.0,0.0,0.0
FUT ~ PRES,0.1,8.32,0.0,0.0,14.14,16.96,0.0,0.0,0.0,0.0
MOD would,0.46,0.67,5.2,7.31,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,1.04,0.0,5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,0.23,3.16,2.88,0.0,0.0,0.0,33.86,0.0,0.0,0.0
FUT ~ PAST,0.57,1.23,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PAST,0.46,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,0.05,7.37,5.19,0.0,21.05,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,0.15,4.91,6.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,0.06,29.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,0.92,0.0,6.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,0.15,1.84,0.0,0.0,70.79,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,0.92,0.0,0.0,0.0,0.0,67.91,0.0,0.0,0.0,0.0
IMPV ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,0.92,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PERF,0.23,7.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,0.11,14.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ VB,0.46,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,0.46,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD shall,0.11,3.68,0.0,0.0,52.65,0.0,0.0,0.0,0.0,0.0
