eng_TAMsimp,wayq,qtl,Ø,ptcp,yqtl,wqtl,infc,impv,cohoF,infa
PAST,0.18,9.21,30.19,103.66,202.62,318.97,360.26,1598.86,2798.75,11198.0
PAST ~ PRES PART,0.2,8.33,48.0,64.33,inf,97.0,195.0,inf,inf,195.0
PRES,3.24,1.95,9.26,7.12,4.57,194.0,96.5,inf,96.5,inf
PRES PERF,2.79,0.92,5.28,181.0,29.33,181.0,90.0,inf,inf,inf
PAST ~ PAST PERF,0.34,4.93,21.25,28.67,inf,inf,177.0,inf,inf,inf
PAST ~ PRES PERF,3.3,0.84,8.67,57.0,22.2,28.0,37.67,inf,inf,inf
PAST ~ PRES,1.24,1.97,9.22,22.0,17.4,inf,91.0,91.0,inf,inf
PAST ~ TO INF,0.18,14.4,11.83,76.0,inf,inf,inf,inf,inf,inf
PAST PERF,0.4,2.5,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF,4.0,0.96,10.25,14.0,8.0,44.0,inf,inf,inf,inf
PRES PART,0.44,3.33,25.0,25.0,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,0.3,5.5,inf,25.0,inf,25.0,inf,inf,inf,inf
FUT ~ PRES,2.4,0.89,inf,inf,7.5,16.0,inf,inf,inf,inf
MOD would,0.5,11.0,5.0,11.0,inf,inf,inf,inf,inf,inf
MOD could ~ PAST,0.22,inf,4.5,inf,inf,inf,inf,inf,inf,inf
TO INF,1.0,2.33,9.0,inf,inf,inf,9.0,inf,inf,inf
FUT ~ PAST,0.4,6.0,6.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PAST,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,5.0,1.0,5.0,inf,5.0,inf,inf,inf,inf,inf
PRES ~ TO INF,1.5,1.5,4.0,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,4.0,0.25,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG,0.25,inf,4.0,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,1.5,4.0,inf,inf,1.5,inf,inf,inf,inf,inf
MOD would ~ PAST,0.25,inf,inf,inf,inf,4.0,inf,inf,inf,inf
IMPV ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,0.25,4.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES PERF,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,2.0,0.5,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ VB,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD shall,2.0,2.0,inf,inf,2.0,inf,inf,inf,inf,inf
FUT,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ PRES PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
PRES PERF PROG,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD would,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
IMPV ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PAST,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD might,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PRES PERF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PERF PROG,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
MOD should ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
??VB ~ PAST,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
