,wayq,qtl,Ø,ptcp,yqtl,wqtl,infc,impv,cohoF,infa
PAST,153.67,-80.33,-14.02,-11.35,-30.63,-2.48,-2.41,-0.22,-0.89,-0.69
PAST ~ PRES PART,0.34,-0.18,-0.59,0.28,-0.57,0.78,0.31,0.0,0.0,1.51
PRES,-68.98,15.19,3.92,16.83,34.93,0.28,0.86,0.0,2.46,0.0
PRES PERF,-58.59,39.77,10.56,-0.14,2.11,0.3,0.91,0.0,0.0,0.0
PAST ~ PAST PERF,-1.58,1.32,0.26,1.64,-0.38,0.0,0.35,0.0,0.0,0.0
PAST ~ PRES PERF,-41.45,27.77,2.91,0.18,2.31,3.04,2.17,0.0,0.0,0.0
PAST ~ PRES,-14.49,7.42,2.15,1.57,2.74,0.0,0.57,1.24,0.0,0.0
PAST ~ TO INF,0.25,-0.8,1.18,0.21,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF,-1.08,3.2,-0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,-18.14,9.8,1.07,1.75,4.2,0.81,0.0,0.0,0.0,0.0
PRES PART,-0.89,0.93,-0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,-0.21,0.26,-0.2,0.56,0.0,1.03,0.0,0.0,0.0,0.0
FUT ~ PRES,-5.37,4.31,0.0,0.0,1.96,1.21,0.0,0.0,0.0,0.0
MOD would,-0.59,0.0,1.15,0.86,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,-0.0,-0.42,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,-1.6,0.97,0.5,0.0,0.0,0.0,1.48,0.0,0.0,0.0
FUT ~ PAST,-0.21,0.23,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PAST,-0.5,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,-2.94,1.59,0.69,0.0,1.26,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,-1.32,0.95,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,-2.28,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,-1.32,0.33,0.0,0.0,3.06,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
