eng_TAMsimp,wayq,qtl,Ø,ptcp,yqtl,wqtl,infc,impv,cohoF,infa
PAST,0.85,0.1,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PART,0.84,0.11,0.02,0.02,0.0,0.01,0.01,0.0,0.0,0.01
PRES,0.24,0.34,0.1,0.12,0.18,0.01,0.01,0.0,0.01,0.0
PRES PERF,0.26,0.52,0.16,0.01,0.03,0.01,0.01,0.0,0.0,0.0
PAST ~ PAST PERF,0.75,0.17,0.04,0.03,0.0,0.0,0.01,0.0,0.0,0.0
PAST ~ PRES PERF,0.23,0.54,0.1,0.02,0.04,0.03,0.03,0.0,0.0,0.0
PAST ~ PRES,0.45,0.34,0.1,0.04,0.05,0.0,0.01,0.01,0.0,0.0
PAST ~ TO INF,0.84,0.06,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF,0.71,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,0.2,0.51,0.09,0.07,0.11,0.02,0.0,0.0,0.0,0.0
PRES PART,0.69,0.23,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,0.77,0.15,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0
FUT ~ PRES,0.29,0.53,0.0,0.0,0.12,0.06,0.0,0.0,0.0,0.0
MOD would,0.67,0.08,0.17,0.08,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,0.82,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,0.5,0.3,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0
FUT ~ PAST,0.71,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PAST,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,0.17,0.5,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
