eng_TAMsimp,N,Q,?
PAST,0.89,0.11,0.0
PAST ~ PRES PART,0.8,0.2,0.0
PRES,0.16,0.84,0.0
PAST ~ PAST PERF,0.95,0.05,0.0
PRES PERF,0.07,0.93,0.0
PAST ~ PRES PERF,0.06,0.94,0.0
PAST ~ PRES,0.34,0.66,0.0
PAST ~ TO INF,0.9,0.1,0.0
PAST PERF,0.96,0.04,0.0
PRES ~ PRES PERF,0.16,0.84,0.0
PAST ~ PAST PROG,1.0,0.0,0.0
PRES PART,0.58,0.42,0.0
FUT ~ PRES,0.33,0.67,0.0
MOD would,0.58,0.42,0.0
MOD could ~ PAST,0.91,0.09,0.0
TO INF,0.6,0.4,0.0
FUT ~ PAST,0.5,0.5,0.0
MOD let ~ PAST,0.67,0.33,0.0
PRES ~ PRES PART,0.17,0.83,0.0
PRES ~ TO INF,0.0,1.0,0.0
PRES PART ~ PRES PERF,0.0,1.0,0.0
PAST PROG,1.0,0.0,0.0
PRES ~ PRES PROG,0.0,1.0,0.0
MOD would ~ PAST,0.8,0.2,0.0
IMPV ~ PAST,1.0,0.0,0.0
FUT ~ PRES PERF,0.4,0.6,0.0
PAST PERF ~ PRES PERF,0.0,1.0,0.0
PAST PERF ~ PRES PART,0.67,0.33,0.0
PRES PERF ~ TO INF,0.0,1.0,0.0
PAST ~ VB,0.67,0.33,0.0
MOD let,0.67,0.33,0.0
FUT ~ MOD shall,0.0,1.0,0.0
FUT,0.0,1.0,0.0
PRES PERF ~ PRES PROG,0.0,1.0,0.0
MOD may ~ PAST,0.5,0.5,0.0
MOD can ~ PRES,1.0,0.0,0.0
PRES PERF PROG,0.0,1.0,0.0
MOD is to ~ PRES PERF,0.0,1.0,0.0
FUT ~ PRES PART,0.0,1.0,0.0
FUT ~ MOD would,0.0,1.0,0.0
PRES PART ~ TO INF,1.0,0.0,0.0
IMPV ~ PRES,0.0,1.0,0.0
IMPV ~ PRES PART,1.0,0.0,0.0
MOD can ~ PAST,0.0,1.0,0.0
MOD could ~ MOD might,0.0,1.0,0.0
MOD might ~ PRES PERF,0.0,1.0,0.0
PAST ~ PAST PERF PROG,1.0,0.0,0.0
MOD let ~ MOD may,0.0,1.0,0.0
MOD must ~ PAST,0.0,1.0,0.0
MOD let ~ PRES,1.0,0.0,0.0
PAST PROG ~ PRES PERF PROG,0.0,1.0,0.0
PAST PROG ~ PRES PERF,1.0,0.0,0.0
PAST PROG ~ PRES PART,1.0,0.0,0.0
MOD let ~ PRES PART,1.0,0.0,0.0
PAST PERF ~ TO INF,1.0,0.0,0.0
MOD may,0.0,1.0,0.0
MOD would ~ PRES,0.0,1.0,0.0
MOD may ~ PRES,0.0,1.0,0.0
MOD should ~ TO INF,0.0,1.0,0.0
MOD should ~ PRES,0.0,1.0,0.0
MOD should ~ MOD would,1.0,0.0,0.0
MOD must ~ PRES,1.0,0.0,0.0
??VB ~ PAST,0.0,1.0,0.0
