,0,1
FUT,-0.03,0.03
FUT ~ MOD shall,-2.33,2.33
PRES,4.88,-4.88
IMPV ~ MOD shall,0.76,-0.76
IMPV,0.87,-0.87
MOD is to ~ MOD shall,-5.27,5.27
PAST,-0.07,0.07
MOD shall,0.6,-0.6
MOD must ~ MOD shall,-0.29,0.29
FUT ~ PRES,1.46,-1.46
MOD may,-0.13,0.13
PAST ~ PRES,0.76,-0.76
MOD shall ~ PRES,-0.34,0.34
FUT ~ MOD may,0.0,-0.0
PRES PERF,-0.0,0.0
MOD shall ~ TO INF,0.2,-0.2
PRES ~ PRES PART,0.2,-0.2
PRES ~ PRES PERF,-0.21,0.21
MOD would,-0.0,0.0
TO INF,-0.22,0.22
FUT ~ MOD lest,-0.0,0.0
MOD would ~ PAST,-0.0,0.0
MOD may ~ TO INF,-0.24,0.24
MOD may ~ PRES,-0.0,0.0
MOD let,-0.27,0.27
FUT ~ IMPV,-0.3,0.3
PRES ~ TO INF,-0.0,0.0
MOD may ~ MOD shall,-0.31,0.31
PAST ~ PRES PART,-0.0,0.0
FUT ~ TO INF,-0.0,0.0
MOD shall ~ PRES PART,-0.0,0.0
IMPV ~ PRES,-0.0,0.0
IMPV ~ MOD let,-1.04,1.04
PRES PART,-0.0,0.0
IMPV ~ TO INF,-0.0,0.0
PAST ~ PRES PERF,-0.0,0.0
FUT ~ MOD let,-0.44,0.44
FUT ~ PRES PART,-0.0,0.0
MOD can ~ MOD may,-0.47,0.47
FUT ~ MOD would,-0.0,0.0
MOD can ~ MOD shall,-0.51,0.51
MOD shall ~ PAST,-1.4,1.4
MOD let ~ MOD shall,-0.55,0.55
MOD is to ~ PRES,-0.0,0.0
MOD is to ~ MOD let,-0.0,0.0
MOD let ~ MOD may,-1.49,1.49
FUT ~ PAST,-0.0,0.0
MOD is to ~ PAST,-0.64,0.64
MOD lest ~ MOD may,-0.0,0.0
PAST ~ TO INF,-0.0,0.0
MOD lest ~ TO INF,-0.0,0.0
PAST ~ PAST PROG,-0.0,0.0
MOD shall ~ PRES PERF,-0.0,0.0
FUT ~ PRES PERF,-0.0,0.0
IMPV ~ MOD lest,-0.0,0.0
MOD shall ~ MOD would,-0.0,0.0
MOD may ~ MOD must,-0.77,0.77
MOD can,-0.0,0.0
MOD would ~ PRES,-0.0,0.0
IMPV ~ PAST,-0.0,0.0
MOD should ~ PRES,-0.0,0.0
HAB used to ~ PAST,-2.12,2.12
IMPV ~ MOD may,-0.0,0.0
IMPV ~ MOD must,-0.86,0.86
PAST PERF,-0.86,0.86
MOD shall ~ MOD should,-0.86,0.86
FUT ~ MOD can,-0.0,0.0
MOD let ~ TO INF,-0.0,0.0
FUT ~ FUT PERF,-0.0,0.0
MOD should,-0.0,0.0
MOD could ~ MOD may,-0.0,0.0
PAST ~ PAST PERF,-0.0,0.0
MOD can ~ PRES,-0.98,0.98
MOD should ~ TO INF,-0.0,0.0
IMPV ~ MOD would,-0.0,0.0
MOD VB ~ PRES,-0.0,0.0
MOD is to ~ TO INF,-0.0,0.0
HAB used to ~ MOD would,-0.0,0.0
HAB used to,-0.0,0.0
MOD was to,-0.0,0.0
FUT ~ FUT going-to,-0.0,0.0
IMPV ~ MOD is to,-0.0,0.0
MOD that be ~ TO INF,-0.0,0.0
MOD was to ~ PAST,-0.0,0.0
PRES ~ PRES PROG,-0.0,0.0
FUT ~ MOD must,-0.0,0.0
IMPV ~ PRES PART,-0.0,0.0
MOD would ~ PRES PART,-0.0,0.0
FUT going-to ~ MOD shall,-0.0,0.0
PRES PART ~ PRES PERF,-0.0,0.0
MOD may ~ PRES PART,-0.0,0.0
MOD can ~ MOD let,-0.0,0.0
MOD lest ~ MOD might,-0.0,0.0
MOD may ~ MOD should,-0.0,0.0
MOD let ~ PRES,-0.0,0.0
MOD must ~ PRES,-0.0,0.0
MOD let ~ MOD must,-0.0,0.0
MOD lest ~ PRES PART,-0.0,0.0
MOD lest ~ MOD must,-1.15,1.15
MOD must ~ PRES PART,-0.0,0.0
MOD is to ~ MOD may,-0.0,0.0
MOD let ~ PRES PART,-0.0,0.0
MOD should ~ MOD would,-0.0,0.0
MOD let ~ MOD should,-0.0,0.0
MOD let ~ MOD would,-0.0,0.0
MOD can ~ TO INF,-0.0,0.0
MOD would ~ PRES PROG,-0.0,0.0
FUT ~ MOD is to,-0.0,0.0
FUT ~ MOD VB,-0.0,0.0
MOD ~ MOD would,-0.0,0.0
MOD would ~ TO INF,-0.0,0.0
MOD must,-0.0,0.0
FUT ~ FUT PROG,-1.44,1.44
MOD might ~ MOD would,-0.0,0.0
PAST PROG ~ TO INF,-0.0,0.0
FUT PROG,-0.0,0.0
FUT ~ MOD should,-0.0,0.0
FUT ~ MOD that be,-0.0,0.0
PAST PERF ~ PRES PART,-0.0,0.0
MOD could,-0.0,0.0
PRES PERF ~ TO INF,-0.0,0.0
MOD let ~ MOD might,-0.0,0.0
MOD might,-0.0,0.0
MOD quest must ~ MOD shall,-0.0,0.0
PRES ~ VB,-0.0,0.0
MOD could ~ MOD would,-0.0,0.0
MOD lest ~ PRES,-0.0,0.0
HAB used to ~ PAST PROG,-0.0,0.0
HAB used to ~ PRES PART,-0.0,0.0
MOD could ~ TO INF,-0.0,0.0
IMPV ~ MOD VB,-0.0,0.0
MOD is to ~ MOD lest,-0.0,0.0
MOD is to ~ PRES PART,-0.0,0.0
MOD VB ~ MOD can,-0.0,0.0
