,Q,N,?,D
PRES,2.87,0.07,2.73,1.82
PAST,0.17,6.94,1.0,1.02
PRES PART,0.77,1.45,0.53,2.07
PRES ~ PRES PART,2.9,0.21,1.02,0.42
FUT,32.89,0.03,0.09,0.0
PAST PROG,0.07,16.95,0.72,0.0
PRES PROG,55.81,0.0,0.0,0.35
PAST ~ PAST PROG,0.09,14.59,0.24,0.78
PAST ~ PRES PART,0.09,10.74,0.68,1.31
PRES ~ PRES PROG,21.41,0.04,0.14,0.0
PAST ~ PRES,1.49,0.44,1.1,2.07
FUT ~ PRES,4.8,0.0,0.72,1.53
FUT ~ MOD shall,3.07,0.0,1.65,0.79
PRES ~ PRES PERF,7.35,0.0,0.53,0.84
PRES PERF,20.59,0.0,0.29,0.0
TO INF,2.13,0.45,0.92,0.0
PAST PERF,0.08,18.32,0.0,0.94
PAST PROG ~ PRES PART,0.07,19.53,0.32,0.0
FUT ~ FUT going-to,8.3,0.0,0.72,0.0
PAST ~ PRES PERF,inf,0.0,0.0,0.0
PAST ~ PAST PERF,0.06,19.31,0.49,0.0
PRES PART ~ PRES PROG,11.69,0.14,0.0,0.0
FUT ~ PRES PROG,inf,0.0,0.0,0.0
FUT ~ PRES PART,8.26,0.0,0.0,2.33
PAST ~ TO INF,0.11,15.07,0.0,0.0
FUT ~ TO INF,5.33,0.0,1.11,0.0
MOD may ~ PRES,inf,0.0,0.0,0.0
FUT going-to ~ PRES,inf,0.0,0.0,0.0
MOD could ~ PAST,0.0,9.22,4.63,0.0
PRES PART ~ TO INF,0.72,2.29,0.0,0.0
FUT going-to ~ PRES PROG,inf,0.0,0.0,0.0
PRES ~ TO INF,0.48,0.38,8.26,0.0
IMPV ~ PRES,inf,0.0,0.0,0.0
MOD is to ~ PRES,3.39,0.0,1.75,0.0
MOD can ~ PRES,inf,0.0,0.0,0.0
MOD could,0.64,2.58,0.0,0.0
PRES PART ~ PRES PERF,2.42,0.0,2.46,0.0
MOD shall ~ PRES,inf,0.0,0.0,0.0
MOD should,1.93,0.86,0.0,0.0
IMPV,0.72,0.86,3.07,0.0
MOD can,inf,0.0,0.0,0.0
PAST PERF ~ PAST PROG,0.12,13.78,0.0,0.0
IMPV ~ MOD may,inf,0.0,0.0,0.0
FUT going-to ~ MOD shall,inf,0.0,0.0,0.0
MOD would ~ PRES,inf,0.0,0.0,0.0
MOD would ~ PAST,0.0,inf,0.0,0.0
MOD would,0.48,0.0,0.0,40.17
FUT ~ MOD must,inf,0.0,0.0,0.0
MOD is to ~ MOD shall,1.45,1.14,0.0,0.0
PAST PROG ~ PRES,1.45,0.0,4.09,0.0
PAST ~ PRES PROG,inf,0.0,0.0,0.0
PAST ~ PAST PERF PROG,0.0,inf,0.0,0.0
MOD shall ~ TO INF,inf,0.0,0.0,0.0
PRES PERF PROG,inf,0.0,0.0,0.0
MOD is to ~ PRES PART,inf,0.0,0.0,0.0
PRES PERF ~ PRES PROG,inf,0.0,0.0,0.0
MOD may,inf,0.0,0.0,0.0
MOD let ~ PRES,0.97,0.0,0.0,19.89
MOD is to,0.97,1.72,0.0,0.0
