eng_TAMsimp,Q,N,?,D
PRES,0.81,0.04,0.12,0.03
PAST,0.32,0.58,0.08,0.03
PRES PART,0.54,0.38,0.05,0.03
PRES PROG,0.95,0.01,0.01,0.04
PRES ~ PRES PART,0.84,0.08,0.08,0.01
FUT,0.98,0.01,0.01,0.0
PRES ~ PRES PROG,0.95,0.01,0.03,0.01
PAST PROG,0.13,0.82,0.06,0.0
PAST ~ PAST PROG,0.17,0.8,0.02,0.02
PAST ~ PRES PART,0.17,0.74,0.05,0.03
PAST ~ PRES,0.75,0.11,0.08,0.05
FUT ~ PRES,0.91,0.0,0.06,0.04
FUT ~ MOD shall,0.86,0.0,0.12,0.02
PRES ~ PRES PERF,0.94,0.0,0.04,0.02
PAST PERF,0.14,0.84,0.0,0.02
TO INF,0.81,0.12,0.07,0.0
PRES PERF,0.98,0.0,0.02,0.0
PAST PROG ~ PRES PART,0.13,0.85,0.03,0.0
FUT ~ FUT going-to,0.94,0.0,0.06,0.0
PAST ~ PRES PERF,1.0,0.0,0.0,0.0
FUT ~ PRES PROG,0.97,0.0,0.0,0.03
PRES PART ~ PRES PROG,0.93,0.03,0.0,0.03
PAST ~ PAST PERF,0.12,0.85,0.04,0.0
PAST ~ TO INF,0.19,0.81,0.0,0.0
FUT ~ TO INF,0.92,0.0,0.08,0.0
MOD may ~ PRES,1.0,0.0,0.0,0.0
MOD could ~ PAST,0.0,0.73,0.27,0.0
FUT going-to ~ PRES,1.0,0.0,0.0,0.0
FUT going-to ~ PRES PROG,1.0,0.0,0.0,0.0
PRES ~ TO INF,0.5,0.1,0.4,0.0
FUT ~ PRES PART,1.0,0.0,0.0,0.0
PRES PART ~ TO INF,0.56,0.44,0.0,0.0
MOD is to ~ PRES,0.88,0.0,0.12,0.0
IMPV ~ PRES,1.0,0.0,0.0,0.0
MOD could,0.57,0.43,0.0,0.0
MOD can ~ PRES,1.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,0.83,0.0,0.17,0.0
IMPV,0.6,0.2,0.2,0.0
PAST PERF ~ PAST PROG,0.2,0.8,0.0,0.0
MOD shall ~ PRES,1.0,0.0,0.0,0.0
MOD should,0.8,0.2,0.0,0.0
MOD can,1.0,0.0,0.0,0.0
FUT going-to ~ MOD shall,1.0,0.0,0.0,0.0
MOD would ~ PRES,1.0,0.0,0.0,0.0
MOD would ~ PAST,0.0,1.0,0.0,0.0
PRES PERF PROG ~ PRES PROG,1.0,0.0,0.0,0.0
MOD would,0.5,0.0,0.0,0.5
PAST PROG ~ PRES,0.75,0.0,0.25,0.0
MOD is to ~ MOD shall,0.75,0.25,0.0,0.0
PAST ~ PRES PROG,1.0,0.0,0.0,0.0
IMPV ~ MOD may,1.0,0.0,0.0,0.0
FUT ~ MOD must,1.0,0.0,0.0,0.0
PAST ~ PAST PERF PROG,0.0,1.0,0.0,0.0
MOD shall ~ TO INF,1.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,1.0,0.0,0.0,0.0
MOD should ~ TO INF,1.0,0.0,0.0,0.0
MOD should ~ MOD would,0.67,0.33,0.0,0.0
MOD was to ~ PAST,0.0,1.0,0.0,0.0
MOD can ~ TO INF,1.0,0.0,0.0,0.0
PRES PERF PROG,1.0,0.0,0.0,0.0
MOD let ~ PRES,0.67,0.0,0.0,0.33
MOD is to ~ PRES PART,1.0,0.0,0.0,0.0
FUT ~ MOD is to,1.0,0.0,0.0,0.0
MOD is to,0.67,0.33,0.0,0.0
MOD may,1.0,0.0,0.0,0.0
MOD can ~ MOD shall,1.0,0.0,0.0,0.0
PRES ~ PRES PERF PROG,1.0,0.0,0.0,0.0
PAST PERF ~ PRES,0.0,1.0,0.0,0.0
PAST PERF ~ PRES PART,0.0,1.0,0.0,0.0
MOD was to ~ TO INF,0.0,1.0,0.0,0.0
PAST PERF ~ PAST PERF PROG,0.0,1.0,0.0,0.0
PAST PERF PROG ~ PAST PROG,0.0,1.0,0.0,0.0
FUT PROG ~ PRES PART,1.0,0.0,0.0,0.0
MOD was to ~ PAST PROG,0.0,1.0,0.0,0.0
PRES ~ PRES PROG keep,1.0,0.0,0.0,0.0
MOD may ~ PAST,1.0,0.0,0.0,0.0
MOD must ~ PRES,1.0,0.0,0.0,0.0
MOD must ~ MOD shall,1.0,0.0,0.0,0.0
MOD may ~ TO INF,1.0,0.0,0.0,0.0
MOD is to ~ TO INF,1.0,0.0,0.0,0.0
MOD can ~ PRES PART,1.0,0.0,0.0,0.0
PRES PROG ~ TO INF,1.0,0.0,0.0,0.0
FUT ~ PAST PROG,1.0,0.0,0.0,0.0
FUT ~ MOD may,1.0,0.0,0.0,0.0
MOD let,1.0,0.0,0.0,0.0
PAST ~ VB,1.0,0.0,0.0,0.0
PRES PART ~ PRES PERF PROG,1.0,0.0,0.0,0.0
PAST PROG ~ TO INF,0.0,1.0,0.0,0.0
PRES PERF ~ PRES PERF PROG,1.0,0.0,0.0,0.0
PRES PERF ~ TO INF,1.0,0.0,0.0,0.0
PRES PROG ~ PRES PROG keep,1.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,1.0,0.0,0.0,0.0
MOD would ~ PRES PROG,1.0,0.0,0.0,0.0
HAB used to ~ PAST,0.0,1.0,0.0,0.0
MOD is to ~ MOD would,1.0,0.0,0.0,0.0
MOD could ~ PRES PART,0.0,1.0,0.0,0.0
MOD can ~ MOD may,1.0,0.0,0.0,0.0
IMPV ~ PRES PROG,1.0,0.0,0.0,0.0
IMPV ~ PAST,0.0,0.0,1.0,0.0
HAB used to ~ PAST PERF,0.0,1.0,0.0,0.0
FUT ~ VB,1.0,0.0,0.0,0.0
MOD would ~ PRES PERF,1.0,0.0,0.0,0.0
FUT ~ PAST,1.0,0.0,0.0,0.0
FUT ~ MOD would,1.0,0.0,0.0,0.0
FUT ~ MOD can,1.0,0.0,0.0,0.0
FUT ~ FUT PROG,1.0,0.0,0.0,0.0
FUT going-to ~ PRES PART,1.0,0.0,0.0,0.0
FUT PROG ~ PRES PROG,1.0,0.0,0.0,0.0
MOD let ~ TO INF,1.0,0.0,0.0,0.0
MOD may ~ PRES PART,1.0,0.0,0.0,0.0
MOD might,0.0,1.0,0.0,0.0
