eng_TAMsimp,Q,N,?,D
PRES,1.24,27.66,8.24,29.23
PAST,3.14,1.72,13.24,39.73
PRES PART,1.61,3.45,23.14,21.6
PRES ~ PRES PART,1.17,16.64,13.07,91.5
FUT,1.02,132.0,132.0,inf
PAST PROG,7.81,1.23,17.86,inf
PRES PROG,1.01,inf,inf,112.0
PAST ~ PAST PROG,6.06,1.26,51.5,51.5
PAST ~ PRES PART,5.88,1.34,18.8,31.33
PRES ~ PRES PROG,1.02,88.0,88.0,inf
PAST ~ PRES,1.33,8.71,12.2,20.33
FUT ~ PRES,1.1,inf,18.0,27.0
FUT ~ MOD shall,1.16,inf,8.5,51.0
PRES ~ PRES PERF,1.07,inf,24.0,48.0
PRES PERF,1.02,inf,43.0,inf
TO INF,1.23,8.6,14.33,inf
PAST PERF,7.17,1.19,inf,43.0
PAST PROG ~ PRES PART,7.8,1.18,39.0,inf
FUT ~ FUT going-to,1.06,inf,18.0,inf
PAST ~ PRES PERF,1.0,inf,inf,inf
PAST ~ PAST PERF,8.67,1.18,26.0,inf
PRES PART ~ PRES PROG,1.04,25.0,inf,inf
FUT ~ PRES PROG,1.0,inf,inf,inf
FUT ~ PRES PART,1.06,inf,inf,18.0
PAST ~ TO INF,5.33,1.23,inf,inf
FUT ~ TO INF,1.09,inf,12.0,inf
MOD may ~ PRES,1.0,inf,inf,inf
FUT going-to ~ PRES,1.0,inf,inf,inf
MOD could ~ PAST,inf,1.38,3.67,inf
PRES PART ~ TO INF,1.67,2.5,inf,inf
FUT going-to ~ PRES PROG,1.0,inf,inf,inf
PRES ~ TO INF,2.0,10.0,2.5,inf
IMPV ~ PRES,1.0,inf,inf,inf
MOD is to ~ PRES,1.14,inf,8.0,inf
MOD can ~ PRES,1.0,inf,inf,inf
MOD could,1.75,2.33,inf,inf
PRES PART ~ PRES PERF,1.2,inf,6.0,inf
MOD shall ~ PRES,1.0,inf,inf,inf
MOD should,1.25,5.0,inf,inf
IMPV,1.67,5.0,5.0,inf
MOD can,1.0,inf,inf,inf
PAST PERF ~ PAST PROG,5.0,1.25,inf,inf
IMPV ~ MOD may,1.0,inf,inf,inf
FUT going-to ~ MOD shall,1.0,inf,inf,inf
MOD would ~ PRES,1.0,inf,inf,inf
MOD would ~ PAST,inf,1.0,inf,inf
MOD would,2.0,inf,inf,2.0
FUT ~ MOD must,1.0,inf,inf,inf
MOD is to ~ MOD shall,1.33,4.0,inf,inf
PAST PROG ~ PRES,1.33,inf,4.0,inf
PAST ~ PRES PROG,1.0,inf,inf,inf
PAST ~ PAST PERF PROG,inf,1.0,inf,inf
MOD shall ~ TO INF,1.0,inf,inf,inf
PRES PERF PROG,1.0,inf,inf,inf
MOD is to ~ PRES PART,1.0,inf,inf,inf
PRES PERF ~ PRES PROG,1.0,inf,inf,inf
MOD may,1.0,inf,inf,inf
MOD let ~ PRES,1.5,inf,inf,3.0
MOD is to,1.5,3.0,inf,inf
MOD should ~ MOD would,1.5,3.0,inf,inf
PRES PERF PROG ~ PRES PROG,1.0,inf,inf,inf
FUT PROG ~ PRES PART,1.0,inf,inf,inf
MOD should ~ TO INF,1.0,inf,inf,inf
MOD can ~ TO INF,1.0,inf,inf,inf
FUT ~ MOD is to,1.0,inf,inf,inf
MOD was to ~ PAST,inf,1.0,inf,inf
PRES ~ PRES PERF PROG,1.0,inf,inf,inf
MOD can ~ MOD shall,1.0,inf,inf,inf
MOD can ~ PRES PART,1.0,inf,inf,inf
MOD is to ~ TO INF,1.0,inf,inf,inf
MOD let,1.0,inf,inf,inf
PRES ~ PRES PROG keep,1.0,inf,inf,inf
MOD may ~ PAST,1.0,inf,inf,inf
PAST PERF PROG ~ PAST PROG,inf,1.0,inf,inf
MOD was to ~ TO INF,inf,1.0,inf,inf
FUT ~ MOD may,1.0,inf,inf,inf
MOD must ~ MOD shall,1.0,inf,inf,inf
MOD must ~ PRES,1.0,inf,inf,inf
PAST PERF ~ PAST PERF PROG,inf,1.0,inf,inf
PRES PART ~ PRES PERF PROG,1.0,inf,inf,inf
FUT going-to ~ PRES PART,1.0,inf,inf,inf
FUT ~ PAST PROG,1.0,inf,inf,inf
PAST PERF ~ PRES PART,inf,1.0,inf,inf
MOD may ~ TO INF,1.0,inf,inf,inf
MOD was to ~ PAST PROG,inf,1.0,inf,inf
PAST PERF ~ PRES,inf,1.0,inf,inf
FUT ~ FUT PROG,1.0,inf,inf,inf
IMPV ~ PRES PROG,1.0,inf,inf,inf
FUT ~ MOD can,1.0,inf,inf,inf
