eng_TAMsimp,TOTAL,Q,N,?,D
PRES,1549,1252,56,188,53
PAST,596,190,346,45,15
PRES PART,246,132,93,13,8
PRES PROG,186,177,1,1,7
PRES ~ PRES PART,145,122,11,11,1
FUT,132,130,1,1,0
PRES ~ PRES PROG,125,119,1,4,1
PAST PROG,125,16,102,7,0
PAST ~ PAST PROG,103,17,82,2,2
PAST ~ PRES PART,94,16,70,5,3
PAST ~ PRES,61,46,7,5,3
FUT ~ PRES,54,49,0,3,2
FUT ~ MOD shall,51,44,0,6,1
PRES ~ PRES PERF,48,45,0,2,1
PAST PERF,43,6,36,0,1
TO INF,43,35,5,3,0
PRES PERF,43,42,0,1,0
PAST PROG ~ PRES PART,39,5,33,1,0
FUT ~ FUT going-to,36,34,0,2,0
PAST ~ PRES PERF,31,31,0,0,0
FUT ~ PRES PROG,31,30,0,0,1
PRES PART ~ PRES PROG,30,28,1,0,1
PAST ~ PAST PERF,26,3,22,1,0
PAST ~ TO INF,16,3,13,0,0
FUT ~ TO INF,12,11,0,1,0
MOD may ~ PRES,12,12,0,0,0
MOD could ~ PAST,11,0,8,3,0
FUT going-to ~ PRES,11,11,0,0,0
FUT going-to ~ PRES PROG,11,11,0,0,0
PRES ~ TO INF,10,5,1,4,0
FUT ~ PRES PART,9,9,0,0,0
PRES PART ~ TO INF,9,5,4,0,0
MOD is to ~ PRES,8,7,0,1,0
IMPV ~ PRES,8,8,0,0,0
MOD could,7,4,3,0,0
MOD can ~ PRES,7,7,0,0,0
PRES PERF ~ PRES PROG,6,5,0,1,0
IMPV,5,3,1,1,0
PAST PERF ~ PAST PROG,5,1,4,0,0
MOD shall ~ PRES,5,5,0,0,0
MOD should,5,4,1,0,0
MOD can,5,5,0,0,0
FUT going-to ~ MOD shall,4,4,0,0,0
MOD would ~ PRES,4,4,0,0,0
MOD would ~ PAST,4,0,4,0,0
PRES PERF PROG ~ PRES PROG,4,4,0,0,0
MOD would,4,2,0,0,2
PAST PROG ~ PRES,4,3,0,1,0
MOD is to ~ MOD shall,4,3,1,0,0
PAST ~ PRES PROG,4,4,0,0,0
IMPV ~ MOD may,4,4,0,0,0
FUT ~ MOD must,4,4,0,0,0
PAST ~ PAST PERF PROG,4,0,4,0,0
MOD shall ~ TO INF,3,3,0,0,0
PRES PART ~ PRES PERF,3,3,0,0,0
MOD should ~ TO INF,3,3,0,0,0
MOD should ~ MOD would,3,2,1,0,0
MOD was to ~ PAST,3,0,3,0,0
MOD can ~ TO INF,3,3,0,0,0
PRES PERF PROG,3,3,0,0,0
MOD let ~ PRES,3,2,0,0,1
MOD is to ~ PRES PART,3,3,0,0,0
FUT ~ MOD is to,3,3,0,0,0
MOD is to,3,2,1,0,0
MOD may,3,3,0,0,0
MOD can ~ MOD shall,3,3,0,0,0
PRES ~ PRES PERF PROG,3,3,0,0,0
PAST PERF ~ PRES,2,0,2,0,0
PAST PERF ~ PRES PART,2,0,2,0,0
MOD was to ~ TO INF,2,0,2,0,0
PAST PERF ~ PAST PERF PROG,2,0,2,0,0
PAST PERF PROG ~ PAST PROG,2,0,2,0,0
FUT PROG ~ PRES PART,2,2,0,0,0
MOD was to ~ PAST PROG,2,0,2,0,0
PRES ~ PRES PROG keep,2,2,0,0,0
MOD may ~ PAST,2,2,0,0,0
MOD must ~ PRES,2,2,0,0,0
MOD must ~ MOD shall,2,2,0,0,0
MOD may ~ TO INF,2,2,0,0,0
MOD is to ~ TO INF,2,2,0,0,0
MOD can ~ PRES PART,2,2,0,0,0
PRES PROG ~ TO INF,2,2,0,0,0
FUT ~ PAST PROG,2,2,0,0,0
FUT ~ MOD may,2,2,0,0,0
MOD let,2,2,0,0,0
PAST ~ VB,1,1,0,0,0
PRES PART ~ PRES PERF PROG,1,1,0,0,0
PAST PROG ~ TO INF,1,0,1,0,0
PRES PERF ~ PRES PERF PROG,1,1,0,0,0
PRES PERF ~ TO INF,1,1,0,0,0
PRES PROG ~ PRES PROG keep,1,1,0,0,0
MOD shall ~ PRES PERF,1,1,0,0,0
MOD would ~ PRES PROG,1,1,0,0,0
HAB used to ~ PAST,1,0,1,0,0
MOD is to ~ MOD would,1,1,0,0,0
MOD could ~ PRES PART,1,0,1,0,0
MOD can ~ MOD may,1,1,0,0,0
IMPV ~ PRES PROG,1,1,0,0,0
IMPV ~ PAST,1,0,0,1,0
HAB used to ~ PAST PERF,1,0,1,0,0
FUT ~ VB,1,1,0,0,0
MOD would ~ PRES PERF,1,1,0,0,0
FUT ~ PAST,1,1,0,0,0
FUT ~ MOD would,1,1,0,0,0
FUT ~ MOD can,1,1,0,0,0
FUT ~ FUT PROG,1,1,0,0,0
FUT going-to ~ PRES PART,1,1,0,0,0
FUT PROG ~ PRES PROG,1,1,0,0,0
MOD let ~ TO INF,1,1,0,0,0
MOD may ~ PRES PART,1,1,0,0,0
MOD might,1,0,1,0,0
MOD must,1,1,0,0,0
MOD must ~ PRES PROG,1,1,0,0,0
MOD need not ~ TO INF,1,1,0,0,0
MOD shall,1,1,0,0,0
MOD shall ~ PAST,1,1,0,0,0
MOD shall ~ PRES PART,1,1,0,0,0
FUT PROG ~ MOD is to,1,1,0,0,0
MOD should ~ MOD was to,1,0,1,0,0
MOD should ~ PAST,1,0,1,0,0
MOD should ~ PRES,1,1,0,0,0
MOD should ~ PRES PERF,1,1,0,0,0
MOD that VB ~ PRES PART,1,0,1,0,0
MOD was to,1,0,1,0,0
MOD was to ~ PRES PART,1,0,1,0,0
TO INF ~ VB,1,0,1,0,0
