eng_TAMsimp,poetry,prophetic,prose,instruction,list
PRES,1.13,3.12,5.39,6.67,1337.0
FUT,2.56,1.51,2.4,37.56,2351.0
FUT ~ MOD shall,8.44,0.82,2.78,12.54,173.7
IMPV,2.28,2.71,1.54,30.63,inf
IMPV ~ MOD shall,inf,17.11,3.02,0.46,83.5
PAST,1.09,4.2,2.41,88.4,39.64
FUT ~ PRES,1.19,2.25,4.23,21.58,inf
MOD let,1.68,2.82,1.96,35.7,inf
MOD must ~ MOD shall,337.0,13.08,4.73,0.34,337.0
MOD may,4.02,8.31,1.23,3.08,inf
MOD is to ~ MOD shall,inf,9.14,4.35,0.45,41.0
MOD can,1.18,2.75,3.15,29.0,inf
MOD shall,19.0,9.48,1.22,1.47,inf
MOD shall ~ PRES,5.82,3.29,3.29,1.73,49.0
FUT ~ MOD may,2.94,3.32,1.68,6.05,inf
MOD would,1.31,3.62,1.93,inf,119.0
IMPV ~ MOD let,3.0,4.33,0.93,21.4,inf
PAST ~ PRES,0.98,2.0,7.54,36.0,54.5
MOD let ~ MOD may,0.42,19.8,3.16,103.0,inf
PRES ~ PRES PART,1.34,2.56,4.65,7.73,inf
PRES ~ PRES PERF,1.84,3.63,3.19,4.18,inf
MOD should,4.19,5.38,0.57,82.0,inf
FUT ~ MOD lest,4.14,6.2,1.18,3.8,inf
MOD can ~ PRES,1.03,3.44,2.74,70.0,inf
TO INF,3.18,2.74,1.29,16.75,inf
FUT ~ MOD can,1.91,1.78,2.56,63.0,inf
MOD may ~ PRES,2.26,4.64,1.82,5.2,inf
PRES PERF,1.35,4.08,2.81,7.71,inf
MOD may ~ MOD shall,2.87,10.6,2.62,1.64,inf
IMPV ~ PRES,1.12,2.44,4.0,26.5,inf
MOD can ~ MOD may,6.14,7.33,0.56,9.0,inf
PRES PART,2.06,1.58,3.08,23.5,inf
PRES ~ TO INF,2.21,5.43,5.43,1.65,inf
MOD should ~ PRES,2.0,4.0,1.37,21.5,inf
MOD can ~ MOD shall,2.38,2.67,1.59,21.0,inf
FUT ~ MOD would,1.33,3.2,2.0,inf,inf
MOD must,6.6,2.17,1.53,5.33,inf
MOD shall ~ TO INF,37.0,2.8,0.73,6.6,inf
MOD could,2.8,5.33,1.24,6.6,inf
PAST ~ PRES PERF,0.5,3.71,15.5,15.5,inf
MOD may ~ TO INF,32.0,10.0,0.27,10.0,inf
MOD shall ~ MOD should,14.5,1.38,1.07,30.0,inf
IMPV ~ MOD may,3.29,29.0,0.58,9.0,inf
FUT ~ TO INF,2.22,3.83,1.07,inf,inf
MOD would ~ PAST,8.67,3.14,0.81,13.5,28.0
MOD would ~ PRES,0.44,22.0,3.6,22.0,inf
FUT ~ IMPV,1.88,2.29,2.29,22.0,inf
MOD let ~ PRES,0.83,2.67,4.5,inf,inf
PAST ~ PRES PART,2.0,2.0,3.2,20.0,20.0
FUT ~ MOD let,1.33,3.2,2.0,inf,inf
MOD shall ~ PRES PART,inf,1.5,9.0,1.0,inf
MOD should ~ TO INF,2.8,5.33,0.9,inf,18.0
MOD must ~ PRES,2.0,8.0,2.6,2.6,inf
FUT ~ PRES PART,7.5,0.7,2.4,inf,inf
MOD let ~ TO INF,3.25,16.0,0.42,inf,inf
MOD lest ~ MOD may,3.0,7.0,4.33,1.29,inf
PRES ~ PRES PROG,7.0,7.0,1.29,2.2,inf
MOD let ~ MOD shall,inf,1.5,4.0,1.5,inf
FUT ~ PAST,6.5,0.88,2.0,inf,inf
IMPV ~ MOD must,inf,6.0,0.27,13.0,inf
MOD lest ~ PRES,6.0,13.0,0.4,13.0,inf
MOD shall ~ PAST,inf,1.0,1.8,6.0,inf
MOD should ~ MOD would,1.0,6.0,2.5,13.0,inf
PAST ~ TO INF,3.33,3.33,2.25,12.0,5.5
FUT ~ MOD should,1.4,2.0,5.0,11.0,inf
HAB used to ~ PAST,11.0,5.0,0.33,inf,inf
MOD might,0.83,10.0,1.75,inf,inf
MOD may ~ MOD must,10.0,inf,1.2,1.2,inf
IMPV ~ MOD can,0.22,inf,4.5,inf,inf
MOD is to,4.0,9.0,1.0,4.0,inf
PAST ~ PAST PERF,1.5,9.0,1.0,inf,inf
MOD let ~ MOD must,inf,8.0,0.5,3.5,inf
MOD was to ~ PAST,8.0,3.5,2.0,2.0,inf
MOD is to ~ MOD let,inf,inf,0.8,1.25,inf
MOD can ~ MOD should,7.0,1.67,1.0,inf,inf
MOD let ~ PAST,0.6,7.0,7.0,7.0,inf
MOD let ~ MOD should,7.0,7.0,0.33,inf,inf
MOD can ~ MOD could,1.0,7.0,1.67,inf,inf
IMPV ~ PAST,6.0,0.75,2.5,inf,inf
MOD could ~ MOD would,6.0,0.75,2.5,inf,inf
IMPV ~ MOD should,inf,0.17,6.0,inf,inf
FUT ~ MOD must,1.33,2.5,2.5,inf,inf
MOD lest,0.17,6.0,inf,inf,inf
MOD should ~ MOD was to,2.5,inf,0.4,inf,inf
PAST PERF,6.0,inf,0.17,inf,inf
IMPV ~ PRES PART,inf,1.33,1.33,6.0,inf
MOD might ~ MOD would,1.33,1.33,inf,6.0,inf
IMPV ~ TO INF,6.0,2.5,2.5,2.5,inf
FUT ~ FUT going-to,inf,inf,0.0,inf,inf
PRES PART ~ TO INF,2.0,5.0,inf,1.0,inf
MOD lest ~ MOD might,inf,5.0,0.5,5.0,inf
MOD could ~ PAST,0.5,inf,2.0,inf,inf
FUT ~ PRES PERF,5.0,2.0,1.0,inf,inf
MOD can ~ TO INF,1.0,5.0,2.0,inf,inf
MOD is to ~ MOD may,inf,inf,2.0,0.5,inf
MOD may ~ PRES PART,inf,1.0,1.0,inf,inf
MOD could ~ MOD might,5.0,5.0,0.5,inf,inf
FUT going-to ~ MOD shall,inf,5.0,0.2,inf,inf
MOD shall ~ MOD would,1.0,inf,2.0,5.0,inf
?VB ~ MOD let,0.2,inf,5.0,inf,inf
PAST ~ PAST PROG,5.0,2.0,1.0,inf,inf
MOD can ~ PRES PART,0.67,4.0,4.0,inf,inf
MOD VB ~ MOD may,1.5,1.5,inf,4.0,inf
MOD is to ~ MOD must,inf,4.0,0.25,inf,inf
MOD might ~ TO INF,1.5,1.5,4.0,inf,inf
MOD can ~ MOD let,inf,4.0,0.25,inf,inf
MOD lest ~ TO INF,inf,inf,0.25,4.0,inf
MOD would ~ TO INF,0.67,4.0,4.0,inf,inf
