eng_TAMsimp,poetry,prose,prophetic,instruction,list
FUT PROG ~ PRES,3.0,inf,inf,1.5,inf
FUT ~ MOD that be,inf,1.5,inf,3.0,inf
PRES PART ~ PRES PERF,1.5,inf,3.0,inf,inf
MOD may ~ PRES PERF,3.0,3.0,inf,3.0,inf
MOD may ~ PAST,1.5,3.0,inf,inf,inf
MOD shall ~ PRES PERF,inf,1.0,inf,inf,inf
MOD may ~ MOD might,3.0,3.0,3.0,inf,inf
PAST PROG,inf,1.0,inf,inf,inf
MOD lest ~ MOD would,inf,1.5,inf,3.0,inf
MOD can ~ MOD might,inf,1.0,inf,inf,inf
MOD need not ~ MOD shall,1.5,3.0,inf,inf,inf
MOD could ~ MOD should,inf,1.5,3.0,inf,inf
MOD is to ~ PRES PART,3.0,1.5,inf,inf,inf
MOD could ~ MOD must,1.0,inf,inf,inf,inf
MOD should ~ PRES PERF,inf,2.0,2.0,inf,inf
MOD let ~ MOD that be,2.0,2.0,inf,inf,inf
MOD need not ~ PRES,inf,inf,2.0,2.0,inf
PAST PROG ~ PRES,2.0,inf,2.0,inf,inf
PRES ~ PRES do,1.0,inf,inf,inf,inf
MOD must ~ MOD should,2.0,2.0,inf,inf,inf
MOD that be,inf,2.0,2.0,inf,inf
MOD must ~ MOD quest must,inf,inf,1.0,inf,inf
MOD is to ~ PRES,inf,1.0,inf,inf,inf
PRES PROG,inf,2.0,2.0,inf,inf
MOD lest ~ MOD let,2.0,2.0,inf,inf,inf
MOD lest ~ MOD should,1.0,inf,inf,inf,inf
MOD is to ~ TO INF,2.0,2.0,inf,inf,inf
MOD can ~ MOD must,2.0,2.0,inf,inf,inf
MOD could ~ TO INF,2.0,2.0,inf,inf,inf
MOD lest ~ MOD shall,inf,2.0,2.0,inf,inf
FUT ~ MOD was to,1.0,inf,inf,inf,inf
MOD quest must,inf,inf,1.0,inf,inf
PRES PERF ~ PRES PROG,1.0,inf,inf,inf,inf
MOD quest must ~ MOD shall,inf,1.0,inf,inf,inf
MOD might ~ PRES PERF,inf,inf,1.0,inf,inf
PRES PART ~ PRES PROG,inf,1.0,inf,inf,inf
MOD must ~ TO INF,inf,1.0,inf,inf,inf
MOD must ~ PRES PART,inf,1.0,inf,inf,inf
FUT going-to ~ MOD lest,inf,1.0,inf,inf,inf
PRES ~ PRES shall,inf,inf,inf,1.0,inf
FUT PERF,inf,inf,1.0,inf,inf
FUT PERF ~ PRES,inf,1.0,inf,inf,inf
FUT PROG ~ MOD shall,inf,inf,inf,1.0,inf
MOD is to ~ MOD lest,inf,inf,1.0,inf,inf
FUT going-to ~ MOD is to,inf,inf,1.0,inf,inf
FUT going-to ~ MOD may,inf,1.0,inf,inf,inf
PRES ~ PRES can,inf,1.0,inf,inf,inf
MOD must ~ PRES shall,inf,inf,inf,1.0,inf
FUT ~ FUT PERF,inf,1.0,inf,inf,inf
FUT ~ FUT PROG,1.0,inf,inf,inf,inf
MOD must ~ PRES PROG,1.0,inf,inf,inf,inf
MOD could ~ PAST PERF,inf,1.0,inf,inf,inf
FUT ~ MOD,inf,1.0,inf,inf,inf
MOD could ~ PRES PERF,1.0,inf,inf,inf,inf
HAB used to ~ PRES,inf,1.0,inf,inf,inf
FUT ~ PRES shall,inf,inf,inf,1.0,inf
MOD may ~ MOD would,inf,1.0,inf,inf,inf
MOD would ~ PAST PROG,1.0,inf,inf,inf,inf
MOD lest ~ MOD must,inf,inf,inf,1.0,inf
MOD would ~ PAST PERF,inf,inf,1.0,inf,inf
MOD lest ~ MOD that be,inf,inf,inf,1.0,inf
MOD can ~ MOD lest,inf,1.0,inf,inf,inf
MOD ~ MOD let,inf,1.0,inf,inf,inf
MOD VB ~ TO INF,1.0,inf,inf,inf,inf
MOD that be ~ TO INF,inf,inf,inf,1.0,inf
MOD VB ~ MOD shall,inf,inf,1.0,inf,inf
MOD VB ~ MOD can,1.0,inf,inf,inf,inf
JJ ~ PRES,1.0,inf,inf,inf,inf
MOD let ~ MOD might,inf,inf,1.0,inf,inf
IMPV ~ PRES PERF,inf,inf,1.0,inf,inf
MOD ~ PRES,inf,1.0,inf,inf,inf
MOD should ~ PRES PART,inf,1.0,inf,inf,inf
MOD let ~ MOD that,inf,inf,1.0,inf,inf
IMPV ~ MOD need not,inf,inf,inf,1.0,inf
MOD could ~ MOD shall,inf,1.0,inf,inf,inf
MOD is to ~ MOD should,inf,1.0,inf,inf,inf
MOD let ~ VB,inf,1.0,inf,inf,inf
MOD is to ~ PRES PROG,inf,1.0,inf,inf,inf
IMPV ~ MOD,inf,1.0,inf,inf,inf
IMPV not ~ MOD must,inf,1.0,inf,inf,inf
PAST PROG ~ PRES PART,inf,inf,1.0,inf,inf
HAB used to ~ PRES PERF,1.0,inf,inf,inf,inf
HAB used to ~ MOD would,1.0,inf,inf,inf,inf
MOD may ~ MOD should,1.0,inf,inf,inf,inf
MOD was to ~ PRES,inf,1.0,inf,inf,inf
