,prophetic,poetry,prose,instruction,list
PRES,0.71,3.0,0.45,0.78,0.15
FUT,1.86,0.92,1.22,0.12,0.09
FUT ~ MOD shall,3.66,0.25,1.0,0.4,1.49
IMPV ~ MOD shall,0.13,0.0,0.92,14.31,3.13
PAST,0.55,2.44,1.17,0.06,7.44
FUT ~ PRES,1.1,2.09,0.67,0.25,0.0
MOD must ~ MOD shall,0.18,0.01,0.58,18.64,0.7
MOD is to ~ MOD shall,0.25,0.0,0.64,13.54,6.61
MOD can,0.85,2.23,0.89,0.18,0.0
MOD shall,0.23,0.13,2.35,3.87,0.0
MOD may,0.38,0.27,1.46,4.18,0.0
IMPV,0.6,0.78,3.15,0.21,0.0
MOD shall ~ PRES,0.73,0.4,0.87,3.29,5.19
MOD would,0.62,1.91,1.56,0.0,2.12
PAST ~ PRES,1.2,2.58,0.37,0.15,4.56
FUT ~ MOD may,0.8,0.69,1.51,1.24,0.0
PRES ~ PRES PART,0.93,1.92,0.6,0.7,0.0
PRES ~ PRES PERF,0.65,1.4,0.88,1.31,0.0
MOD should,0.42,0.55,5.47,0.07,0.0
MOD can ~ PRES,0.69,2.5,1.02,0.08,0.0
FUT ~ MOD lest,0.39,0.63,2.31,1.47,0.0
FUT ~ MOD can,1.33,1.34,1.1,0.09,0.0
PRES PERF,0.58,1.91,1.0,0.71,0.0
MOD may ~ MOD shall,0.25,0.75,1.01,3.91,0.0
PRES PART,1.5,1.24,0.91,0.23,0.0
IMPV ~ PRES,1.11,2.46,0.49,0.24,0.0
TO INF,1.11,1.09,1.45,0.24,0.0
MOD may ~ PRES,0.66,1.37,0.78,1.52,0.0
MOD can ~ MOD shall,0.89,1.07,1.77,0.26,0.0
MOD should ~ PRES,0.61,1.19,2.14,0.26,0.0
PRES ~ TO INF,0.49,1.33,0.58,2.54,0.0
FUT ~ MOD would,0.79,1.9,1.35,0.0,0.0
MOD could,0.44,0.91,2.27,0.83,0.0
MOD shall ~ TO INF,0.88,0.07,3.69,0.85,0.0
MOD must,1.04,0.32,2.01,1.09,0.0
MOD let,0.82,1.71,0.83,0.7,0.0
MOD can ~ MOD may,0.41,0.66,2.81,0.94,0.0
PAST ~ PRES PERF,0.64,5.14,0.18,0.35,0.0
MOD shall ~ MOD should,1.71,0.18,2.63,0.18,0.0
MOD would ~ PAST,0.75,0.29,3.46,0.4,8.68
FUT ~ TO INF,0.68,1.28,2.25,0.0,0.0
MOD would ~ PRES,0.11,5.87,0.78,0.25,0.0
FUT ~ IMPV,0.74,1.58,1.4,0.27,0.0
PAST ~ PRES PART,1.18,1.28,0.88,0.27,12.16
MOD shall ~ PRES PART,1.58,0.0,0.31,5.48,0.0
MOD should ~ TO INF,0.3,0.98,3.51,0.0,14.31
MOD must ~ PRES,0.3,1.28,1.08,2.1,0.0
PRES ~ PRES PROG,0.34,0.37,2.18,2.48,0.0
MOD lest ~ MOD may,0.34,0.85,0.65,4.26,0.0
MOD let ~ PRES,1.18,2.24,0.7,0.0,0.0
FUT ~ PRES PART,4.75,0.39,0.7,0.0,0.0
FUT ~ PAST,2.71,0.39,1.4,0.0,0.0
MOD shall ~ PAST,2.37,0.0,1.56,0.91,0.0
FUT ~ MOD let,0.95,1.42,1.56,0.0,0.0
MOD lest ~ PRES,0.18,0.43,7.02,0.42,0.0
MOD should ~ MOD would,0.39,2.56,1.12,0.42,0.0
IMPV ~ MOD may,0.2,1.14,2.4,0.99,0.0
MOD let ~ MOD shall,1.05,0.0,0.84,4.69,0.0
FUT ~ MOD should,1.18,1.83,0.56,0.5,0.0
HAB used to ~ PAST,0.47,0.23,8.42,0.0,0.0
MOD may ~ TO INF,0.47,0.23,5.61,0.5,0.0
IMPV ~ MOD must,0.47,0.0,8.42,0.5,0.0
IMPV ~ MOD let,0.89,0.0,1.6,3.12,0.0
IMPV ~ MOD can,0.0,11.54,0.62,0.0,0.0
MOD might,0.24,3.07,1.6,0.0,0.0
PAST ~ TO INF,0.53,0.96,1.05,0.55,55.23
MOD may ~ MOD must,0.0,0.0,2.8,5.47,0.0
PAST ~ PAST PERF,0.26,1.71,2.8,0.0,0.0
MOD is to,0.26,0.64,2.8,1.36,0.0
MOD was to ~ PAST,0.68,0.32,1.4,2.73,0.0
MOD can ~ MOD should,1.42,0.37,2.8,0.0,0.0
MOD can ~ MOD could,0.34,2.56,1.68,0.0,0.0
MOD lest,0.39,15.38,0.0,0.0,0.0
PAST PERF,0.0,0.43,16.84,0.0,0.0
FUT ~ MOD must,0.95,1.92,1.12,0.0,0.0
MOD should ~ MOD was to,0.0,1.02,7.01,0.0,0.0
MOD might ~ MOD would,1.18,2.56,0.0,1.09,0.0
MOD could ~ PAST,0.0,5.12,1.4,0.0,0.0
FUT ~ PRES PERF,1.18,0.51,2.8,0.0,0.0
