genre,instruction,prophetic,prose,poetry,list,prophetic,instruction,instruction,prose,prophetic,prose,list,prophetic,instruction,poetry,list
domain2,Q,Q,Q,Q,N,?,?,D,N,D,D,Q,N,N,?,?
eng_TAMsimp,,,,,,,,,,,,,,,,
FUT ~ MOD shall,6.76,1.85,4.41,59.0,inf,28.7,212.4,1062.0,inf,59.0,531.0,132.75,inf,inf,inf,inf
IMPV ~ MOD shall,1.49,13.93,4.49,inf,inf,inf,209.0,46.44,inf,inf,inf,139.33,inf,inf,inf,inf
MOD is to ~ MOD shall,1.32,77.0,6.42,inf,inf,inf,17.11,102.67,inf,inf,inf,154.0,inf,inf,inf,inf
MOD must ~ MOD shall,1.19,38.25,13.91,153.0,inf,inf,51.0,30.6,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,9.17,2.62,3.06,11.0,inf,36.67,55.0,55.0,inf,inf,inf,inf,110.0,inf,55.0,inf
PAST ~ PRES,12.8,9.14,32.0,12.8,1.42,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,2.67,3.11,3.73,inf,inf,inf,56.0,inf,inf,inf,inf,56.0,inf,inf,inf,inf
FUT ~ MOD may,6.0,2.08,3.38,inf,inf,54.0,inf,27.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ TO INF,1.75,7.0,4.0,inf,inf,inf,inf,inf,inf,inf,inf,28.0,inf,inf,inf,inf
PRES ~ PRES PART,3.86,6.75,3.38,13.5,6.75,13.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF,5.2,6.5,1.73,26.0,inf,inf,inf,26.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST,inf,12.0,8.0,24.0,inf,inf,inf,inf,2.18,inf,3.43,inf,inf,inf,inf,inf
FUT ~ MOD lest,6.0,4.8,3.0,4.0,inf,inf,inf,24.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ TO INF,4.6,inf,1.44,inf,inf,inf,inf,23.0,inf,inf,inf,23.0,inf,inf,inf,inf
MOD may ~ PRES,2.33,5.25,4.2,10.5,inf,inf,inf,21.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,3.17,3.17,2.71,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ IMPV,inf,1.58,3.17,19.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD shall,2.0,18.0,2.57,inf,inf,inf,inf,18.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PART,inf,inf,8.5,5.67,3.4,inf,inf,inf,2.83,inf,17.0,inf,inf,inf,inf,inf
FUT ~ TO INF,16.0,2.29,2.29,16.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES PART,2.0,inf,2.29,inf,inf,16.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,15.0,5.0,1.5,inf,inf,inf,inf,15.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD let,3.5,inf,1.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ TO INF,13.0,2.6,1.86,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PERF,inf,1.86,3.25,6.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,inf,1.71,2.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD let,inf,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD would,inf,5.5,1.38,11.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD may,5.5,inf,1.22,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD shall,5.0,inf,1.43,inf,inf,inf,inf,10.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PAST,3.0,1.8,inf,inf,inf,inf,inf,9.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD shall,9.0,3.0,1.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PAST,8.0,8.0,2.0,8.0,inf,inf,inf,inf,inf,8.0,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,inf,8.0,1.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.0,inf,inf,inf
MOD is to ~ PRES,2.0,8.0,4.0,inf,inf,inf,inf,8.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD let,1.14,inf,8.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ TO INF,inf,7.0,1.17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,inf,7.0,7.0,inf,inf,inf,inf,inf,2.33,inf,7.0,inf,7.0,inf,inf,inf
MOD is to ~ PAST,1.75,7.0,inf,inf,inf,inf,3.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD may,inf,3.5,7.0,1.75,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ TO INF,inf,3.5,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.33,inf,7.0
MOD shall ~ PRES PERF,6.0,2.0,6.0,inf,inf,inf,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,inf,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD must,1.25,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,5.0,inf,1.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD lest,5.0,2.5,2.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD would,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
