genre,instruction,prophetic,prose,poetry,list,prophetic,instruction,instruction,prose,prophetic,prose,list,prophetic,instruction,poetry,list
domain2,Q,Q,Q,Q,N,?,?,D,N,D,D,Q,N,N,?,?
eng_TAMsimp,,,,,,,,,,,,,,,,
FUT ~ MOD shall,157,575,241,18,0,37,5,1,0,18,2,8,0,0,0,0
IMPV ~ MOD shall,281,30,93,0,0,0,2,9,0,0,0,3,0,0,0,0
MOD is to ~ MOD shall,233,4,48,0,0,0,18,3,0,0,0,2,0,0,0,0
MOD must ~ MOD shall,129,4,11,1,0,0,3,5,0,0,0,0,0,0,0,0
FUT ~ PRES,12,42,36,10,0,3,2,2,0,0,0,0,1,0,2,0
PAST ~ PRES,5,7,2,5,45,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES,21,18,15,0,0,0,1,0,0,0,0,1,0,0,0,0
FUT ~ MOD may,9,26,16,0,0,1,0,2,0,0,0,0,0,0,0,0
MOD shall ~ TO INF,16,4,7,0,0,0,0,0,0,0,0,1,0,0,0,0
PRES ~ PRES PART,7,4,8,2,4,2,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PERF,5,4,15,1,0,0,0,1,0,0,0,0,0,0,0,0
MOD would ~ PAST,0,2,3,1,0,0,0,0,11,0,7,0,0,0,0,0
FUT ~ MOD lest,4,5,8,6,0,0,0,1,0,0,0,0,0,0,0,0
MOD may ~ TO INF,5,0,16,0,0,0,0,1,0,0,0,1,0,0,0,0
MOD may ~ PRES,9,4,5,2,0,0,0,1,0,0,0,0,0,0,0,0
PRES ~ TO INF,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ IMPV,0,12,6,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD shall,9,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0
PAST ~ PRES PART,0,0,2,3,5,0,0,0,6,0,1,0,0,0,0,0
FUT ~ TO INF,1,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PART,8,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES,1,3,10,0,0,0,0,1,0,0,0,0,0,0,0,0
IMPV ~ MOD let,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ TO INF,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES PERF,0,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PART,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD let,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD would,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD may,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD shall,2,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0
MOD shall ~ PAST,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MOD let ~ MOD shall,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PAST,1,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0
MOD let ~ MOD may,0,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0
MOD is to ~ PRES,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
MOD is to ~ MOD let,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ TO INF,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PROG,0,1,1,0,0,0,0,0,3,0,1,0,1,0,0,0
MOD is to ~ PAST,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD may,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ TO INF,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,1
MOD shall ~ PRES PERF,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
FUT ~ PRES PERF,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD must,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PAST,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD lest,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD would,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT PERF,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD can,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PAST,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
MOD shall ~ MOD should,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD may,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ TO INF,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD must,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ PRES,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ TO INF,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MOD could ~ MOD may,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD would,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
HAB used to ~ MOD would,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
MOD can ~ PRES,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ TO INF,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PERF,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
FUT ~ FUT going-to,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PART,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD is to,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD must,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
