,Main,SubAdv,SubMod
,W,W,W
FUT,4.87,0.21,0.0
FUT ~ MOD shall,2.9,0.35,0.0
PRES,0.15,6.64,0.0
IMPV ~ MOD shall,inf,0.0,0.0
IMPV,inf,0.0,0.0
MOD is to ~ MOD shall,12.56,0.08,0.0
PAST,0.34,2.47,inf
MOD shall,8.18,0.12,0.0
MOD must ~ MOD shall,1.97,0.52,0.0
FUT ~ PRES,0.81,1.25,0.0
MOD may,2.54,0.4,0.0
PAST ~ PRES,2.46,0.41,0.0
MOD shall ~ PRES,1.05,0.97,0.0
FUT ~ MOD may,inf,0.0,0.0
PRES PERF,0.3,3.42,0.0
MOD shall ~ TO INF,inf,0.0,0.0
PRES ~ PRES PART,0.07,13.63,0.0
PRES ~ PRES PERF,0.16,6.36,0.0
MOD would,0.93,1.09,0.0
TO INF,0.44,2.29,0.0
FUT ~ MOD lest,0.42,2.39,0.0
MOD would ~ PAST,0.42,2.39,0.0
MOD may ~ TO INF,0.41,2.51,0.0
MOD may ~ PRES,0.16,6.26,0.0
MOD let,inf,0.0,0.0
FUT ~ IMPV,inf,0.0,0.0
PRES ~ TO INF,0.2,4.96,0.0
MOD may ~ MOD shall,inf,0.0,0.0
PAST ~ PRES PART,inf,0.0,0.0
FUT ~ TO INF,0.58,1.75,0.0
MOD shall ~ PRES PART,inf,0.0,0.0
IMPV ~ PRES,0.25,4.05,0.0
IMPV ~ MOD let,inf,0.0,0.0
PRES PART,0.1,10.65,0.0
IMPV ~ TO INF,0.21,4.79,0.0
PAST ~ PRES PERF,0.46,2.19,0.0
FUT ~ MOD let,inf,0.0,0.0
FUT ~ PRES PART,inf,0.0,0.0
MOD can ~ MOD may,inf,0.0,0.0
FUT ~ MOD would,inf,0.0,0.0
MOD can ~ MOD shall,inf,0.0,0.0
MOD shall ~ PAST,inf,0.0,0.0
MOD let ~ MOD shall,inf,0.0,0.0
MOD is to ~ PRES,inf,0.0,0.0
MOD is to ~ MOD let,inf,0.0,0.0
MOD let ~ MOD may,inf,0.0,0.0
FUT ~ PAST,0.27,3.75,0.0
MOD is to ~ PAST,inf,0.0,0.0
MOD lest ~ MOD may,inf,0.0,0.0
PAST ~ TO INF,0.1,10.56,0.0
MOD lest ~ TO INF,0.1,10.56,0.0
PAST ~ PAST PROG,0.23,4.38,0.0
MOD shall ~ PRES PERF,inf,0.0,0.0
FUT ~ PRES PERF,0.08,13.2,0.0
IMPV ~ MOD lest,0.15,6.57,0.0
MOD shall ~ MOD would,inf,0.0,0.0
MOD may ~ MOD must,0.06,17.6,0.0
MOD can,0.06,17.6,0.0
MOD would ~ PRES,0.15,6.57,0.0
IMPV ~ PAST,inf,0.0,0.0
MOD should ~ PRES,0.12,8.76,0.0
HAB used to ~ PAST,0.12,8.76,0.0
IMPV ~ MOD may,inf,0.0,0.0
IMPV ~ MOD must,inf,0.0,0.0
PAST PERF,0.12,8.76,0.0
MOD shall ~ MOD should,inf,0.0,0.0
FUT ~ MOD can,inf,0.0,0.0
MOD let ~ TO INF,inf,0.0,0.0
FUT ~ FUT PERF,inf,0.0,0.0
MOD should,inf,0.0,0.0
MOD could ~ MOD may,0.02,52.82,0.0
PAST ~ PAST PERF,0.08,13.14,0.0
MOD can ~ PRES,inf,0.0,0.0
MOD should ~ TO INF,0.0,inf,0.0
IMPV ~ MOD would,inf,0.0,0.0
MOD VB ~ PRES,inf,0.0,0.0
MOD is to ~ TO INF,inf,0.0,0.0
HAB used to ~ MOD would,inf,0.0,0.0
HAB used to,inf,0.0,0.0
MOD was to,inf,0.0,0.0
FUT ~ FUT going-to,inf,0.0,0.0
IMPV ~ MOD is to,inf,0.0,0.0
MOD that be ~ TO INF,inf,0.0,0.0
MOD was to ~ PAST,inf,0.0,0.0
PRES ~ PRES PROG,inf,0.0,0.0
FUT ~ MOD must,inf,0.0,0.0
IMPV ~ PRES PART,inf,0.0,0.0
MOD would ~ PRES PART,inf,0.0,0.0
FUT going-to ~ MOD shall,inf,0.0,0.0
PRES PART ~ PRES PERF,0.04,26.28,0.0
MOD may ~ PRES PART,inf,0.0,0.0
MOD can ~ MOD let,inf,0.0,0.0
MOD lest ~ MOD might,inf,0.0,0.0
MOD may ~ MOD should,0.0,inf,0.0
MOD let ~ PRES,inf,0.0,0.0
MOD must ~ PRES,inf,0.0,0.0
MOD let ~ MOD must,inf,0.0,0.0
MOD lest ~ PRES PART,inf,0.0,0.0
MOD lest ~ MOD must,inf,0.0,0.0
MOD must ~ PRES PART,inf,0.0,0.0
MOD is to ~ MOD may,inf,0.0,0.0
MOD let ~ PRES PART,inf,0.0,0.0
MOD should ~ MOD would,inf,0.0,0.0
MOD let ~ MOD should,inf,0.0,0.0
MOD let ~ MOD would,inf,0.0,0.0
MOD can ~ TO INF,inf,0.0,0.0
MOD would ~ PRES PROG,inf,0.0,0.0
FUT ~ MOD is to,inf,0.0,0.0
FUT ~ MOD VB,inf,0.0,0.0
MOD ~ MOD would,inf,0.0,0.0
MOD would ~ TO INF,inf,0.0,0.0
MOD must,inf,0.0,0.0
FUT ~ FUT PROG,inf,0.0,0.0
MOD might ~ MOD would,inf,0.0,0.0
PAST PROG ~ TO INF,inf,0.0,0.0
FUT PROG,inf,0.0,0.0
FUT ~ MOD should,inf,0.0,0.0
FUT ~ MOD that be,inf,0.0,0.0
PAST PERF ~ PRES PART,0.0,inf,0.0
MOD could,inf,0.0,0.0
PRES PERF ~ TO INF,inf,0.0,0.0
MOD let ~ MOD might,inf,0.0,0.0
MOD might,inf,0.0,0.0
MOD quest must ~ MOD shall,inf,0.0,0.0
PRES ~ VB,0.0,inf,0.0
MOD could ~ MOD would,inf,0.0,0.0
MOD lest ~ PRES,inf,0.0,0.0
HAB used to ~ PAST PROG,inf,0.0,0.0
HAB used to ~ PRES PART,inf,0.0,0.0
MOD could ~ TO INF,0.0,inf,0.0
IMPV ~ MOD VB,inf,0.0,0.0
MOD is to ~ MOD lest,inf,0.0,0.0
MOD is to ~ PRES PART,inf,0.0,0.0
MOD VB ~ MOD can,0.0,inf,0.0
