,prose,prophetic,poetry,instruction,list
PRES,0.25,1.12,6.38,1.7,0.12
PAST,2.83,0.49,0.25,0.52,7.47
PRES PART,1.4,0.63,0.6,2.54,0.67
PRES ~ PRES PART,0.71,1.39,0.9,1.63,0.29
FUT,0.52,4.52,0.27,0.11,0.0
PAST PROG,5.25,0.52,0.0,0.23,0.44
PRES PROG,1.48,1.74,0.04,0.67,0.0
PAST ~ PAST PROG,6.47,0.49,0.0,0.0,0.0
PAST ~ PRES PART,2.48,0.81,0.09,0.0,4.8
PRES ~ PRES PROG,1.39,1.29,0.2,1.26,0.63
PAST ~ PRES,0.5,1.07,2.12,0.75,1.9
FUT ~ PRES,0.65,2.4,0.34,1.49,0.0
FUT ~ MOD shall,2.44,1.3,0.0,0.0,0.0
PRES ~ PRES PERF,0.54,1.19,2.17,0.63,0.0
PRES PERF,1.52,1.41,0.44,0.0,0.0
TO INF,0.63,3.03,0.44,0.0,1.32
PAST PERF,17.92,0.11,0.1,0.0,0.0
PAST PROG ~ PRES PART,6.11,0.43,0.11,0.0,0.0
FUT ~ FUT going-to,1.48,2.13,0.0,0.0,0.0
PAST ~ PRES PERF,1.24,1.3,0.63,0.48,0.0
PAST ~ PAST PERF,7.32,0.2,0.0,0.58,2.23
PRES PART ~ PRES PROG,3.41,0.75,0.18,0.0,0.0
FUT ~ PRES PROG,0.39,8.15,0.0,0.0,0.0
FUT ~ PRES PART,0.26,3.74,0.86,0.85,0.0
PAST ~ TO INF,9.28,0.16,0.0,0.0,3.72
FUT ~ TO INF,0.44,4.76,0.39,0.0,0.0
MOD may ~ PRES,0.94,0.79,1.43,1.32,0.0
FUT going-to ~ PRES,1.58,0.89,0.0,3.25,0.0
MOD could ~ PAST,1.1,0.0,0.0,0.0,72.05
PRES PART ~ TO INF,0.56,2.37,0.48,1.62,0.0
FUT going-to ~ PRES PROG,0.33,3.56,0.0,3.65,0.0
PRES ~ TO INF,0.56,0.59,4.31,0.0,0.0
IMPV ~ PRES,0.79,1.42,0.61,2.08,0.0
