eng_TAMsimp,prose,prophetic,poetry,instruction,list
PRES,0.23,0.31,0.37,0.09,0.0
PAST,0.65,0.18,0.06,0.04,0.07
PRES PART,0.53,0.22,0.16,0.07,0.02
PRES PROG,0.49,0.35,0.01,0.15,0.0
PRES ~ PRES PART,0.32,0.36,0.21,0.1,0.01
FUT,0.29,0.64,0.06,0.01,0.0
PRES ~ PRES PROG,0.5,0.37,0.04,0.09,0.01
PAST PROG,0.79,0.18,0.0,0.02,0.01
PAST ~ PAST PROG,0.83,0.17,0.0,0.0,0.0
PAST ~ PRES PART,0.65,0.26,0.02,0.0,0.07
PAST ~ PRES,0.28,0.31,0.33,0.05,0.03
FUT ~ PRES,0.33,0.5,0.07,0.09,0.0
FUT ~ MOD shall,0.65,0.35,0.0,0.0,0.0
PRES ~ PRES PERF,0.29,0.33,0.33,0.04,0.0
PAST PERF,0.93,0.05,0.02,0.0,0.0
TO INF,0.33,0.56,0.09,0.0,0.02
PRES PERF,0.53,0.37,0.09,0.0,0.0
PAST PROG ~ PRES PART,0.82,0.15,0.03,0.0,0.0
FUT ~ FUT going-to,0.53,0.47,0.0,0.0,0.0
PAST ~ PRES PERF,0.48,0.35,0.13,0.03,0.0
FUT ~ PRES PROG,0.23,0.71,0.03,0.03,0.0
PRES PART ~ PRES PROG,0.7,0.17,0.03,0.1,0.0
PAST ~ PAST PERF,0.85,0.08,0.0,0.04,0.04
PAST ~ TO INF,0.88,0.06,0.0,0.0,0.06
FUT ~ TO INF,0.25,0.67,0.08,0.0,0.0
MOD may ~ PRES,0.42,0.25,0.25,0.08,0.0
MOD could ~ PAST,0.45,0.0,0.0,0.0,0.55
FUT going-to ~ PRES,0.55,0.27,0.0,0.18,0.0
FUT going-to ~ PRES PROG,0.27,0.55,0.0,0.18,0.0
PRES ~ TO INF,0.3,0.2,0.5,0.0,0.0
FUT ~ PRES PART,0.11,0.67,0.22,0.0,0.0
PRES PART ~ TO INF,0.33,0.44,0.11,0.11,0.0
MOD is to ~ PRES,0.25,0.25,0.25,0.25,0.0
IMPV ~ PRES,0.38,0.38,0.12,0.12,0.0
MOD could,0.86,0.0,0.14,0.0,0.0
MOD can ~ PRES,0.43,0.14,0.0,0.29,0.14
PRES PERF ~ PRES PROG,0.33,0.67,0.0,0.0,0.0
IMPV,0.6,0.2,0.2,0.0,0.0
PAST PERF ~ PAST PROG,0.6,0.4,0.0,0.0,0.0
MOD shall ~ PRES,0.2,0.4,0.2,0.2,0.0
MOD should,0.8,0.2,0.0,0.0,0.0
MOD can,0.0,0.8,0.0,0.2,0.0
FUT going-to ~ MOD shall,0.5,0.5,0.0,0.0,0.0
MOD would ~ PRES,1.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,1.0,0.0,0.0,0.0,0.0
PRES PERF PROG ~ PRES PROG,0.75,0.0,0.25,0.0,0.0
MOD would,0.5,0.0,0.25,0.25,0.0
PAST PROG ~ PRES,0.0,0.25,0.5,0.25,0.0
MOD is to ~ MOD shall,0.25,0.0,0.0,0.5,0.25
PAST ~ PRES PROG,0.0,1.0,0.0,0.0,0.0
IMPV ~ MOD may,1.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,0.5,0.0,0.5,0.0,0.0
PAST ~ PAST PERF PROG,1.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,0.0,0.67,0.0,0.33,0.0
PRES PART ~ PRES PERF,0.67,0.33,0.0,0.0,0.0
MOD should ~ TO INF,1.0,0.0,0.0,0.0,0.0
MOD should ~ MOD would,0.33,0.67,0.0,0.0,0.0
MOD was to ~ PAST,0.67,0.0,0.0,0.0,0.33
MOD can ~ TO INF,0.0,0.67,0.33,0.0,0.0
PRES PERF PROG,0.67,0.33,0.0,0.0,0.0
MOD let ~ PRES,0.33,0.33,0.0,0.33,0.0
MOD is to ~ PRES PART,0.0,0.67,0.0,0.33,0.0
FUT ~ MOD is to,1.0,0.0,0.0,0.0,0.0
MOD is to,0.33,0.0,0.67,0.0,0.0
MOD may,0.33,0.0,0.33,0.33,0.0
MOD can ~ MOD shall,0.33,0.67,0.0,0.0,0.0
PRES ~ PRES PERF PROG,0.33,0.67,0.0,0.0,0.0
PAST PERF ~ PRES,0.5,0.5,0.0,0.0,0.0
PAST PERF ~ PRES PART,1.0,0.0,0.0,0.0,0.0
MOD was to ~ TO INF,1.0,0.0,0.0,0.0,0.0
PAST PERF ~ PAST PERF PROG,1.0,0.0,0.0,0.0,0.0
PAST PERF PROG ~ PAST PROG,1.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES PART,1.0,0.0,0.0,0.0,0.0
