niv_TAM,V,_W_V,AV,CV,_W_SV,SV,_W_AV,RV,_W_OV,OV,QV,CAV,_W_SAV,SAV,_W_CV,CSV,_W_QV,ASV,QAV,COV,_W_OAV,_W_CAV,OAV,IV,AOV,_W_ASV,CSAV,QSV,_W_SOV,SOV,QOV,CQV,ACV,IAV,ISV,_W_RV,_W_COV,_W_CSV,_W_AOV,ASAV,_W_OSV,CASV,RSV,ISAV,CSOV,RAV,CCV,ROV,CISV,CAOV,OOV,IOV,COSV,COAV,ACAV,_W_OOV,_W_OQV,_W_ACV,_W_IV,RASV,_W_ASAV,CQAV,QSAV,OSV,ACSV,AOAV,_W_QOV,_W_SOAV,ARV,_W_QAV,ASOV,OASV,_W_ASOV,CAQV,_W_ISV,_W_IAV,IISOAV,CISAV,_W_AOAV,SOAV,SAOV,QAOV,OQV,QSAOV
FUT,5.1,5.37,5.42,16.33,9.52,12.09,15.38,43.13,23.19,33.54,92.45,30.36,41.94,74.65,528.56,131.39,594.75,169.21,1190.5,237.3,189.64,4765.0,237.3,594.75,339.43,339.43,263.78,inf,339.43,594.75,4765.0,4765.0,1587.67,1190.5,679.86,793.33,4765.0,4765.0,1587.67,952.2,793.33,2382.0,1587.67,1190.5,2382.0,4765.0,inf,inf,2382.0,4765.0,4765.0,4765.0,4765.0,2382.0,4765.0,inf,inf,inf,4765.0,inf,inf,inf,inf,inf,4765.0,inf,inf,4765.0,inf,inf,4765.0,inf,4765.0,inf,inf,inf,inf,inf,inf,inf,4765.0,inf,inf,inf
PRES,5.83,15.09,7.21,5.28,17.44,17.44,24.85,7.69,37.0,36.11,91.76,36.55,59.65,62.08,34.44,120.31,1050.33,142.36,224.29,156.7,449.57,97.56,261.83,349.44,165.0,349.44,393.25,449.57,787.5,349.44,inf,629.8,393.25,629.8,1050.33,787.5,393.25,349.44,787.5,787.5,1576.0,787.5,787.5,787.5,629.8,1050.33,787.5,1050.33,1050.33,1576.0,inf,3153.0,1050.33,inf,3153.0,1576.0,inf,1576.0,3153.0,3153.0,inf,inf,3153.0,1576.0,inf,3153.0,3153.0,inf,inf,inf,inf,3153.0,inf,inf,inf,3153.0,3153.0,inf,inf,3153.0,inf,inf,inf,3153.0
IMPV do not,0.8,4.14,33.43,112.14,78.2,131.0,15.5,791.0,17.0,21.0,791.0,inf,inf,inf,263.0,inf,791.0,inf,inf,inf,263.0,inf,inf,65.0,791.0,inf,inf,791.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,3.43,2.3,13.2,6.73,16.4,14.47,32.14,48.71,76.33,42.5,115.0,231.0,695.0,86.0,68.6,138.2,695.0,231.0,inf,695.0,inf,inf,inf,231.0,inf,inf,inf,inf,inf,695.0,inf,inf,inf,inf,inf,695.0,inf,inf,inf,inf,695.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV,4.97,10.53,3.03,81.12,20.19,37.65,8.12,327.5,7.53,7.53,inf,81.12,327.5,218.0,656.0,656.0,inf,327.5,inf,163.25,64.7,inf,218.0,inf,327.5,163.25,656.0,inf,inf,inf,inf,inf,656.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,656.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,1.06,2.17,16.68,129.8,42.6,22.36,71.67,inf,58.45,92.43,653.0,162.5,326.0,217.0,653.0,inf,inf,653.0,inf,inf,326.0,inf,inf,653.0,inf,inf,inf,inf,326.0,653.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,653.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST,3.56,11.5,4.79,12.59,15.03,21.32,8.62,16.36,23.04,28.76,207.33,51.08,88.29,88.29,207.33,624.0,inf,207.33,624.0,207.33,inf,311.5,103.17,311.5,inf,207.33,inf,inf,inf,311.5,624.0,inf,624.0,624.0,inf,624.0,inf,inf,inf,624.0,inf,624.0,inf,inf,inf,624.0,inf,624.0,inf,624.0,624.0,inf,inf,624.0,inf,inf,inf,624.0,624.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,624.0,inf,inf,inf,inf,inf
MOD can,6.2,3.9,14.32,12.57,28.69,46.5,35.54,11.84,66.86,157.33,5.17,66.86,157.33,474.0,117.75,117.75,11.84,inf,236.5,157.33,inf,inf,236.5,inf,inf,inf,inf,inf,inf,inf,474.0,58.38,474.0,inf,236.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,157.33,inf,inf,inf,inf,474.0,inf,inf,474.0,inf,inf,inf,inf,474.0,inf,inf,inf,474.0,inf,inf,inf,inf,inf,inf,inf,inf,474.0,inf
MOD must,4.99,8.16,3.45,448.0,9.44,20.38,15.04,111.25,8.98,12.21,223.5,39.82,63.14,73.83,inf,148.67,448.0,inf,148.67,148.67,148.67,inf,448.0,inf,448.0,inf,448.0,448.0,448.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,223.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,223.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to,8.6,27.0,2.26,111.0,15.8,9.84,7.4,9.18,16.68,27.0,167.0,32.6,111.0,83.0,inf,inf,inf,335.0,inf,inf,335.0,inf,335.0,inf,335.0,111.0,335.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,335.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
