eng_TAMsimp,Q,N,?,D
PRES,1252,56,188,53
PAST,190,346,45,15
PRES PART,201,94,14,15
PRES ~ PRES PART,156,11,14,2
FUT,130,1,1,0
PAST PROG,16,102,7,0
PRES PROG,111,0,0,1
PAST ~ PAST PROG,17,82,2,2
PAST ~ PRES PART,16,70,5,3
PRES ~ PRES PROG,86,1,1,0
PAST ~ PRES,46,7,5,3
FUT ~ PRES,49,0,3,2
FUT ~ MOD shall,44,0,6,1
PRES ~ PRES PERF,45,0,2,1
PRES PERF,42,0,1,0
TO INF,35,5,3,0
PAST PERF,6,36,0,1
PAST PROG ~ PRES PART,5,33,1,0
FUT ~ FUT going-to,34,0,2,0
PAST ~ PRES PERF,31,0,0,0
PAST ~ PAST PERF,3,22,1,0
PRES PART ~ PRES PROG,24,1,0,0
FUT ~ PRES PROG,22,0,0,0
FUT ~ PRES PART,17,0,0,1
PAST ~ TO INF,3,13,0,0
FUT ~ TO INF,11,0,1,0
MOD may ~ PRES,12,0,0,0
FUT going-to ~ PRES,11,0,0,0
MOD could ~ PAST,0,8,3,0
PRES PART ~ TO INF,6,4,0,0
FUT going-to ~ PRES PROG,10,0,0,0
PRES ~ TO INF,5,1,4,0
IMPV ~ PRES,8,0,0,0
MOD is to ~ PRES,7,0,1,0
MOD can ~ PRES,7,0,0,0
MOD could,4,3,0,0
PRES PART ~ PRES PERF,5,0,1,0
MOD shall ~ PRES,5,0,0,0
MOD should,4,1,0,0
IMPV,3,1,1,0
MOD can,5,0,0,0
PAST PERF ~ PAST PROG,1,4,0,0
IMPV ~ MOD may,4,0,0,0
FUT going-to ~ MOD shall,4,0,0,0
MOD would ~ PRES,4,0,0,0
MOD would ~ PAST,0,4,0,0
MOD would,2,0,0,2
FUT ~ MOD must,4,0,0,0
MOD is to ~ MOD shall,3,1,0,0
PAST PROG ~ PRES,3,0,1,0
PAST ~ PRES PROG,4,0,0,0
PAST ~ PAST PERF PROG,0,4,0,0
MOD shall ~ TO INF,3,0,0,0
PRES PERF PROG,3,0,0,0
MOD is to ~ PRES PART,3,0,0,0
PRES PERF ~ PRES PROG,3,0,0,0
MOD may,3,0,0,0
MOD let ~ PRES,2,0,0,1
MOD is to,2,1,0,0
MOD should ~ MOD would,2,1,0,0
PRES PERF PROG ~ PRES PROG,3,0,0,0
FUT PROG ~ PRES PART,3,0,0,0
MOD should ~ TO INF,3,0,0,0
MOD can ~ TO INF,3,0,0,0
FUT ~ MOD is to,3,0,0,0
MOD was to ~ PAST,0,3,0,0
PRES ~ PRES PERF PROG,3,0,0,0
MOD can ~ MOD shall,3,0,0,0
MOD can ~ PRES PART,2,0,0,0
MOD is to ~ TO INF,2,0,0,0
MOD let,2,0,0,0
PRES ~ PRES PROG keep,2,0,0,0
MOD may ~ PAST,2,0,0,0
PAST PERF PROG ~ PAST PROG,0,2,0,0
MOD was to ~ TO INF,0,2,0,0
FUT ~ MOD may,2,0,0,0
MOD must ~ MOD shall,2,0,0,0
MOD must ~ PRES,2,0,0,0
PAST PERF ~ PAST PERF PROG,0,2,0,0
PRES PART ~ PRES PERF PROG,2,0,0,0
FUT going-to ~ PRES PART,2,0,0,0
FUT ~ PAST PROG,2,0,0,0
PAST PERF ~ PRES PART,0,2,0,0
MOD may ~ TO INF,2,0,0,0
MOD was to ~ PAST PROG,0,2,0,0
PAST PERF ~ PRES,0,2,0,0
FUT ~ FUT PROG,1,0,0,0
IMPV ~ PRES PROG,1,0,0,0
FUT ~ MOD can,1,0,0,0
HAB used to ~ PAST PERF,0,1,0,0
FUT PROG ~ MOD is to,1,0,0,0
IMPV ~ PAST,0,0,1,0
FUT ~ MOD would,1,0,0,0
FUT ~ VB,1,0,0,0
HAB used to ~ PAST,0,1,0,0
FUT ~ PAST,1,0,0,0
TO INF ~ VB,0,1,0,0
MOD can ~ MOD may,1,0,0,0
MOD could ~ PRES PART,0,1,0,0
PRES PROG ~ TO INF,1,0,0,0
PRES PROG ~ PRES PROG keep,1,0,0,0
PRES PERF ~ TO INF,1,0,0,0
PRES PERF ~ PRES PERF PROG,1,0,0,0
PAST ~ VB,1,0,0,0
PAST PROG ~ TO INF,0,1,0,0
MOD would ~ PRES PROG,1,0,0,0
MOD would ~ PRES PERF,1,0,0,0
MOD was to ~ PRES PART,0,1,0,0
MOD was to,0,1,0,0
MOD that VB ~ PRES PART,0,1,0,0
MOD should ~ PRES PERF,1,0,0,0
MOD should ~ PRES,1,0,0,0
MOD should ~ PAST,0,1,0,0
MOD should ~ MOD was to,0,1,0,0
MOD shall ~ PRES PART,1,0,0,0
MOD shall ~ PAST,1,0,0,0
MOD shall,1,0,0,0
MOD need not ~ TO INF,1,0,0,0
MOD must ~ PRES PART,1,0,0,0
MOD must,1,0,0,0
MOD might,0,1,0,0
MOD may ~ PRES PART,1,0,0,0
MOD let ~ TO INF,1,0,0,0
MOD is to ~ MOD would,1,0,0,0
MOD shall ~ PRES PERF,1,0,0,0
