period,SBH,SBH,LBH,SBH,LBH,SBH,SBH,SBH,SBH,LBH,SBH,LBH,LBH,SBH,SBH,LBH,SBH,LBH,SBH,LBH,SBH
genre,prose,prose,prose,instruction,prose,prose,poetry,instruction,prose,list,list,list,prose,instruction,instruction,poetry,list,list,list,prose,list
domain2,Q,N,N,Q,Q,?,Q,D,D,N,N,?,?,N,?,Q,Q,Q,D,D,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,
PRES,2.32,20.32,28.22,4.62,8.61,23.09,26.74,46.18,169.33,508.0,inf,inf,169.33,inf,63.5,84.67,127.0,inf,inf,inf,inf
PAST,9.08,2.51,4.07,43.6,25.65,31.14,109.0,436.0,62.29,36.33,43.6,33.54,48.44,87.2,inf,inf,inf,145.33,436.0,inf,436.0
PRES PART,3.42,3.87,11.39,7.32,10.79,inf,205.0,22.78,51.25,68.33,inf,205.0,102.5,34.17,inf,inf,inf,inf,inf,205.0,inf
PAST PROG,24.25,1.39,7.46,inf,48.5,24.25,inf,inf,inf,inf,97.0,inf,97.0,48.5,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,1.95,14.0,84.0,5.6,7.0,inf,42.0,84.0,84.0,84.0,inf,inf,inf,inf,42.0,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,10.5,1.62,4.42,inf,42.0,84.0,inf,inf,84.0,inf,inf,inf,84.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PART,22.33,2.09,3.72,inf,33.5,33.5,67.0,inf,33.5,67.0,16.75,67.0,inf,inf,inf,inf,inf,inf,67.0,inf,inf
PRES PROG,1.4,inf,inf,15.75,4.85,inf,inf,63.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,1.38,inf,inf,7.71,9.0,inf,54.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,54.0,inf,inf,inf
PAST PERF,13.33,2.11,2.35,inf,inf,inf,inf,inf,40.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT,1.09,inf,inf,38.0,19.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD shall,1.23,inf,inf,inf,5.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,31.0,1.24,6.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES,3.22,9.67,14.5,14.5,29.0,inf,4.14,inf,14.5,29.0,29.0,inf,inf,inf,29.0,inf,inf,inf,inf,inf,inf
PRES PERF,1.2,inf,inf,inf,8.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,24.0,inf,inf,inf,inf,inf
PAST ~ PAST PERF,inf,2.0,3.0,inf,12.0,inf,inf,inf,inf,inf,inf,24.0,inf,24.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,1.57,inf,inf,7.33,7.33,inf,inf,11.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT going-to,1.2,inf,inf,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PROG,1.12,inf,inf,inf,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF,1.6,inf,inf,16.0,4.0,inf,16.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PERF,1.33,inf,inf,16.0,5.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
