period,SBH,SBH,LBH,SBH,LBH,SBH,SBH,SBH,SBH,LBH,SBH,LBH,LBH,SBH,SBH,LBH,SBH,LBH,SBH,LBH,SBH
genre,prose,prose,prose,instruction,prose,prose,poetry,instruction,prose,list,list,list,prose,instruction,instruction,poetry,list,list,list,prose,list
domain2,Q,N,N,Q,Q,?,Q,D,D,N,N,?,?,N,?,Q,Q,Q,D,D,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,
PRES,219,25,18,110,59,22,19,11,3,1,0,0,3,0,8,6,4,0,0,0,0
PAST,48,174,107,10,17,14,4,1,7,12,10,13,9,5,0,0,0,3,1,0,1
PRES PART,60,53,18,28,19,0,1,9,4,3,0,1,2,6,0,0,0,0,0,1,0
PAST PROG,4,70,13,0,2,4,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0
PRES ~ PRES PART,43,6,1,15,12,0,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0
PAST ~ PAST PROG,8,52,19,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
PAST ~ PRES PART,3,32,18,0,2,2,1,0,2,1,4,1,0,0,0,0,0,0,1,0,0
PRES PROG,45,0,0,4,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PROG,39,0,0,7,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PAST PERF,3,19,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FUT,35,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD shall,26,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES PART,1,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES,9,3,2,2,1,0,7,0,2,1,1,0,0,0,1,0,0,0,0,0,0
PRES PERF,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PAST ~ PAST PERF,0,12,8,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
FUT ~ PRES,14,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT going-to,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PROG,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PERF,10,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES PERF,12,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO INF,5,4,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PAST ~ TO INF,2,9,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ PAST,0,2,2,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0
FUT going-to ~ PRES,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ PRES,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MOD may ~ PRES,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PART,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PROG,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ PRES PROG,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD shall,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
